Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2002 - Q2,216814.0,42749.0,24626.0,18123.0,174065.0,2310.0,14505.0,12.73
2003 - Q1,254738.0,53636.0,53636.0,0.0,201102.0,3068.0,11172.0,5.87
2003 - Q2,259927.0,44743.0,44743.0,0.0,215184.0,1838.0,11955.0,10.72
2003 - Q3,260948.0,45805.0,45805.0,0.0,215143.0,2539.0,11952.0,7.21
2004 - Q4,421467.0,170872.0,170872.0,0.0,250595.0,1234.0,13922.0,30.79
2005 - Q1,455500.0,188291.0,188291.0,0.0,267209.0,2169.0,14845.0,17.52
2005 - Q2,576236.0,298701.0,298701.0,0.0,277535.0,3468.0,15419.0,11.1
2005 - Q3,649921.0,346006.0,346006.0,0.0,303915.0,4920.0,16884.0,8.58
2005 - Q4,976368.0,437036.0,437036.0,0.0,539331.0,5733.0,23048.0,8.2
2006 - Q1,1082183.0,467419.0,467419.0,0.0,614764.0,6045.0,21893.0,12.9
2006 - Q2,1302094.0,682489.0,680409.0,2080.0,619605.0,5619.0,22066.0,16.11
2006 - Q3,1450444.0,763986.0,747253.0,16733.0,686458.0,6417.0,18335.0,12.31
2006 - Q4,1757533.0,1062428.0,1031732.0,30696.0,695105.0,6827.0,18566.0,21.68
2007 - Q1,2204786.0,1461096.0,1428163.0,32933.0,743691.0,6703.0,19864.0,30.13
2007 - Q2,3404735.0,1130395.0,1101867.0,28528.0,2274340.0,6590.0,41731.0,25.04
2007 - Q3,3074310.0,623811.0,598045.0,25766.0,2450499.0,5597.0,44963.0,28.05
2007 - Q4,3066804.0,642560.0,636503.0,6057.0,2424244.0,4429.0,44482.0,30.93
2008 - Q1,3158508.0,791091.0,785051.0,6040.0,2367417.0,3900.0,36199.0,10.1
2008 - Q2,2571927.0,323502.0,317522.0,5980.0,2248425.0,728.0,34380.0,34.77
2008 - Q3,2486972.0,108750.0,103173.0,5577.0,2378222.0,2310.0,36364.0,9.44
2008 - Q4,2269641.0,52840.0,50582.0,2258.0,2216802.0,-1055.0,33896.0,-13.18
2009 - Q1,2264590.0,43060.0,42816.0,244.0,2221530.0,-1594.0,33968.0,-9.03
2009 - Q2,2453211.0,64877.0,64656.0,221.0,2388334.0,2755.0,36519.0,10.2
2009 - Q3,2610927.0,164684.0,164596.0,88.0,2446243.0,1213.0,37404.0,29.1
2009 - Q4,2659823.0,244210.0,243934.0,276.0,2415613.0,4018.0,36936.0,7.12
2010 - Q1,2627954.0,128154.0,127877.0,277.0,2488224.0,4214.0,38046.0,7.52
2010 - Q2,2592750.0,123031.0,122756.0,275.0,2458087.0,2393.0,37586.0,11.62
2010 - Q3,2578432.0,56300.0,56103.0,197.0,2510217.0,2318.0,38383.0,9.66
2010 - Q4,2609439.0,169572.0,169128.0,444.0,2425979.0,1731.0,37095.0,10.8
2011 - Q1,2578556.0,123527.0,123088.0,439.0,2411776.0,968.0,36878.0,14.67
2011 - Q2,2639881.0,291673.0,291267.0,406.0,2304571.0,-1191.0,17619.0,-6.13
2011 - Q3,2658623.0,308868.0,308462.0,406.0,2349755.0,-1710.0,17965.0,-3.98
2011 - Q4,2652065.0,379694.0,379055.0,639.0,2228089.0,-2067.0,17035.0,-2.08
2012 - Q1,2591876.0,276518.0,275910.0,608.0,2271101.0,-1202.0,17363.0,-4.91
2012 - Q2,2737602.0,312904.0,309596.0,3308.0,2371520.0,507.0,18131.0,15.39
2012 - Q3,2763741.0,362287.0,336318.0,25969.0,2348315.0,290.0,17954.0,22.38
2012 - Q4,2758219.0,370357.0,339432.0,30925.0,2335424.0,835.0,17855.0,8.86
2013 - Q1,2791484.0,368304.0,335465.0,32839.0,2368423.0,806.0,18107.0,9.31
2013 - Q2,2973920.0,531179.0,442915.0,88264.0,2398565.0,269.0,18338.0,27.85
2013 - Q3,2887059.0,426165.0,335851.0,90314.0,2417207.0,587.0,18480.0,12.27
2013 - Q4,2983132.0,485009.0,401766.0,83243.0,2455295.0,918.0,18772.0,9.15
2014 - Q1,2975997.0,469864.0,384328.0,85536.0,2463386.0,772.0,18833.0,15.03
2014 - Q2,3097235.0,660366.0,575942.0,84424.0,2394255.0,634.0,18305.0,15.61
2014 - Q3,3079611.0,636643.0,551956.0,84687.0,2400665.0,544.0,18354.0,24.61
2014 - Q4,3231327.0,755400.0,671902.0,83498.0,2433625.0,572.0,18606.0,22.73
2015 - Q1,3306796.0,840754.0,733119.0,107635.0,2466042.0,409.0,18854.0,32.8
2015 - Q2,3329339.0,911845.0,809757.0,102088.0,2417494.0,440.0,17437.0,26.6
2015 - Q3,3541992.0,1111988.0,1002458.0,109530.0,2430004.0,470.0,13482.0,17.02
2015 - Q4,3534488.0,1073464.0,971390.0,102074.0,2461024.0,366.0,13655.0,23.21
2016 - Q1,3308111.0,850311.0,805214.0,45097.0,2457800.0,363.0,13637.0,27.24
2016 - Q2,3431428.0,918426.0,869020.0,49406.0,2513002.0,583.0,13943.0,15.44
2016 - Q3,3686318.0,1212589.0,1164094.0,48495.0,2473729.0,336.0,13725.0,24.37
2016 - Q4,3637419.0,1172378.0,1144660.0,27718.0,2465042.0,138.0,13677.0,66.14
2017 - Q1,3625771.0,1131534.0,1095023.0,36511.0,2494237.0,316.0,13839.0,29.45
2017 - Q2,4023308.0,1507235.0,715848.0,791387.0,2516072.0,123.0,13960.0,89.96
2017 - Q3,3995487.0,1482979.0,695707.0,787272.0,2512508.0,252.0,13940.0,30.11
2017 - Q4,4366840.0,1696845.0,904559.0,792286.0,2669995.0,575.0,11043.0,12.75
2018 - Q1,4525431.0,1814254.0,1016119.0,798135.0,2711177.0,603.0,11213.0,12.44
2018 - Q2,4845279.0,2081301.0,1296878.0,784423.0,2763978.0,479.0,11432.0,14.61
2018 - Q3,5093722.0,2335165.0,1554256.0,780909.0,2758557.0,464.0,11409.0,17.04
2018 - Q4,5054022.0,2228570.0,1526090.0,702480.0,2825452.0,434.0,11686.0,16.13
2019 - Q1,5070094.0,2242178.0,1530956.0,711222.0,2827915.0,298.0,11355.0,25.16
2019 - Q2,5383250.0,2556456.0,1924426.0,632030.0,2826794.0,286.0,11351.0,28.69
2019 - Q3,5196711.0,2379672.0,2341205.0,38467.0,2817039.0,324.0,11312.0,24.36
2019 - Q4,5227906.0,2342822.0,2278935.0,63887.0,2885084.0,315.0,11248.0,26.22
2020 - Q1,5358763.0,2472346.0,2413106.0,59240.0,2886416.0,271.0,11253.0,33.21
2020 - Q2,5649425.0,2764407.0,2692016.0,72391.0,2885018.0,278.0,11247.0,34.55
2020 - Q3,6199138.0,2777620.0,2417704.0,359916.0,3421518.0,396.0,13339.0,27.04
2020 - Q4,5671549.0,2200674.0,1844255.0,356419.0,3470875.0,363.0,13531.0,27.41
2021 - Q1,6144258.0,1730913.0,1378422.0,352491.0,4413345.0,386.0,12610.0,27.99
2021 - Q2,7140402.0,2685732.0,2115835.0,569897.0,4454674.0,342.0,12728.0,30.69
2021 - Q3,7200237.0,2697339.0,1887702.0,809637.0,3849523.0,340.0,10999.0,33.22
2021 - Q4,7568036.0,2972172.0,2287924.0,684248.0,4595864.0,462.0,13131.0,55.73
2022 - Q1,7686941.0,3087017.0,2473237.0,613780.0,4599924.0,425.0,12590.0,44.68
2022 - Q2,9023445.0,4396436.0,2850160.0,1546276.0,4627009.0,499.0,12664.0,21.85
2022 - Q3,9915102.0,5279511.0,2564527.0,2714984.0,4635592.0,374.0,12688.0,27.39
2022 - Q4,7236178.0,2632607.0,2086522.0,546085.0,4603571.0,10.0,12116.0,604.61
2023 - Q1,6819009.0,2218544.0,1705028.0,513516.0,4600465.0,21.0,12108.0,270.95
2023 - Q2,6688814.0,2086299.0,1769406.0,316893.0,4602515.0,-55.0,12113.0,-126.89
2023 - Q3,6696309.0,2090620.0,1812894.0,277726.0,4605689.0,-53.0,12121.0,-124.59
