Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
1998,138708.0,8336.0,8336.0,0.0,130372.0,1499.0,11804.0,0.0
1999,155038.0,12676.0,8609.0,4067.0,142362.0,2127.0,11864.0,0.0
2000,164698.0,12920.0,8744.0,4176.0,151778.0,2463.0,12648.0,13.48
2001,183132.0,36216.0,30996.0,5220.0,146916.0,2902.0,12243.0,11.99
2002,232324.0,40636.0,40125.0,511.0,191687.0,4835.0,15974.0,6.35
2003,282333.0,68574.0,68574.0,0.0,213758.0,3354.0,11875.0,6.38
2004,421467.0,170872.0,170872.0,0.0,250595.0,4061.0,13922.0,9.36
2005,903613.0,361412.0,346477.0,14935.0,542201.0,5733.0,30122.0,8.2
2006,1757533.0,1062428.0,1031732.0,30696.0,695105.0,6827.0,18566.0,21.68
2007,3077897.0,653653.0,647596.0,6057.0,2424244.0,4429.0,44482.0,30.93
2008,2279146.0,70863.0,70506.0,357.0,2208282.0,-1188.0,34831.0,-11.7
2009,2667619.0,194368.0,194091.0,277.0,2461868.0,3653.0,38347.0,7.83
2010,2616221.0,169572.0,169128.0,444.0,2434269.0,1839.0,37847.0,10.17
2011,2637822.0,360058.0,359419.0,639.0,2233483.0,-2012.0,17076.0,-2.14
2012,2756228.0,368956.0,338031.0,30925.0,2334472.0,806.0,17848.0,9.18
2013,2983033.0,484692.0,401449.0,83243.0,2455510.0,920.0,18773.0,9.13
2014,3231425.0,755706.0,672209.0,83497.0,2433418.0,570.0,18604.0,22.8
2015,3552912.0,1090313.0,1048630.0,41683.0,2462598.0,376.0,13663.0,22.58
2016,3664557.0,1197951.0,1163047.0,34904.0,2466605.0,138.0,13685.0,65.92
2017,4333253.0,1665018.0,877119.0,787899.0,2668235.0,569.0,11036.0,12.88
2018,5055750.0,2234771.0,1523363.0,711408.0,2820978.0,410.0,11667.0,17.08
2019,5210940.0,2325589.0,2266649.0,58940.0,2885351.0,319.0,11249.0,25.86
2020,5668897.0,2201198.0,1844325.0,356873.0,3467698.0,361.0,13519.0,27.55
2021,7544297.0,2947792.0,2167544.0,780248.0,4596505.0,464.0,13133.0,55.46
2022,7237334.0,2633965.0,2093379.0,540586.0,4603369.0,8.0,12115.0,796.94
