Date,NOPAT
Q1/2005,16.830127621
Q2/2005,23.369434335
Q3/2005,26.13909755
Q1/2006,25.763114146
Q2/2006,29.68501401
Q3/2006,66.814322938
Q4/2006,81.516563356
Q1/2007,48.606298229
Q2/2007,41.323356612
Q3/2007,52.355916069
Q4/2007,54.600085364
Q1/2008,48.020783209
Q2/2008,-113.537878659
Q3/2008,152.986028091
Q4/2008,-154.847969484
Q1/2009,13.247562017
Q2/2009,164.196653094
Q3/2009,54.324546437
Q4/2009,23.028094226
Q1/2010,37.693204098
Q2/2010,38.196438829
Q3/2010,50.047699801
Q4/2010,-14.178402571
Q1/2011,-22.577542914
Q2/2011,-88.379154814
Q3/2011,0.836004906
Q4/2011,-76.545828317
Q1/2012,37.58020188
Q2/2012,99.991966392
Q3/2012,-23.351305142
Q4/2012,-5.313324428
Q1/2013,33.771309894
Q2/2013,30.124774211
Q3/2013,18.641388652
Q4/2013,38.085390405
Q1/2014,14.610101777
Q2/2014,12.100383775
Q3/2014,6.409710585
Q4/2014,41.676671435
Q1/2015,-6.752705931
Q2/2015,16.956103865
Q3/2015,12.4532718
Q4/2015,32.200067015
Q1/2016,-3.032384929
Q2/2016,56.866372596
Q3/2016,-27.158734761
Q4/2016,-3.638188117
Q1/2017,29.088656565
Q2/2017,23.397816685
Q3/2017,-3.797755092
Q4/2017,61.162142633
Q1/2018,43.019412567
Q2/2018,4.49662921
Q3/2018,0.150747493
Q4/2018,56.059754353
Q1/2019,10.633609356
Q2/2019,0.463938792
Q3/2019,10.217054688
Q4/2019,54.854812989
Q1/2020,1.897887243
Q2/2020,3.661750295
Q3/2020,41.041776534
Q4/2020,46.527874381
Q1/2021,7.586842573
Q2/2021,2.381343891
Q3/2021,48.653648073
Q4/2021,95.446801792
Q1/2022,3.765723778
Q2/2022,29.059884467
Q3/2022,5.726752429
Q4/2022,-35.604322115
Q1/2023,8.069469353
Q2/2023,1.072411765
Q3/2023,6.469940968
