Date,Sales
Q1/2005,113884960905
Q2/2005,202280197645
Q3/2005,242109452705
Q1/2006,195910887672
Q2/2006,296601212122
Q3/2006,399067598716
Q4/2006,762893772090
Q1/2007,713840881852
Q2/2007,457231554326
Q3/2007,255629557193
Q4/2007,269285475204
Q1/2008,782970725476
Q2/2008,321844226137
Q3/2008,94240907904
Q4/2008,97329417012
Q1/2009,28842449499
Q2/2009,113498324338
Q3/2009,116858211864
Q4/2009,166270275280
Q1/2010,216201064886
Q2/2010,201916551603
Q3/2010,197239849188
Q4/2010,188302713006
Q1/2011,130256221786
Q2/2011,165709740410
Q3/2011,151397957008
Q4/2011,284590635868
Q1/2012,115621824677
Q2/2012,419838589651
Q3/2012,207368077205
Q4/2012,154660616979
Q1/2013,214259883761
Q2/2013,292342723539
Q3/2013,232739115111
Q4/2013,255126043824
Q1/2014,351889329457
Q2/2014,495904874044
Q3/2014,293605501915
Q4/2014,541485206318
Q1/2015,443040251554
Q2/2015,495717538263
Q3/2015,648646612178
Q4/2015,620102626717
Q1/2016,423902279860
Q2/2016,568919763843
Q3/2016,317518742709
Q4/2016,516615422738
Q1/2017,418599576498
Q2/2017,525970374093
Q3/2017,577170942094
Q4/2017,700385820781
Q1/2018,434738389874
Q2/2018,609353261559
Q3/2018,588176390849
Q4/2018,1037532024184
Q1/2019,519415201758
Q2/2019,653092195811
Q3/2019,508997432710
Q4/2019,1169831201363
Q1/2020,491772682695
Q2/2020,314411521411
Q3/2020,523094976587
Q4/2020,589989777977
Q1/2021,443372028387
Q2/2021,455771790011
Q3/2021,381515048999
Q4/2021,608065864860
Q1/2022,479402990421
Q2/2022,548524016434
Q3/2022,545868636086
Q4/2022,535268943622
Q1/2023,439205607915
Q2/2023,492523700063
Q3/2023,520173508491
