tradingTime,lastPrice
2024-01-12,6.37
2024-01-11,6.44
2024-01-10,6.45
2024-01-09,6.58
2024-01-08,6.54
2024-01-05,6.58
2024-01-04,6.6
2024-01-03,6.63
2024-01-02,6.56
2023-12-29,6.56
2023-12-28,6.55
2023-12-27,6.43
2023-12-26,6.4
2023-12-25,6.42
2023-12-22,6.4
2023-12-21,6.42
2023-12-20,6.45
2023-12-19,6.55
2023-12-18,6.56
2023-12-15,6.43
2023-12-14,6.52
2023-12-13,6.6
2023-12-12,6.67
2023-12-11,6.53
2023-12-08,6.6
2023-12-07,6.61
2023-12-06,6.7
2023-12-05,6.55
2023-12-04,6.59
2023-12-01,6.42
2023-11-30,6.4
2023-11-29,6.49
2023-11-28,6.4
2023-11-27,6.46
2023-11-24,6.71
2023-11-23,6.8
2023-11-22,6.36
2023-11-21,6.35
2023-11-20,6.29
2023-11-17,6.28
2023-11-16,6.31
2023-11-15,6.28
2023-11-14,6.29
2023-11-13,6.3
2023-11-10,6.32
2023-11-09,6.31
2023-11-08,6.3
2023-11-07,6.12
2023-11-06,6.17
2023-11-03,6.2
2023-11-02,6.38
2023-11-01,6.09
2023-10-31,6.09
2023-10-30,6.12
2023-10-27,6.14
2023-10-26,6.1
2023-10-25,6.2
2023-10-24,6.2
2023-10-23,6.19
2023-10-20,6.0
2023-10-19,6.2
2023-10-18,6.2
2023-10-17,6.3
2023-10-16,6.4
2023-10-13,6.44
2023-10-12,6.45
2023-10-11,6.42
2023-10-10,6.4
2023-10-09,6.28
2023-10-06,6.27
2023-10-05,6.25
2023-10-04,6.3
2023-10-03,6.31
2023-10-02,6.57
2023-09-29,6.58
2023-09-28,6.6
2023-09-27,6.65
2023-09-26,6.58
2023-09-25,6.61
2023-09-22,6.92
2023-09-21,7.14
2023-09-20,7.2
2023-09-19,7.04
2023-09-18,7.04
2023-09-15,7.09
2023-09-14,7.2
2023-09-13,7.48
2023-09-12,7.52
2023-09-11,7.52
2023-09-08,7.72
2023-09-07,7.7
2023-09-06,7.71
2023-09-05,7.75
2023-08-31,7.64
2023-08-30,7.59
2023-08-29,7.45
2023-08-28,7.36
2023-08-25,7.38
2023-08-24,7.33
2023-08-23,7.22
2023-08-22,7.22
2023-08-21,7.27
2023-08-18,7.46
2023-08-17,8.02
2023-08-16,8.25
2023-08-15,8.36
2023-08-14,8.5
2023-08-11,8.18
2023-08-10,8.2
2023-08-09,8.11
2023-08-08,8.11
2023-08-07,8.11
2023-08-04,7.85
2023-08-03,7.65
2023-08-02,7.54
2023-08-01,7.52
2023-07-31,7.81
2023-07-28,7.82
2023-07-27,7.8
2023-07-26,7.73
2023-07-25,7.81
2023-07-24,7.75
2023-07-21,7.58
2023-07-20,7.3
2023-07-19,7.15
2023-07-18,7.28
2023-07-17,7.4
2023-07-14,7.38
2023-07-13,7.09
2023-07-12,6.95
2023-07-11,6.97
2023-07-10,6.91
2023-07-07,6.89
2023-07-06,6.9
2023-07-05,7.03
2023-07-04,7.05
2023-07-03,7.04
2023-06-30,7.02
2023-06-29,7.06
2023-06-28,7.17
2023-06-27,7.06
2023-06-26,7.13
2023-06-23,7.29
2023-06-22,7.25
2023-06-21,7.19
2023-06-20,7.1
2023-06-19,6.92
2023-06-16,7.1
2023-06-15,7.19
2023-06-14,7.33
2023-06-13,7.49
2023-06-12,7.2
2023-06-09,7.22
2023-06-08,7.3
2023-06-07,7.32
2023-06-06,7.11
2023-06-05,7.07
2023-06-02,7.16
2023-06-01,7.3
2023-05-31,7.09
2023-05-30,7.03
2023-05-29,7.28
2023-05-26,6.87
2023-05-25,6.83
2023-05-24,6.77
2023-05-23,6.82
2023-05-22,6.48
2023-05-19,6.45
2023-05-18,6.5
2023-05-17,6.75
2023-05-16,6.65
2023-05-15,6.7
2023-05-12,6.85
2023-05-11,6.93
2023-05-10,6.84
2023-05-09,6.4
2023-05-08,6.47
2023-05-05,6.3
2023-05-04,6.09
2023-04-28,6.08
2023-04-27,6.08
2023-04-26,5.92
2023-04-25,5.88
2023-04-24,5.96
2023-04-21,5.88
2023-04-20,5.92
2023-04-19,5.95
2023-04-18,6.03
2023-04-17,6.0
2023-04-14,6.05
2023-04-13,6.14
2023-04-12,6.26
2023-04-11,6.31
2023-04-10,6.19
2023-04-07,6.28
2023-04-06,6.39
2023-04-05,6.19
2023-04-04,6.09
2023-04-03,5.99
2023-03-31,5.8
2023-03-30,5.87
2023-03-29,5.9
2023-03-28,5.9
2023-03-27,5.8
2023-03-24,5.8
2023-03-23,5.8
2023-03-22,5.8
2023-03-21,5.8
2023-03-20,5.8
2023-03-17,5.8
2023-03-16,5.8
2023-03-15,5.86
2023-03-14,5.8
2023-03-13,5.8
2023-03-10,5.81
2023-03-09,5.82
2023-03-08,5.8
2023-03-07,5.81
2023-03-06,5.81
2023-03-03,5.81
2023-03-02,5.83
2023-03-01,5.9
2023-02-28,5.84
2023-02-27,5.8
2023-02-24,5.89
2023-02-23,6.0
2023-02-22,5.92
2023-02-21,6.1
2023-02-20,6.29
2023-02-17,5.93
2023-02-16,5.94
2023-02-15,5.9
2023-02-14,5.85
2023-02-13,5.87
2023-02-10,5.88
2023-02-09,5.94
2023-02-08,5.98
2023-02-07,5.95
2023-02-06,6.06
2023-02-03,6.1
2023-02-02,6.14
2023-02-01,6.23
2023-01-31,6.36
2023-01-30,6.41
2023-01-27,6.36
2023-01-19,6.2
2023-01-18,6.2
2023-01-17,6.08
2023-01-16,5.85
2023-01-13,5.9
2023-01-12,5.95
2023-01-11,5.95
2023-01-10,5.91
2023-01-09,5.88
2023-01-06,5.98
2023-01-05,6.12
2023-01-04,6.17
2023-01-03,6.25
2022-12-30,6.01
2022-12-29,6.0
2022-12-28,5.93
2022-12-27,5.96
2022-12-26,6.0
2022-12-23,6.04
2022-12-22,6.0
2022-12-21,6.05
2022-12-20,6.38
2022-12-19,6.86
2022-12-16,6.83
2022-12-15,6.9
2022-12-14,6.92
2022-12-13,6.86
2022-12-12,6.6
2022-12-09,6.87
2022-12-08,6.7
2022-12-07,6.65
2022-12-06,7.15
2022-12-05,7.5
2022-12-02,7.35
2022-12-01,7.2
2022-11-30,7.2
2022-11-29,6.79
2022-11-28,6.35
2022-11-25,5.94
2022-11-24,5.56
2022-11-23,5.92
2022-11-22,6.36
2022-11-21,6.19
2022-11-18,5.79
2022-11-17,6.06
2022-11-16,6.06
2022-11-15,6.06
2022-11-14,6.51
2022-11-11,6.99
2022-11-10,7.0
2022-11-09,7.1
2022-11-08,7.1
2022-11-07,7.5
2022-11-04,7.51
2022-11-03,7.6
2022-11-02,7.68
2022-11-01,7.83
2022-10-31,8.3
2022-10-28,8.92
2022-10-27,8.8
2022-10-26,8.75
2022-10-25,9.27
2022-10-24,9.28
2022-10-21,9.28
2022-10-20,9.23
2022-10-19,9.43
2022-10-18,9.57
2022-10-17,9.52
2022-10-14,9.55
2022-10-13,8.95
2022-10-12,9.46
2022-10-11,9.52
2022-10-10,9.62
2022-10-07,9.62
2022-10-06,9.47
2022-10-05,9.71
2022-10-04,9.66
2022-10-03,9.33
2022-09-30,9.86
2022-09-29,10.1
2022-09-28,10.29
2022-09-27,10.29
2022-09-26,10.19
2022-09-23,10.82
2022-09-22,10.96
2022-09-21,10.38
2022-09-20,10.43
2022-09-19,10.14
2022-09-16,10.87
2022-09-15,11.25
2022-09-14,11.25
2022-09-13,11.25
2022-09-12,11.35
2022-09-09,11.49
2022-09-08,11.15
2022-09-07,11.54
2022-09-06,12.4
2022-09-05,12.26
2022-08-31,12.4
2022-08-30,12.26
2022-08-29,12.5
2022-08-26,12.93
2022-08-25,13.08
2022-08-24,13.27
2022-08-23,13.08
2022-08-22,12.5
2022-08-19,12.98
2022-08-18,13.08
2022-08-17,13.46
2022-08-16,13.32
2022-08-15,13.03
2022-08-12,12.84
2022-08-11,12.6
2022-08-10,13.37
2022-08-09,13.41
2022-08-08,12.55
2022-08-05,12.74
2022-08-04,12.4
2022-08-03,12.5
2022-08-02,12.4
2022-08-01,11.63
2022-07-29,11.3
2022-07-28,11.49
2022-07-27,11.49
2022-07-26,11.06
2022-07-25,11.11
2022-07-22,11.25
2022-07-21,11.44
2022-07-20,11.68
2022-07-19,11.25
2022-07-18,11.15
2022-07-15,11.35
2022-07-14,10.62
2022-07-13,10.58
2022-07-12,10.82
2022-07-11,10.14
2022-07-08,10.38
2022-07-07,10.1
2022-07-06,10.1
2022-07-05,10.19
2022-07-04,10.62
2022-07-01,10.58
2022-06-30,10.48
2022-06-29,11.15
2022-06-28,11.49
2022-06-27,11.54
2022-06-24,11.2
2022-06-23,10.48
2022-06-22,10.58
2022-06-21,10.48
2022-06-20,10.58
2022-06-17,10.58
2022-06-16,10.58
2022-06-15,10.58
2022-06-14,10.82
2022-06-13,10.58
2022-06-10,10.77
2022-06-09,11.25
2022-06-08,11.3
2022-06-07,10.58
2022-06-06,10.67
2022-06-03,11.01
2022-06-02,11.01
2022-06-01,11.54
2022-05-31,11.73
2022-05-30,12.07
2022-05-27,11.92
2022-05-26,12.07
2022-05-25,11.59
2022-05-24,10.87
2022-05-23,10.77
2022-05-20,11.35
2022-05-19,11.2
2022-05-18,11.3
2022-05-17,11.2
2022-05-16,10.48
2022-05-13,10.43
2022-05-12,11.2
2022-05-11,12.02
2022-05-10,11.44
2022-05-09,10.77
2022-05-06,11.54
2022-05-05,12.12
2022-05-04,12.5
2022-04-29,12.93
2022-04-28,12.6
2022-04-27,11.78
2022-04-26,11.01
2022-04-25,10.77
2022-04-22,11.54
2022-04-21,11.83
2022-04-20,12.69
2022-04-19,13.61
2022-04-18,14.62
2022-04-15,15.67
2022-04-14,16.44
2022-04-13,16.83
2022-04-12,16.35
2022-04-08,17.4
2022-04-07,17.84
2022-04-06,18.03
