Item,Q4 2004,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,291856882378.0,659052079669.0,685539511572.0,919521227838.0,1075385809124.0,1416177829462.0,1815085314599.0,2651880551602.0,2316727683536.0,1937042059842.0,1960704738696.0,1516992984118.0,1268762916557.0,1144346676759.0,1159419306616.0,1289680080953.0,1438185623021.0,1141233328778.0,1015681545629.0,1290753718087.0,1260571486482.0,949251532952.0,933528410549.0,1092013389040.0,1080714143955.0,814977568205.0,648106593975.0,785497250962.0,759342290889.0,1202992818571.0,1180551340860.0,1386579187931.0,1255562635762.0,1275174770916.0,1209581138507.0,1334563757242.0,1301718945550.0,1397354437905.0,1237081359715.0,1440676920557.0,1875196951059.0,1779082633165.0,1516196340668.0,1283424871778.0,1433719985563.0,1503519101820.0,1579591913366.0,2064367340303.0,2005360783545.0,2396035423423.0,2544217834905.0,2906834119560.0,3128102974783.0,2629995813928.0,2654417713321.0,3036985578528.0,2870230105642.0,2827357723800.0,2938421837512.0,2727363366502.0,3036347936074.0,2384203517404.0,2453823603158.0,2975170111218.0,3107067403719.0,3471841153562.0,3083548534288.0,3777467277321.0,3119791085286.0,2852168602184.0,2387027498315.0,2260461249919.0,2279581753987.0
I. Tiền và các khoản tương đương tiền,27319688684.0,172690391343.0,10459034989.0,46231013920.0,30781885684.0,43904416988.0,133283313736.0,1091148832149.0,729872154670.0,315813386380.0,156827574289.0,757302475309.0,660318953424.0,666476933005.0,681581891915.0,898148840851.0,858071981268.0,460128385480.0,379523982747.0,336977119546.0,176427411946.0,272585496836.0,119957890022.0,116406957141.0,35397716385.0,104377905305.0,15535822500.0,57281110864.0,30978296259.0,287100113831.0,277516261277.0,340108483148.0,316946498902.0,352309710644.0,245786827958.0,218456365406.0,180344377104.0,116818917496.0,126746029626.0,128098953170.0,40187321409.0,91323013379.0,61036520033.0,134189196139.0,170820527736.0,93029583315.0,219731776345.0,48965821023.0,121866482646.0,61673447441.0,73590473743.0,111091939861.0,93262986958.0,90381918866.0,130762901666.0,160570770073.0,273115788846.0,306563547440.0,313335334015.0,145990056992.0,267434694160.0,276493013033.0,412867452282.0,462449220627.0,560170456498.0,818291954136.0,407404502158.0,418043691769.0,230081924254.0,316341744567.0,51178839581.0,423547955435.0,55812187551.0
1. Tiền,27319688684.0,172690391343.0,10459034989.0,46231013920.0,30781885684.0,,133283313736.0,,729872154670.0,,156827574289.0,757302475309.0,660318953424.0,666476933005.0,338084199777.0,898148840851.0,858071981268.0,460128385480.0,379523982747.0,333977119546.0,171097411946.0,264866220169.0,112460998612.0,113398907141.0,35218176442.0,48254905305.0,15535822500.0,17281110864.0,15378296259.0,18525113831.0,25206261277.0,50788483148.0,39586498902.0,32709710644.0,30681602835.0,84182925298.0,28355304773.0,26039767101.0,68140108066.0,66912801268.0,23033515798.0,54234415578.0,39336520033.0,79789196139.0,168392821813.0,93029583315.0,219731776345.0,35965821023.0,119566482646.0,46658197441.0,60152576650.0,98493831304.0,93262986958.0,70381918866.0,84562901666.0,98566098840.0,69004373225.0,107256969148.0,67484237455.0,59240056992.0,157084694160.0,104949935283.0,336867452282.0,312949220627.0,455670456498.0,731791954136.0,407404502158.0,414043691769.0,230081924254.0,315491744567.0,47878839581.0,417747955435.0,43012187551.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,343497692138.0,0.0,0.0,0.0,0.0,3000000000.0,5330000000.0,7719276667.0,7496891410.0,3008050000.0,179539943.0,56123000000.0,0.0,40000000000.0,15600000000.0,268575000000.0,252310000000.0,289320000000.0,277360000000.0,319600000000.0,215105225123.0,134273440108.0,151989072331.0,90779150395.0,58605921560.0,61186151902.0,17153805611.0,37088597801.0,21700000000.0,54400000000.0,2427705923.0,0.0,0.0,13000000000.0,2300000000.0,15015250000.0,13437897093.0,12598108557.0,0.0,20000000000.0,46200000000.0,62004671233.0,204111415621.0,199306578292.0,245851096560.0,86750000000.0,110350000000.0,171543077750.0,76000000000.0,149500000000.0,104500000000.0,86500000000.0,0.0,4000000000.0,0.0,850000000.0,3300000000.0,5800000000.0,12800000000.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23403132978.0,23136971796.0,22390066371.0,21590066371.0,19988502152.0,19488502152.0,18488502152.0,5238502152.0,0.0,0.0,52450000000.0,75340000000.0,58798888889.0,84108888889.0,86622771889.0,73261888889.0,4158888889.0,3758888889.0,6558888889.0,7158888889.0,7058888889.0,3058888889.0,1949231211.0,1876458080.0,2175031683.0,0.0,0.0,0.0,0.0,0.0,15334880000.0,10827560000.0,9481880000.0,3082500000.0,7552096084.0,213014950084.0,210525817397.0,233826506123.0,524481190910.0,314698242910.0,541431482512.0,364108855693.0,208884297881.0,310919768781.0,329200313434.0,244542238084.0,227604697147.0,226819143747.0,201870670907.0,387047697687.0,125830303389.0,146268461777.0,84572614837.0,138894170060.0,192421739704.0,209508914866.0,292838229193.0,272346572382.0,235142495775.0,265130985895.0,169599116037.0,46846090147.0,29080165747.0,39520318147.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23136971796.0,22390066371.0,21590066371.0,19988502152.0,19488502152.0,18488502152.0,5238502152.0,0.0,0.0,52450000000.0,75340000000.0,58798888889.0,84108888889.0,86622771889.0,73261888889.0,4158888889.0,3758888889.0,6558888889.0,7158888889.0,7058888889.0,3058888889.0,3058888889.0,3058888889.0,3058888889.0,0.0,0.0,0.0,0.0,0.0,17482000000.0,12281360000.0,11064360000.0,3003360000.0,13052210147.0,219484491147.0,217650160250.0,240500605186.0,540617129973.0,415229581533.0,581735572135.0,451630194015.0,343652232892.0,391118490754.0,391118428057.0,293122754707.0,293122754707.0,292746231307.0,343537744467.0,342192229217.0,58567429217.0,70501895577.0,65542862197.0,130122777658.0,170914119630.0,193117989237.0,278544699960.0,275838645489.0,316181293949.0,311171165267.0,208481489025.0,56235673740.0,29430533385.0,29612080737.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1109657678.0,-1182430809.0,-883857206.0,0.0,0.0,0.0,0.0,0.0,-2797120000.0,-2103800000.0,-2232480000.0,-570860000.0,-5500114063.0,-6469541063.0,-7124342853.0,-6674099063.0,-16135939063.0,-100531338623.0,-40304089623.0,-87521338322.0,-134767935011.0,-87698721973.0,-86128114623.0,-83590516623.0,-92738057560.0,-92747087560.0,-156287073560.0,-148851608020.0,-293813880.0,-262624260.0,-170247360.0,-828607598.0,-1092379926.0,-709074371.0,-2806470767.0,-9092073107.0,-82038798174.0,-55540179372.0,-52882372988.0,-19889583593.0,-9650367638.0,-1591762590.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650000000.0,650000000.0,650000000.0,650000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000000.0,24210000000.0,35010000000.0,27220000000.0,26820000000.0,14620000000.0,193707076490.0,67556688052.0,76029190460.0,19200000000.0,9600000000.0,22600000000.0,17100000000.0,17100000000.0,5600000000.0,1000000000.0,9500000000.0,14000000000.0,10500000000.0,9300000000.0,11500000000.0
III. Các khoản phải thu ngắn hạn,97635890083.0,182516899942.0,237441393969.0,301291427946.0,344571424496.0,756207964297.0,1199985968398.0,1008640369448.0,778234603412.0,459656636399.0,1091322521469.0,316060840341.0,206606466011.0,164192796120.0,135636806873.0,125556229205.0,344504092181.0,248324812195.0,313734223487.0,306838080246.0,368938631045.0,268540610617.0,338371537276.0,361946409691.0,388625488806.0,308852293191.0,266368584164.0,386774275026.0,409016790729.0,480085886262.0,480754778928.0,539507656374.0,390430887848.0,341401663066.0,413033012770.0,588659667030.0,463935204887.0,542776766752.0,550239703383.0,581928639952.0,745137997550.0,730099206247.0,620690862004.0,526632813163.0,467102905224.0,555376729332.0,456739455256.0,747750587630.0,864498961226.0,1127205632229.0,1312236285452.0,1625293744545.0,1667392530313.0,1273803110616.0,1351588016979.0,1368145151712.0,1201121129167.0,1463827772573.0,1440585918394.0,1846743449260.0,2065848847157.0,1502999705197.0,1461232247226.0,1723749827355.0,1642587468366.0,1877422834497.0,1929169697660.0,2638053102692.0,2062463974865.0,1804182178022.0,1828124456472.0,1360939830632.0,1768643880586.0
