Period,Lưu chuyển tiền thuần trong kỳ
Q1 2007,89378896748.0
Q2 2007,957865518413.0
Q3 2007,-361276677479.0
Q4 2007,-414058768290.0
Q1 2008,-158985812091.0
Q2 2008,600474901020.0
Q3 2008,-96983521885.0
Q4 2008,6157979581.0
Q1 2009,15104958910.0
Q2 2009,216566948936.0
Q3 2009,-40076859583.0
Q4 2009,-397943595788.0
Q1 2010,-80604402733.0
Q2 2010,-56075187080.0
Q3 2010,-160759707600.0
Q4 2010,104095856726.0
Q1 2011,-152627606814.0
Q2 2011,-3550932881.0
Q3 2011,-81009240756.0
Q4 2011,68980188920.0
Q1 2012,-33369082805.0
Q2 2012,-13727711636.0
Q3 2012,-26302814605.0
Q4 2012,256124519857.0
Q1 2013,-13590210237.0
Q2 2013,62586832039.0
Q3 2013,-23100073785.0
Q4 2013,35360431717.0
Q1 2014,-106606904746.0
Q2 2014,-27448005522.0
Q3 2014,-38128915859.0
Q4 2014,-63598447994.0
Q1 2015,9904456379.0
Q2 2015,1292068982.0
Q3 2015,-87828867846.0
Q4 2015,51105157039.0
Q1 2016,-30285417553.0
Q2 2016,73175205400.0
Q3 2016,36610516880.0
Q4 2016,-77808815047.0
Q1 2017,126716716771.0
Q2 2017,-170767896139.0
Q3 2017,72902121803.0
Q4 2017,-60190046695.0
Q1 2018,14566170708.0
Q2 2018,37498818102.0
Q3 2018,-17853001589.0
Q4 2018,-2829466625.0
Q1 2019,39678570585.0
Q2 2019,29823700864.0
Q3 2019,112493600283.0
Q4 2019,33448764640.0
Q1 2020,111348246328.0
Q2 2020,-167339570427.0
Q3 2020,121686643518.0
Q1 2021,136446045932.0
Q2 2021,49546282089.0
Q3 2021,64689613053.0
Q1 2022,-410887462930.0
Q2 2022,10648748029.0
Q3 2022,-187996485145.0
Q4 2022,86281704564.0
Q1 2023,-265163110997.0
Q2 2023,372372064641.0
Q3 2023,-367673495605.0
