Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007 - Q4,1384311.0,765552.0,675908.0,89644.0,618759.0,994.0,13750.0,0.0
2008 - Q1,1345644.0,710708.0,571064.0,139644.0,634936.0,1737.0,14110.0,32.53
2008 - Q2,1355835.0,650136.0,510492.0,139644.0,702368.0,3108.0,12006.0,10.39
2008 - Q3,1442240.0,694702.0,542395.0,152307.0,744190.0,3653.0,12721.0,10.18
2008 - Q4,1293095.0,616865.0,329946.0,286919.0,672924.0,4052.0,11503.0,6.86
2009 - Q1,1212155.0,529348.0,242428.0,286920.0,679504.0,3372.0,11615.0,5.16
2009 - Q2,1200472.0,503444.0,238448.0,264996.0,693749.0,2319.0,11859.0,10.78
2009 - Q3,1309399.0,583335.0,456214.0,127121.0,722804.0,2023.0,10744.0,13.84
2009 - Q4,2003237.0,1243316.0,609388.0,633928.0,744918.0,1138.0,11073.0,22.75
2010 - Q1,1800926.0,1038611.0,431313.0,607298.0,745446.0,1034.0,11081.0,25.43
2010 - Q2,1665935.0,900818.0,287081.0,613737.0,765117.0,1087.0,11373.0,22.53
2010 - Q3,1790555.0,1020438.0,415137.0,605301.0,770118.0,722.0,10407.0,22.03
2010 - Q4,2356493.0,1494830.0,637016.0,857814.0,774568.0,466.0,10467.0,26.17
2011 - Q1,2489389.0,1651259.0,792521.0,858738.0,765221.0,282.0,10341.0,28.69
2011 - Q2,2592603.0,1792780.0,778148.0,1014632.0,729731.0,-455.0,9861.0,-19.55
2011 - Q3,2630436.0,1856591.0,841934.0,1014657.0,704558.0,-851.0,9521.0,-9.99
2011 - Q4,2463050.0,1812110.0,1094993.0,717117.0,650941.0,-1775.0,8796.0,-4.34
2012 - Q1,2553317.0,1949110.0,1196658.0,752452.0,613200.0,-2265.0,8286.0,-2.12
2012 - Q2,2552041.0,1966920.0,1222981.0,743939.0,591897.0,-2100.0,7998.0,-2.9
2012 - Q3,2122634.0,1678900.0,947285.0,731615.0,431939.0,-4148.0,5837.0,-1.08
2012 - Q4,2166144.0,1729678.0,1093199.0,636479.0,434840.0,-3259.0,5876.0,-1.38
2013 - Q1,1889307.0,1490949.0,820776.0,670173.0,400460.0,-2683.0,5411.0,-0.89
2013 - Q2,1924217.0,1500062.0,847051.0,653011.0,421967.0,-2105.0,5702.0,-0.9
2013 - Q3,1810758.0,1402429.0,724692.0,677737.0,406787.0,287.0,5497.0,7.68
2013 - Q4,1839651.0,1429339.0,802628.0,626711.0,409121.0,279.0,5529.0,15.78
2014 - Q1,,,,,,374.0,0.0,10.95
2014 - Q2,,,,,,261.0,0.0,15.68
