Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2005,141104.0,117076.0,82930.0,34146.0,24027.0,452.0,10447.0,0.0
2006,228000.0,158504.0,124223.0,34281.0,69495.0,3809.0,13899.0,0.0
2007,1211219.0,609727.0,520083.0,89644.0,601491.0,3038.0,13366.0,0.0
2008,1218817.0,542600.0,411680.0,130920.0,672914.0,1376.0,11503.0,20.2
2009,2018043.0,1258086.0,623430.0,634656.0,744952.0,1280.0,11073.0,20.23
2010,2335870.0,1487431.0,629616.0,857815.0,775530.0,464.0,10480.0,26.28
2011,2463032.0,1812110.0,1084993.0,727117.0,659738.0,-1538.0,8915.0,-5.01
2012,2031820.0,1625340.0,987236.0,638104.0,404379.0,-3451.0,5464.0,-1.3
2013,1813085.0,1404580.0,777869.0,626711.0,408505.0,2.0,5520.0,2026.44
2014,1832918.0,1395756.0,351386.0,1044370.0,437162.0,387.0,5907.0,15.24
2015,2171077.0,1711583.0,544533.0,1167050.0,459493.0,302.0,6209.0,18.23
2016,1960865.0,1449263.0,689423.0,759840.0,511602.0,689.0,6913.0,7.69
2017,1789192.0,1166386.0,637033.0,529353.0,622806.0,1503.0,8416.0,4.66
2018,1945701.0,1193285.0,625213.0,568072.0,752417.0,1654.0,10168.0,3.45
2019,2089743.0,1322829.0,926685.0,396144.0,766914.0,148.0,10363.0,33.04
2020,2518241.0,1658028.0,803430.0,854598.0,860213.0,169.0,11624.0,38.87
2021,4416748.0,3374222.0,1398451.0,1975771.0,1042526.0,923.0,14088.0,37.94
2022,5488034.0,3629427.0,2434272.0,1195155.0,1858607.0,919.0,12558.0,16.53
