Date,Sales
Q3/2006,1411092935
Q4/2006,55395520255
Q1/2007,64862001162
Q2/2007,298175601306
Q3/2007,226272133646
Q4/2007,261905851611
Q1/2008,336237630806
Q2/2008,340876963399
Q3/2008,243861016515
Q4/2008,-59599498884
Q1/2009,21225201244
Q2/2009,92653355705
Q3/2009,107230228190
Q4/2009,161184322366
Q1/2010,324926063983
Q2/2010,10808582010
Q3/2010,37067962766
Q4/2010,33138546077
Q1/2011,29202249321
Q2/2011,13560453358
Q3/2011,9047825263
Q4/2011,3813642169
Q1/2012,21574614813
Q2/2012,111838134988
Q3/2012,11361612392
Q4/2012,51783545306
Q1/2013,4319118320
Q2/2013,175445964906
Q3/2013,8129458560
Q4/2013,72301903282
Q1/2014,39739715764
Q2/2014,65619433682
Q3/2014,17574981263
Q4/2014,102832045683
Q1/2015,77409848308
Q2/2015,57655834749
Q3/2015,66594829960
Q4/2015,286043470290
Q1/2016,93504759392
Q2/2016,138722576872
Q3/2016,111994996076
Q4/2016,369586464659
Q1/2017,302082035915
Q2/2017,210223669375
Q3/2017,36471720602
Q4/2017,250440781329
Q1/2018,148249339351
Q2/2018,201391760604
Q3/2018,169871256547
Q4/2018,164628410621
Q1/2019,180821393867
Q2/2019,174159858611
Q3/2019,132672559216
Q4/2019,205146707026
Q1/2020,88147264472
Q2/2020,101688911024
Q3/2020,192452618565
Q4/2020,88149998692
Q1/2021,80939805769
Q2/2021,78317248375
Q3/2021,116188047022
Q4/2021,431134699450
Q1/2022,410667921077
Q2/2022,164941594249
Q3/2022,203579206573
Q4/2022,675005669059
Q1/2023,93382816656
Q2/2023,388482515112
Q3/2023,270770399956
