Item,Q4 2004,Q4 2005,Q4 2006,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,35650833162.0,124217877315.0,194090060179.0,323476695543.0,395309216012.0,526590720677.0,370175367352.0,393945747646.0,473556072451.0,310684401720.0,201406975334.0,179811748002.0,277951272238.0,858692465039.0,758900768209.0,415625624039.0,430224228988.0,757941409626.0,550345223348.0,482775280501.0,459404194329.0,467424867719.0,549510939752.0,543809541474.0,439030244233.0,485503815957.0,427353590117.0,524543092581.0,388223881745.0,526874971301.0,473813949980.0,608813924546.0,657528974754.0,1024293663996.0,1107869353592.0,1186481500431.0,1334756964605.0,1448215838232.0,1411268826029.0,1396584269664.0,1314072525633.0,963879308203.0,814449247028.0,814343848461.0,777363324270.0,605397225669.0,789827443937.0,814644659009.0,796970325378.0,907865664701.0,979939924410.0,959830032642.0,1013657962013.0,873298717823.0,1182416132190.0,1110064470232.0,1359085200360.0,1414375053404.0,1889777760470.0,1777317905416.0,1881804321357.0,2024699553301.0,2134639416289.0,2241139723286.0,2345318285565.0,3453812494978.0,3694512371496.0,4046255213311.0,4394255616956.0
I. Tiền và các khoản tương đương tiền,6217999724.0,11893934647.0,1753415399.0,60351140608.0,15014615219.0,10853224389.0,52927339682.0,23936097861.0,12789098440.0,54183038451.0,8423968676.0,6209960895.0,5810518181.0,13763785432.0,201139417574.0,16269652741.0,5059484980.0,6430632265.0,3472186884.0,9085600648.0,4189641968.0,54437201674.0,44578992730.0,12471949257.0,9575616313.0,12574324346.0,15603095216.0,21705252359.0,5377093268.0,13611580078.0,23073384874.0,17921858091.0,11580648693.0,33660343399.0,22688136614.0,9715588347.0,12407563218.0,13673104572.0,16477832417.0,90600987284.0,79080057974.0,69024326354.0,83853070563.0,44829480097.0,40486557628.0,52945261606.0,59363101299.0,76066062082.0,21713246797.0,57250776369.0,91262129666.0,70267102088.0,103255327965.0,23141565620.0,76852889049.0,10189293632.0,60160847685.0,123670780308.0,311352015810.0,119314050724.0,85632327381.0,81790060765.0,79587125311.0,88880724855.0,22585962551.0,67671728584.0,188302002966.0,136957013468.0,136402081140.0
1. Tiền,6217999724.0,11893934647.0,1753415399.0,60351140608.0,10014615219.0,10853224389.0,41927339682.0,7636097861.0,10989098440.0,17683038451.0,8423968676.0,6209960895.0,5810518181.0,13763785432.0,201139417574.0,16269652741.0,5059484980.0,6430632265.0,3472186884.0,1185600648.0,2189641968.0,54437201674.0,4018992730.0,4418498257.0,4639416313.0,7874324346.0,15303095216.0,21705252359.0,5377093268.0,13611580078.0,18173384874.0,17921858091.0,11580648693.0,24860343399.0,22688136614.0,9715588347.0,12407563218.0,13673104572.0,15977832417.0,83100987284.0,61580057974.0,48524326354.0,79353070563.0,27329480097.0,40486557628.0,14941261606.0,23213101299.0,15944433530.0,19555602961.0,57250776369.0,61262129666.0,40071332088.0,101255327965.0,19141565620.0,74852889049.0,9984173807.0,38460847685.0,69970780308.0,280952015810.0,81548939967.0,50984254092.0,57364924752.0,30662656313.0,70645609788.0,16572203647.0,48738927855.0,113573554022.0,21246732777.0,88897621967.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,0.0,5000000000.0,0.0,11000000000.0,16300000000.0,1800000000.0,36500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900000000.0,2000000000.0,0.0,40560000000.0,8053451000.0,4936200000.0,4700000000.0,300000000.0,0.0,0.0,0.0,4900000000.0,0.0,0.0,8800000000.0,0.0,0.0,0.0,0.0,500000000.0,7500000000.0,17500000000.0,20500000000.0,4500000000.0,17500000000.0,0.0,38004000000.0,36150000000.0,60121628552.0,2157643836.0,0.0,30000000000.0,30195770000.0,2000000000.0,4000000000.0,2000000000.0,205119825.0,21700000000.0,53700000000.0,30400000000.0,37765110757.0,34648073289.0,24425136013.0,48924468998.0,18235115067.0,6013758904.0,18932800729.0,74728448944.0,115710280691.0,47504459173.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350000000.0,1000000000.0,414566500000.0,85000000000.0,154230000000.0,143230000000.0,46592291667.0,35592291667.0,12918291667.0,10218291667.0,8918291667.0,5418291667.0,0.0,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000000.0,6850000000.0,6731312334.0,6850000000.0,6850000000.0,6850000000.0,12978000000.0,6478000000.0,6671323348.0,6478000000.0,461247616.0,14293729203.0,465989649.0,263000000.0,470168816.0,471972979.0,1210626197.0,1008250000.0,1008250000.0,1000000000.0,1000000000.0,20500000000.0,20500000000.0,40500000000.0,23500000000.0,83500000000.0,88000000000.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350000000.0,1000000000.0,414566500000.0,85000000000.0,154230000000.0,143230000000.0,46592291667.0,35592291667.0,12918291667.0,10218291667.0,8918291667.0,5418291667.0,0.0,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13830000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000000.0,6850000000.0,6731312334.0,6850000000.0,6850000000.0,6850000000.0,12978000000.0,6478000000.0,6671323348.0,6478000000.0,461247616.0,463729203.0,465989649.0,263000000.0,470168816.0,471972979.0,1210626197.0,1008250000.0,1008250000.0,1000000000.0,1000000000.0,20500000000.0,20500000000.0,40500000000.0,23500000000.0,83500000000.0,87000000000.0
III. Các khoản phải thu ngắn hạn,26774967963.0,82516233165.0,154739398398.0,245926438213.0,355258373356.0,311135611190.0,274758350228.0,323330415825.0,409810999467.0,204118848451.0,150899281373.0,129305408230.0,228519812461.0,154083200688.0,452549187745.0,233658747189.0,269919695348.0,510648023483.0,471099765154.0,434087556564.0,416261852304.0,385030682790.0,483964539135.0,516677911919.0,413143068718.0,451661322020.0,382686392736.0,484181667638.0,361740574583.0,492000757817.0,431231449977.0,517876050043.0,528490149808.0,885694991164.0,989309582923.0,964613722879.0,1047825114424.0,1158885857854.0,1141806723622.0,1098744332494.0,1061625764337.0,633953303971.0,603077322761.0,628964043638.0,597984573011.0,460638953306.0,622739954862.0,601759912444.0,621864070427.0,673220168680.0,624369861101.0,607388110945.0,602584309688.0,501494055297.0,807861501518.0,731310482813.0,885208200363.0,865567223541.0,949608357150.0,976933576768.0,1099013940654.0,1337309653617.0,1341825851157.0,1327738864129.0,1307823684563.0,1910689981360.0,2051548737941.0,2209671480414.0,1830825787531.0
1. Phải thu ngắn hạn của khách hàng,12938760099.0,9649352233.0,11918959154.0,5482891916.0,6358547662.0,7647637156.0,22152733059.0,212872216696.0,164404178550.0,47654361635.0,24564393064.0,17838756130.0,109182887510.0,18636149409.0,107904123930.0,9387098258.0,36485914745.0,32250467193.0,16338692257.0,16326514255.0,16443097811.0,16439350545.0,23241804588.0,25385594444.0,25208737028.0,109428397462.0,105841628430.0,220109188957.0,110927729022.0,118199056721.0,111235193097.0,319728875518.0,307973890794.0,350375362709.0,353647407586.0,265733301154.0,276168181031.0,400808806921.0,367143169351.0,334137169476.0,338858957469.0,188529720740.0,150881261217.0,167663456200.0,151036629357.0,240007210183.0,212198172318.0,214559346254.0,221139739679.0,252228602940.0,189479855762.0,191232681538.0,156709671933.0,182289633884.0,169608754551.0,114952004507.0,135704704149.0,65694218747.0,52333710501.0,73210578975.0,84062316601.0,266442162153.0,359465091987.0,150591952738.0,189155910419.0,105339218237.0,107262794982.0,407144340685.0,257834923407.0
2. Trả trước cho người bán,11857234366.0,4984070653.0,19086040262.0,80478827868.0,91735464568.0,66143569459.0,12429458949.0,14160056835.0,14296105778.0,3192686968.0,4218734010.0,3300052255.0,18648477188.0,50268504183.0,49357840448.0,31917774031.0,35502928781.0,84926420094.0,79061967344.0,59760183191.0,68121067767.0,52379068223.0,45306751075.0,34822653390.0,34468717105.0,29702161601.0,33590117534.0,28030118691.0,34055029789.0,30268114348.0,27688162926.0,27595284335.0,15046008950.0,32718831535.0,25374928350.0,42582961318.0,33071257899.0,27740056356.0,45287270754.0,51216333766.0,89266130061.0,78216400466.0,81826873485.0,73391186230.0,69015400543.0,54435749551.0,74621901559.0,60268867089.0,75160902342.0,81348825469.0,121931787683.0,112915469914.0,154573378172.0,157616753377.0,146283143529.0,182077208339.0,149793684772.0,173409267496.0,183494193746.0,169907435146.0,273278198405.0,240006309762.0,263457984848.0,308981594457.0,224507669017.0,195774569560.0,568588570812.0,706088784326.0,549743383802.0
3. Phải thu nội bộ ngắn hạn,0.0,47979220394.0,64603566286.0,22097766443.0,78837591666.0,172979266655.0,173966030029.0,21936041525.0,34799893451.0,73545428386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14113727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu theo tiến độ hợp đồng xây dựng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,30000000000.0,30000000000.0,30000000000.0,33000000000.0,9255000000.0,9255000000.0,9255000000.0,9865750000.0,10023250000.0,10023250000.0,10023250000.0,10023250000.0,10662000000.0,89393922460.0,35412000000.0,221112000000.0,222618288889.0,336842000000.0,345742000000.0,308153230000.0,358081063333.0,293378041963.0,336146045018.0,377646045018.0,388386045018.0,227386045018.0,187122045018.0,124582045018.0
6. Phải thu ngắn hạn khác,1978973498.0,19903589885.0,59130832696.0,137866951986.0,178326769460.0,64365137920.0,66210128191.0,74362100769.0,196310821688.0,79726371462.0,122116154299.0,108166599845.0,100688447763.0,85178547096.0,295287223367.0,192353874900.0,197930851822.0,393471136196.0,375699105553.0,358000859118.0,331697686726.0,318605804064.0,417809523514.0,458863204127.0,355859154627.0,314924302999.0,245648186814.0,238435900032.0,219151355814.0,346418544102.0,295193051308.0,173436847544.0,208355207418.0,505471640547.0,635690829033.0,681701042453.0,763989257540.0,755740576623.0,759671605348.0,758716151082.0,675825998638.0,382532504596.0,395024179238.0,428189392387.0,409689534290.0,222661494415.0,391895299626.0,382907117742.0,380928097047.0,371497639802.0,345189512187.0,335471254024.0,323532554114.0,201893337567.0,445016991059.0,440688663350.0,420417204825.0,445664841792.0,418893422286.0,430261263336.0,475707896337.0,514967819058.0,468223503787.0,574748349851.0,559243138044.0,1266992297223.0,1191383475807.0,952308381320.0,941657506239.0
7. Dự phòng phải thu ngắn hạn khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2393540042.0,-2393540042.0,-2393540042.0,-2393540042.0,-2393540042.0,-2393540042.0,-2393540042.0,-2393540042.0,-2884957354.0,-2884957354.0,-2884957354.0,-2884957354.0,-2884957354.0,-25403582046.0,-25403582046.0,-25403582046.0,-25403582046.0,-30295321831.0,-45325321830.0,-45325321831.0,-45325321831.0,-54654991179.0,-70279991179.0,-64756991179.0,-65720500843.0,-65230418641.0,-65230418641.0,-65230418641.0,-41878149531.0,-42254544531.0,-42254544531.0,-42254544531.0,-50967669531.0,-42441310081.0,-41819393383.0,-41819393383.0,-41819393383.0,-41954969383.0,-42187700689.0,-42187700689.0,-42187700689.0,-42698771428.0,-42729077935.0,-42729077935.0,-45802148678.0,-43072148678.0,-42992070935.0,-42992070935.0
IV. Tổng hàng tồn kho,1865397993.0,28153869328.0,37383846181.0,13359880250.0,20425470054.0,185146938616.0,33186285090.0,36115475380.0,39523588397.0,40547018431.0,26600547245.0,15595863126.0,21351581475.0,240482316418.0,9949978448.0,696828767.0,696828767.0,20229663996.0,20229663996.0,12623791236.0,14645930417.0,1976750161.0,836733528.0,696828767.0,696828767.0,696828767.0,8771068303.0,10390418593.0,8486974692.0,8274877465.0,10217371202.0,64662052909.0,92366557238.0,77457654293.0,80807032672.0,193407036618.0,247951160411.0,254502554021.0,234284370017.0,196185759212.0,157409324859.0,233651213631.0,89479764215.0,97360815673.0,96569365607.0,72749455729.0,84485740433.0,117896388996.0,130446822374.0,159790945226.0,242540864038.0,259179702997.0,291626981527.0,318237817490.0,268250175445.0,342309498230.0,385043534692.0,407604639439.0,603292864750.0,653253614183.0,680296101632.0,590732339916.0,696065957207.0,777358213085.0,967480560850.0,1394756938405.0,1386742122925.0,1576052340899.0,2299064973927.0
1. Hàng tồn kho,1865397993.0,28153869328.0,37383846181.0,13359880250.0,20425470054.0,185146938616.0,33186285090.0,36115475380.0,39523588397.0,40547018431.0,26600547245.0,15595863126.0,21351581475.0,240482316418.0,9949978448.0,696828767.0,696828767.0,20229663996.0,20229663996.0,12623791236.0,14645930417.0,1976750161.0,836733528.0,696828767.0,696828767.0,696828767.0,8771068303.0,10390418593.0,8486974692.0,8274877465.0,10217371202.0,64662052909.0,92366557238.0,77457654293.0,80807032672.0,193407036618.0,247951160411.0,254502554021.0,234284370017.0,196185759212.0,157409324859.0,233651213631.0,89479764215.0,97360815673.0,96569365607.0,72749455729.0,84485740433.0,117896388996.0,130446822374.0,159790945226.0,242540864038.0,259179702997.0,291626981527.0,318237817490.0,268250175445.0,342309498230.0,385043534692.0,407604639439.0,603292864750.0,653253614183.0,680296101632.0,590732339916.0,696065957207.0,777358213085.0,967480560850.0,1394756938405.0,1386742122925.0,1576052340899.0,2299064973927.0
2. Dự phòng giảm giá hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
