Item,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,1411092935.0,55395520255.0,64862001162.0,298175601306.0,226272133646.0,261905851611.0,336237630806.0,340876963399.0,243861016515.0,163208543416.0,21225201244.0,92653355705.0,107230228190.0,161184322366.0,324926063983.0,10808582010.0,37067962766.0,33138546077.0,29202249321.0,13560453358.0,9047825263.0,3813642169.0,21574614813.0,273031346968.0,11361612392.0,63078333326.0,4319118320.0,175445964906.0,8415548793.0,72939604335.0,39846304422.0,66960652772.0,21692720895.0,102842954773.0,77451302854.0,57708780204.0,66594829960.0,286043470290.0,94970386547.0,139654048686.0,113446354221.0,375343049001.0,316295842863.0,199529801387.0,49066134807.0,251480501576.0,149110421606.0,202282856655.0,171175512881.0,166024434205.0,182597870559.0,175462682994.0,133146344007.0,206912871897.0,88864843156.0,101847191180.0,194329648489.0,88149998692.0,80939805769.0,78317248375.0,116188047022.0,431134699450.0,410667921077.0,164941594249.0,203579206573.0,675005669059.0,93382816656.0,388482515112.0,270770399956.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222808042300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161193211980.0,0.0,11294788020.0,0.0,0.0,286090233.0,637701053.0,106588658.0,1341219090.0,4117739632.0,10909090.0,41454546.0,52945455.0,0.0,0.0,1465627155.0,931471814.0,1451358145.0,5756584342.0,14213806948.0,-10693867988.0,12594414205.0,1039720247.0,861082255.0,891096051.0,1304256334.0,1396023584.0,1776476692.0,1302824383.0,473784791.0,1766164871.0,717578684.0,158280156.0,1877029924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),1411092935.0,55395520255.0,64862001162.0,298175601306.0,226272133646.0,261905851611.0,336237630806.0,340876963399.0,243861016515.0,-59599498884.0,21225201244.0,92653355705.0,107230228190.0,161184322366.0,324926063983.0,10808582010.0,37067962766.0,33138546077.0,29202249321.0,13560453358.0,9047825263.0,3813642169.0,21574614813.0,111838134988.0,11361612392.0,51783545306.0,4319118320.0,175445964906.0,8129458560.0,72301903282.0,39739715764.0,65619433682.0,17574981263.0,102832045683.0,77409848308.0,57655834749.0,66594829960.0,286043470290.0,93504759392.0,138722576872.0,111994996076.0,369586464659.0,302082035915.0,210223669375.0,36471720602.0,250440781329.0,148249339351.0,201391760604.0,169871256547.0,164628410621.0,180821393867.0,174159858611.0,132672559216.0,205146707026.0,88147264472.0,101688911024.0,192452618565.0,88149998692.0,80939805769.0,78317248375.0,116188047022.0,431134699450.0,410667921077.0,164941594249.0,203579206573.0,675005669059.0,93382816656.0,388482515112.0,270770399956.0
4. Giá vốn hàng bán,998463830.0,34280961634.0,33881445640.0,263896730104.0,173396476866.0,212337012963.0,298386193574.0,267180166308.0,201476479797.0,24542123982.0,13965172402.0,76208938639.0,61646428734.0,145125067570.0,328689777818.0,14873553909.0,19732757556.0,22727855536.0,14788142607.0,13624251461.0,9519024778.0,10638172385.0,12045421534.0,-1064459864.0,13494644670.0,80140186207.0,10689482902.0,115484877821.0,6989670688.0,66587301987.0,16821581459.0,84778129394.0,10239012389.0,63717242913.0,72890002082.0,46029028479.0,44930265007.0,233891559034.0,69654822922.0,72028994871.0,74244703017.0,251424489339.0,167054956968.0,165761810919.0,13908003409.0,136591728064.0,99475484568.0,160053080316.0,117089865530.0,70954312550.0,125570872754.0,132072598567.0,98936202463.0,193231900884.0,65895273985.0,66332691828.0,163888594930.0,55222954290.0,51883371962.0,36108942065.0,84193221733.0,346593809852.0,170792368362.0,142710957942.0,168908408282.0,629859434287.0,51490408867.0,328212445028.0,235505961466.0
5. Lợi nhuận gộp (3)-(4),412629105.0,21114558621.0,30980555522.0,34278871202.0,52875656780.0,49568838648.0,37851437232.0,73696797091.0,42384536718.0,-84141622866.0,7260028842.0,16444417066.0,45583799456.0,16059254796.0,-3763713835.0,-4064971899.0,17335205210.0,10410690541.0,14414106714.0,-63798103.0,-471199515.0,-6824530216.0,9529193279.0,112902594852.0,-2133032278.0,-28356640901.0,-6370364582.0,59961087085.0,1139787872.0,5714601295.0,22918134305.0,-19158695712.0,7335968874.0,39114802770.0,4519846226.0,11626806270.0,21664564953.0,52151911256.0,23849936470.0,66693582001.0,37750293059.0,118161975320.0,135027078947.0,44461858456.0,22563717193.0,113849053265.0,48773854783.0,41338680288.0,52781391017.0,93674098071.0,55250521113.0,42087260044.0,33736356753.0,11914806142.0,22251990487.0,35356219196.0,28564023635.0,32927044402.0,29056433807.0,42208306310.0,31994825289.0,84540889598.0,239875552715.0,22230636307.0,34670798291.0,45146234772.0,41892407789.0,60270070084.0,35264438490.0
6. Doanh thu hoạt động tài chính,8779766.0,67716675.0,187866538.0,1424434782.0,163159328.0,513671284.0,171206932.0,2482534134.0,2026921527.0,17102549896.0,98929280.0,657514606.0,90073706.0,14164060987.0,9730528362.0,37603039236.0,5921325828.0,8135993124.0,2004042924.0,1289918326.0,10985845631.0,1586630898.0,693863284.0,1527221484.0,188326711814.0,7314269.0,24020791369.0,403304233.0,116160000.0,27504923671.0,307923892.0,49454582708.0,27226530110.0,29267100242.0,32101547504.0,18895595252.0,11590792815.0,262452458.0,2171728166.0,74618680.0,279655401.0,256514121.0,612325246.0,16215123808.0,4845334779.0,8735711163.0,628698317.0,1100445086.0,1798678539.0,801325044.0,325245983.0,1079932087.0,813110530.0,885601870.0,229485350.0,1930669344.0,2903642593.0,4390567508.0,2793951033.0,6940670879.0,5193992552.0,5407725205.0,5131260472.0,18542730012.0,4906943581.0,5769564247.0,5975166199.0,6362596841.0,4574280442.0
7. Chi phí tài chính,0.0,1116921162.0,222770229.0,127964711.0,776262564.0,1137300784.0,1918578056.0,6158448561.0,628200495.0,107666068.0,64921733.0,55590882.0,125123745.0,3669638013.0,1027269132.0,5373924887.0,14249226178.0,13137393368.0,21029343899.0,33661787961.0,33293775903.0,37564833407.0,44830274644.0,46612326480.0,335394665516.0,25554600374.0,21612758027.0,33724405554.0,-2466956199.0,31334017679.0,11539534017.0,15344150439.0,16525393591.0,45856480159.0,19126859145.0,15598798289.0,16801420582.0,17132142721.0,16076088921.0,27950833547.0,15020309273.0,17679327467.0,8568438423.0,9748624803.0,-1909895427.0,37785967539.0,8976420229.0,12156803391.0,6605633758.0,10379443360.0,2288865736.0,7927048141.0,4280357609.0,104166888.0,1791024201.0,5509842545.0,1524147082.0,4896066488.0,3935850755.0,13177446897.0,11770868951.0,16191406492.0,16318229303.0,75283392804.0,14561738279.0,24606471241.0,17337661585.0,21321336536.0,15438692912.0
Trong đó: Chi phí lãi vay,0.0,556686286.0,222770229.0,55306223.0,772686480.0,915709040.0,1918016923.0,749119900.0,447123646.0,63000000.0,6300000.0,8960000.0,63875560.0,3560421591.0,990551332.0,5096304291.0,14192575519.0,13033935436.0,21029343899.0,32918326436.0,33226032243.0,37168996820.0,44827606589.0,46070637974.0,33294665516.0,25348311985.0,21545721002.0,32672003419.0,-2466956199.0,30454236647.0,11513903797.0,21065348848.0,16525393591.0,36048292049.0,19123974473.0,15471677726.0,16701495734.0,17115020753.0,16076088921.0,18171595423.0,0.0,17073506981.0,8507830833.0,9803625552.0,4753515246.0,10776496800.0,8973030349.0,9298610259.0,6429840508.0,7962876854.0,2286957168.0,6197063991.0,4181506027.0,-13925541561.0,2187899207.0,5052040260.0,1517405082.0,2890278259.0,4416974660.0,12241659935.0,10913821449.0,16190614928.0,16318229303.0,18497156276.0,14598468618.0,24594414768.0,17700642660.0,20947186955.0,15440675742.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4425355380.0,-8378381693.0,-24244550256.0,29723876813.0,-37581590.0,-1687957070.0,-36631249.0,7351336917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23511620.0,-36338092.0,-253469037.0,-25769590.0,1820112524.0,3175479300.0,-4148530354.0,3197269082.0,5343634548.0,6327712089.0,-9813238676.0,1675870056.0,3347048756.0,1715035280.0
9. Chi phí bán hàng,87950185.0,303409817.0,0.0,8603809.0,16761429.0,269883434.0,163237743.0,8268722.0,0.0,0.0,0.0,0.0,12576407.0,21213229.0,3843409.0,2010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892054705.0,0.0,595880818.0,0.0,372386804.0,9972000.0,1385972773.0,18932000.0,1420823545.0,1129909815.0,1224424959.0,2961313731.0,3732790359.0,1686454827.0,1530877032.0,2009292187.0,4857426778.0,4988306192.0,26634986869.0,3593039592.0,7755906987.0,4827789855.0,8736690505.0,10024562744.0,6350936932.0,14179743467.0,3720729264.0,5497019993.0,4141977413.0,4350830866.0,3984204512.0,5395159573.0,10912513736.0,3389939656.0,816319694.0,3670063120.0,1533362446.0,850524065.0,5524566597.0,642223895.0,5785673154.0,1686125041.0,735504984.0,402175659.0
