Period,Lưu chuyển tiền thuần trong kỳ
Q1 2007,329243216729.0
Q2 2007,-270645491520.0
Q3 2007,-45336525389.0
Q1 2008,42074115293.0
Q2 2008,-28991241821.0
Q3 2008,-11146999421.0
Q1 2009,-5753187440.0
Q2 2009,-2214007781.0
Q3 2009,-399442714.0
Q4 2009,7953267251.0
Q1 2010,-248254967229.0
Q2 2010,-184930064833.0
Q3 2010,-11210167761.0
Q4 2010,1332347285.0
Q1 2011,-2963972090.0
Q2 2011,5613413764.0
Q3 2011,-4895958680.0
Q4 2011,50247559706.0
Q1 2012,-9858208944.0
Q2 2012,-32107043473.0
Q3 2012,-2896332944.0
Q4 2012,2998708033.0
Q1 2013,3028660660.0
Q2 2013,6111817188.0
Q3 2013,-16328159091.0
Q4 2013,8234582426.0
Q1 2014,9692571503.0
Q2 2014,-5154513160.0
Q3 2014,-6341209398.0
Q4 2014,22034621335.0
Q1 2015,-16400726785.0
Q2 2015,-12972548267.0
Q3 2015,2691974871.0
Q4 2015,1265541354.0
Q1 2016,2833158605.0
Q2 2016,74200483389.0
Q3 2016,-11598257832.0
Q4 2016,-10055731620.0
Q1 2017,22372805038.0
Q2 2017,-39023590466.0
Q3 2017,-4342922469.0
Q4 2017,12459682675.0
Q1 2018,6398810720.0
Q2 2018,16337300783.0
Q3 2018,-53987155285.0
Q4 2018,35537529572.0
Q1 2019,34011353297.0
Q2 2019,-20995027578.0
Q3 2019,32988225877.0
Q4 2019,-80113762345.0
Q1 2020,53506338079.0
Q2 2020,-66661508882.0
Q3 2020,49971554053.0
Q4 2020,63509932624.0
Q1 2021,188471210353.0
Q2 2021,-192037968443.0
Q3 2021,-33684378853.0
Q4 2021,-3851716616.0
Q1 2022,-2202935454.0
Q2 2022,9310645811.0
Q3 2022,-66358233116.0
Q4 2022,45114962301.0
Q1 2023,103635831405.0
