Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008 - Q1,32132.0,5425.0,5413.0,12.0,26707.0,27.0,10683.0,0.0
2008 - Q2,38056.0,10221.0,10195.0,26.0,27835.0,479.0,11134.0,0.0
2008 - Q3,36131.0,7582.0,7555.0,27.0,28549.0,764.0,11420.0,0.0
2008 - Q4,34470.0,7465.0,7432.0,33.0,27005.0,983.0,10802.0,0.0
2009 - Q1,34587.0,7012.0,6991.0,21.0,27575.0,1184.0,11030.0,0.0
2009 - Q2,40918.0,11874.0,11874.0,0.0,29044.0,1320.0,11617.0,0.0
2009 - Q3,40786.0,10792.0,10792.0,0.0,29994.0,1415.0,11998.0,0.0
2009 - Q4,40464.0,10840.0,10840.0,0.0,29624.0,1681.0,11850.0,0.0
2010 - Q1,37500.0,7822.0,7822.0,0.0,29678.0,1475.0,11871.0,0.0
2010 - Q2,43315.0,12707.0,12707.0,0.0,30608.0,1741.0,12243.0,0.0
2010 - Q3,46755.0,15446.0,15446.0,0.0,31309.0,1777.0,12524.0,8.16
2010 - Q4,44000.0,14133.0,14133.0,0.0,29867.0,1697.0,11947.0,5.95
2011 - Q1,41801.0,9935.0,9935.0,0.0,31866.0,1676.0,11522.0,4.06
2011 - Q2,45067.0,12527.0,12527.0,0.0,32540.0,1091.0,11765.0,4.4
2011 - Q3,48304.0,15715.0,15715.0,0.0,32589.0,693.0,11783.0,6.2
2011 - Q4,45148.0,12614.0,12614.0,0.0,32534.0,286.0,11097.0,9.44
2012 - Q1,41458.0,8562.0,8562.0,0.0,32895.0,406.0,11221.0,9.36
2012 - Q2,48282.0,13469.0,13469.0,0.0,34813.0,863.0,11874.0,5.56
2012 - Q3,49100.0,13083.0,13083.0,0.0,36017.0,1288.0,12285.0,3.57
2012 - Q4,55565.0,17774.0,17774.0,0.0,37791.0,1889.0,12890.0,2.75
2013 - Q1,57480.0,20704.0,20704.0,0.0,36777.0,1992.0,12544.0,3.92
2013 - Q2,66872.0,27284.0,27284.0,0.0,39588.0,2263.0,13503.0,4.29
2013 - Q3,78240.0,38607.0,38607.0,0.0,39634.0,2516.0,12876.0,3.74
2013 - Q4,91971.0,49962.0,49962.0,0.0,42009.0,2684.0,13647.0,5.77
2014 - Q1,80610.0,39654.0,39104.0,550.0,40956.0,2943.0,13305.0,6.93
2014 - Q2,97058.0,53643.0,51718.0,1925.0,43415.0,2793.0,14104.0,8.77
2014 - Q3,114830.0,68161.0,66181.0,1980.0,46669.0,3139.0,15161.0,6.34
2014 - Q4,115253.0,68606.0,66742.0,1864.0,46647.0,3561.0,15154.0,8.43
2015 - Q1,130916.0,73666.0,70881.0,2785.0,57249.0,4542.0,14307.0,7.22
2015 - Q2,121557.0,61726.0,59113.0,2613.0,59832.0,4267.0,13351.0,5.58
2015 - Q3,128690.0,65723.0,63340.0,2383.0,62967.0,3904.0,14050.0,6.12
2015 - Q4,146032.0,79072.0,76861.0,2211.0,66960.0,3617.0,14941.0,7.46
2016 - Q1,145559.0,79488.0,77449.0,2039.0,66071.0,3018.0,14743.0,8.28
2016 - Q2,195257.0,125321.0,123454.0,1867.0,69936.0,3228.0,15605.0,7.56
2016 - Q3,198020.0,132047.0,130352.0,1695.0,65973.0,3081.0,14721.0,8.28
2016 - Q4,185979.0,103200.0,101677.0,1523.0,82779.0,2825.0,15140.0,7.68
2017 - Q1,184453.0,103763.0,102413.0,1350.0,80690.0,2349.0,14758.0,8.22
2017 - Q2,203136.0,119696.0,118518.0,1178.0,83440.0,2016.0,15261.0,9.92
2017 - Q3,194189.0,107980.0,107043.0,937.0,86209.0,1921.0,15768.0,11.92
2017 - Q4,200124.0,115339.0,114539.0,800.0,84786.0,2234.0,15507.0,8.95
2018 - Q1,254966.0,171281.0,170619.0,662.0,83685.0,2458.0,15306.0,8.67
2018 - Q2,242006.0,155186.0,154662.0,524.0,86820.0,2528.0,15879.0,12.46
2018 - Q3,231109.0,140260.0,139874.0,386.0,90848.0,2759.0,16616.0,8.99
2018 - Q4,214241.0,127288.0,127039.0,249.0,86953.0,2306.0,15904.0,10.28
2019 - Q1,183211.0,107890.0,107779.0,111.0,75321.0,537.0,13776.0,51.44
2019 - Q2,192998.0,125879.0,125858.0,21.0,67119.0,-1492.0,12276.0,-22.93
2019 - Q3,196939.0,128530.0,128260.0,270.0,68410.0,-2038.0,12512.0,-15.11
2019 - Q4,213579.0,139976.0,139707.0,269.0,73603.0,-1575.0,13462.0,-15.93
2020 - Q1,182627.0,113478.0,113224.0,254.0,69148.0,-1129.0,12647.0,-13.73
2020 - Q2,168225.0,101601.0,101437.0,164.0,66624.0,364.0,12186.0,26.11
2020 - Q3,182511.0,119340.0,119176.0,164.0,63171.0,542.0,11554.0,13.1
2020 - Q4,192365.0,123169.0,117339.0,5830.0,69196.0,694.0,12656.0,15.13
2021 - Q1,138055.0,71786.0,62052.0,9734.0,66269.0,1065.0,12121.0,9.58
2021 - Q2,172045.0,107553.0,89621.0,17932.0,64492.0,702.0,11796.0,12.12
2021 - Q3,175581.0,110486.0,94323.0,16163.0,65095.0,443.0,11906.0,58.21
2021 - Q4,253323.0,182416.0,165942.0,16474.0,70906.0,404.0,12969.0,38.33
2022 - Q1,272068.0,201147.0,175428.0,25719.0,70922.0,851.0,12972.0,23.86
2022 - Q2,249567.0,183975.0,159635.0,24340.0,65592.0,192.0,11997.0,66.64
2022 - Q3,202566.0,143354.0,121098.0,22256.0,59212.0,-1014.0,10830.0,-13.21
2022 - Q4,183740.0,111776.0,91408.0,20368.0,71964.0,255.0,13162.0,27.43
2023 - Q1,170549.0,102206.0,87799.0,14407.0,68343.0,-216.0,12500.0,-36.05
2023 - Q2,174575.0,107219.0,89352.0,17867.0,67356.0,160.0,12319.0,45.66
2023 - Q3,162915.0,93739.0,79572.0,14167.0,69176.0,1598.0,12652.0,4.01
