Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007,35749.0,9111.0,9111.0,0.0,26638.0,2317.0,10655.0,0.0
2008,34470.0,7465.0,7432.0,33.0,27005.0,983.0,10802.0,0.0
2009,40464.0,10840.0,10840.0,0.0,29624.0,1681.0,11850.0,0.0
2010,44000.0,14133.0,14133.0,0.0,29867.0,1697.0,11947.0,5.95
2011,45148.0,12587.0,12587.0,0.0,32561.0,296.0,11773.0,9.11
2012,55565.0,17774.0,17774.0,0.0,37791.0,1857.0,12890.0,2.8
2013,91971.0,49962.0,49962.0,0.0,42009.0,2684.0,13647.0,5.77
2014,115253.0,68606.0,66742.0,1864.0,46647.0,3561.0,15154.0,8.43
2015,146032.0,79072.0,76861.0,2211.0,66960.0,3617.0,14941.0,7.46
2016,185979.0,103200.0,101677.0,1523.0,82779.0,2825.0,15140.0,7.65
2017,200124.0,115221.0,114421.0,800.0,84904.0,2256.0,15529.0,8.87
2018,214241.0,127288.0,127039.0,249.0,86953.0,2306.0,15904.0,10.28
2019,213579.0,139976.0,139707.0,269.0,73603.0,-1575.0,13462.0,-15.93
2020,192365.0,123169.0,117339.0,5830.0,69196.0,694.0,12656.0,15.13
2021,253323.0,182416.0,165942.0,16474.0,70906.0,404.0,12969.0,38.33
2022,183194.0,111727.0,94194.0,17533.0,71467.0,103.0,13071.0,68.29
