Date,NOPAT
Q1/2008,0.068648711
Q2/2008,1.127704812
Q3/2008,0.714865685
Q4/2008,0.547094431
Q1/2009,0.569905532
Q2/2009,1.4688015
Q3/2009,0.950654777
Q4/2009,1.21243183
Q1/2010,0.054404645
Q2/2010,2.135715715
Q3/2010,1.041043388
Q4/2010,1.011812464
Q1/2011,0.001016055
Q2/2011,0.674103544
Q3/2011,0.048854039
Q4/2011,0.01186106
Q1/2012,0.334413908
Q2/2012,1.845176354
Q3/2012,1.326793906
Q4/2012,1.773420091
Q1/2013,0.706053214
Q2/2013,2.811272664
Q3/2013,2.099813521
Q4/2013,2.375164526
Q1/2014,1.574138108
Q2/2014,2.459525354
Q3/2014,3.253688402
Q4/2014,3.672473287
Q1/2015,4.627892141
Q2/2015,2.585753023
Q3/2015,3.135095194
Q4/2015,3.992693937
Q1/2016,3.192658712
Q2/2016,3.864869764
Q3/2016,2.759379276
Q4/2016,3.13038678
Q1/2017,1.55719678
Q2/2017,2.750024659
Q3/2017,2.769326586
Q4/2017,5.137940857
Q1/2018,2.781128936
Q2/2018,3.135109037
Q3/2018,4.028627264
Q4/2018,2.665348767
Q1/2019,-6.895560414
Q2/2019,-7.953101649
Q3/2019,1.04128887
Q4/2019,5.193568808
Q1/2020,-4.454610662
Q2/2020,0.208873554
Q3/2020,2.015293353
Q4/2020,6.024043747
Q1/2021,-2.426034368
Q2/2021,-1.777560018
Q3/2021,0.602903017
Q4/2021,5.811534287
Q1/2022,0.015197615
Q2/2022,-5.667491427
Q3/2022,-6.04245064
Q4/2022,12.75243764
Q1/2023,-2.563090507
Q2/2023,-1.279000656
Q3/2023,1.819534612
