Date,Sales
Q1/2008,2314612907
Q2/2008,9620933293
Q3/2008,10252393960
Q4/2008,11876967105
Q1/2009,6624998962
Q2/2009,15511056901
Q3/2009,9963874571
Q4/2009,13442194609
Q1/2010,7213556703
Q2/2010,15572092478
Q3/2010,14194580889
Q4/2010,12436684420
Q1/2011,5739403996
Q2/2011,15479728507
Q3/2011,16523773012
Q4/2011,22530343684
Q1/2012,10872592538
Q2/2012,21856355718
Q3/2012,19915470415
Q4/2012,26661926758
Q1/2013,19012145184
Q2/2013,41409047771
Q3/2013,41806210210
Q4/2013,46764709999
Q1/2014,42774869064
Q2/2014,44612303061
Q3/2014,58055008847
Q4/2014,58277583000
Q1/2015,76352411113
Q2/2015,68427305546
Q3/2015,56278218763
Q4/2015,83555445538
Q1/2016,67810901680
Q2/2016,79611862883
Q3/2016,92183414829
Q4/2016,82490376766
Q1/2017,56577710790
Q2/2017,80050405724
Q3/2017,88326435826
Q4/2017,115608975280
Q1/2018,103044596361
Q2/2018,119109721916
Q3/2018,155968940119
Q4/2018,81035466856
Q1/2019,35968621229
Q2/2019,42907725385
Q3/2019,55982385779
Q4/2019,95949373212
Q1/2020,47547096535
Q2/2020,53843916198
Q3/2020,88310803871
Q4/2020,166484059001
Q1/2021,32407321249
Q2/2021,55424329538
Q3/2021,46283656803
Q4/2021,266246772991
Q1/2022,114058618626
Q2/2022,65536037354
Q3/2022,71759003462
Q4/2022,88752266336
Q1/2023,55817289681
Q2/2023,25351588455
Q3/2023,47614690204
