tradingTime,lastPrice
2023-12-19,5.7
2023-12-18,5.6
2023-12-15,6.2
2023-12-14,6.8
2023-12-13,6.2
2023-12-12,5.7
2023-12-11,5.7
2023-12-08,5.7
2023-12-07,5.8
2023-12-06,5.8
2023-12-05,5.8
2023-12-04,5.8
2023-12-01,5.7
2023-11-30,5.7
2023-11-29,5.8
2023-11-28,5.7
2023-11-27,5.7
2023-11-24,5.7
2023-11-23,5.7
2023-11-22,5.7
2023-11-21,5.9
2023-11-20,5.7
2023-11-17,6.1
2023-11-16,6.1
2023-11-15,6.1
2023-11-14,5.9
2023-11-13,5.8
2023-11-10,5.7
2023-11-09,6.1
2023-11-08,6.0
2023-11-07,6.1
2023-11-06,6.1
2023-11-03,6.2
2023-11-02,6.1
2023-11-01,5.8
2023-10-31,5.3
2023-10-30,5.7
2023-10-27,5.7
2023-10-26,6.0
2023-10-25,5.8
2023-10-24,5.4
2023-10-23,5.7
2023-10-20,5.9
2023-10-19,5.7
2023-10-18,5.7
2023-10-17,5.9
2023-10-16,5.8
2023-10-13,6.0
2023-10-12,5.9
2023-10-11,5.7
2023-10-10,5.9
2023-10-09,6.0
2023-10-06,5.8
2023-10-05,6.0
2023-10-04,6.2
2023-10-03,6.3
2023-10-02,6.4
2023-09-29,6.4
2023-09-28,6.4
2023-09-27,6.7
2023-09-26,6.6
2023-09-25,6.8
2023-09-22,7.0
2023-09-21,7.0
2023-09-20,6.9
2023-09-19,6.8
2023-09-18,7.0
2023-09-15,7.0
2023-09-14,7.0
2023-09-13,7.3
2023-09-12,7.1
2023-09-11,7.4
2023-09-08,7.5
2023-09-07,7.5
2023-09-06,7.4
2023-09-05,7.5
2023-08-31,6.9
2023-08-30,7.2
2023-08-29,7.2
2023-08-28,6.9
2023-08-25,7.2
2023-08-24,7.0
2023-08-23,7.4
2023-08-22,7.3
2023-08-21,7.4
2023-08-18,7.5
2023-08-17,8.3
2023-08-16,8.4
2023-08-15,8.4
2023-08-14,8.3
2023-08-11,8.3
2023-08-10,8.1
2023-08-09,7.5
2023-08-08,7.2
2023-08-07,7.1
2023-08-04,7.1
2023-08-03,7.1
2023-08-02,7.2
2023-08-01,7.0
2023-07-31,7.0
2023-07-28,7.3
2023-07-27,7.1
2023-07-26,7.1
2023-07-25,7.4
2023-07-24,7.4
2023-07-21,7.4
2023-07-20,7.4
2023-07-19,7.1
2023-07-18,7.5
2023-07-17,7.5
2023-07-14,7.5
2023-07-13,7.5
2023-07-12,7.5
2023-07-11,7.5
2023-07-10,7.6
2023-07-07,7.7
2023-07-06,7.5
2023-07-05,7.5
2023-07-04,7.8
2023-07-03,7.8
2023-06-30,7.3
2023-06-29,7.7
2023-06-28,7.7
2023-06-27,7.7
2023-06-26,7.4
2023-06-23,7.6
2023-06-22,7.7
2023-06-21,7.8
2023-06-20,7.8
2023-06-19,7.8
2023-06-16,7.8
2023-06-15,7.8
2023-06-14,8.1
2023-06-13,8.1
2023-06-12,8.0
2023-06-09,7.8
2023-06-08,8.1
2023-06-07,8.0
2023-06-06,7.8
2023-06-05,8.0
2023-06-02,7.8
2023-06-01,8.1
2023-05-31,8.4
2023-05-30,7.9
2023-05-29,7.9
2023-05-26,7.8
2023-05-25,7.5
2023-05-24,7.8
2023-05-23,7.6
2023-05-22,8.3
2023-05-19,7.9
2023-05-18,8.0
2023-05-17,8.4
2023-05-16,8.2
2023-05-15,8.6
2023-05-12,8.8
2023-05-11,8.9
2023-05-10,8.7
2023-05-09,8.8
2023-05-08,8.7
2023-05-05,8.3
2023-05-04,8.9
2023-04-28,9.7
2023-04-27,9.3
2023-04-26,8.7
2023-04-25,8.4
2023-04-24,8.6
2023-04-21,9.0
2023-04-20,10.0
2023-04-19,9.8
2023-04-18,9.8
2023-04-17,10.8
2023-04-14,10.5
2023-04-13,10.0
2023-04-12,9.6
2023-04-11,9.8
2023-04-10,10.2
2023-04-07,9.3
2023-04-06,8.8
2023-04-05,8.7
2023-04-04,8.4
2023-04-03,8.1
2023-03-31,7.8
2023-03-30,8.1
2023-03-29,7.9
2023-03-28,7.9
2023-03-27,7.5
2023-03-24,7.6
2023-03-23,7.8
2023-03-22,7.8
2023-03-21,7.4
2023-03-20,7.8
2023-03-17,7.4
2023-03-16,7.6
2023-03-15,7.6
2023-03-14,7.6
2023-03-13,8.1
2023-03-10,8.1
2023-03-09,7.8
2023-03-08,7.8
2023-03-07,8.6
2023-03-06,8.6
2023-03-03,8.6
2023-03-02,8.6
2023-03-01,8.5
2023-02-28,8.2
2023-02-27,8.9
2023-02-24,8.4
2023-02-23,8.1
2023-02-22,8.8
2023-02-21,8.0
2023-02-20,7.3
2023-02-17,7.4
2023-02-16,7.3
2023-02-15,7.4
2023-02-14,7.7
2023-02-13,7.4
2023-02-10,7.4
2023-02-09,7.2
2023-02-08,7.4
2023-02-07,7.4
2023-02-06,7.4
2023-02-03,7.7
2023-02-02,8.2
2023-02-01,7.7
2023-01-31,8.0
2023-01-30,8.1
2023-01-27,8.1
2023-01-19,8.5
2023-01-18,8.0
2023-01-17,8.4
2023-01-16,7.7
2023-01-13,8.3
2023-01-12,7.6
2023-01-11,7.0
2023-01-10,7.1
2023-01-09,6.7
2023-01-06,7.1
2023-01-05,7.0
2023-01-04,6.8
2023-01-03,7.4
2022-12-30,7.0
2022-12-29,6.8
2022-12-28,7.0
2022-12-27,7.2
2022-12-26,7.2
2022-12-23,7.0
2022-12-22,6.6
2022-12-21,7.1
2022-12-20,7.1
2022-12-19,7.3
2022-12-16,7.9
2022-12-15,7.6
2022-12-14,8.2
2022-12-13,7.8
2022-12-12,7.1
2022-12-09,6.5
2022-12-08,7.0
2022-12-07,7.0
2022-12-06,7.4
2022-12-05,8.2
2022-12-02,8.0
2022-12-01,8.0
2022-11-30,8.5
2022-11-29,8.4
2022-11-28,7.7
2022-11-25,7.0
2022-11-24,6.9
2022-11-23,6.8
2022-11-22,7.5
2022-11-21,8.3
2022-11-18,8.4
2022-11-17,9.3
2022-11-16,10.3
2022-11-15,10.5
2022-11-14,11.4
2022-11-11,11.6
2022-11-10,11.6
2022-11-09,11.6
2022-11-08,11.4
2022-11-07,11.0
2022-11-04,12.2
