Item,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,22557657634.0,17022905813.0,18053916453.0,16349807309.0,14320038681.0,15025999715.0,21726686816.0,22129389731.0,21217016498.0,18857114871.0,25110579322.0,28864864800.0,25237890556.0,23140490411.0,26987937581.0,31366384400.0,29938035088.0,26976631111.0,34404802420.0,34982574607.0,41972887700.0,44440259165.0,53814668098.0,65371968110.0,78274176438.0,66896490896.0,80507012647.0,98277772318.0,96998900703.0,110702384478.0,100916418022.0,105526144634.0,122856572402.0,122907110083.0,172063091307.0,170176400249.0,153781818101.0,153537743530.0,170631054397.0,159201300844.0,165221613570.0,221502813517.0,208277605753.0,198085179590.0,182910271825.0,153342870328.0,161711962171.0,164252068060.0,180376942175.0,151104815074.0,135584353639.0,141873335796.0,130366837056.0,77453075483.0,113396163690.0,118918262562.0,196931019419.0,204950696016.0,182555922316.0,138210155292.0,126549430679.0,116196036039.0
I. Tiền và các khoản tương đương tiền,5236785677.0,2492617109.0,1195506754.0,872923536.0,430479113.0,514360242.0,1707918211.0,2097094445.0,4938538298.0,1150027527.0,2569655796.0,1384455105.0,5521316769.0,1545549895.0,1302416177.0,1867406159.0,3510474788.0,1899583700.0,1284856349.0,1754004497.0,4283693139.0,1801714263.0,1094333761.0,1561569903.0,12213266511.0,1674569498.0,4724608621.0,3836455287.0,5401985216.0,11135279011.0,12098687753.0,9075873171.0,15182531890.0,8035935111.0,7594176865.0,12211696869.0,12721014078.0,15653370800.0,15257747721.0,25877295367.0,25768924199.0,4229442593.0,4239083020.0,4889482009.0,7347117680.0,6830039055.0,2109579441.0,2701755562.0,5144451980.0,3113410865.0,2649782499.0,11618769836.0,22110274157.0,12887970072.0,12708626070.0,7073170719.0,9075261120.0,14297153483.0,9031903140.0,14724098454.0,4495857503.0,8710081079.0
1. Tiền,5236785677.0,,,,430479113.0,,,,4938538298.0,,,1384455105.0,5521316769.0,1545549895.0,1302416177.0,1867406159.0,3510474788.0,1899583700.0,1284856349.0,1754004497.0,4283693139.0,1801714263.0,1094333761.0,1561569903.0,12213266511.0,1674569498.0,4724608621.0,3836455287.0,5401985216.0,11135279011.0,12098687753.0,9075873171.0,15182531890.0,8035935111.0,7594176865.0,12211696869.0,12721014078.0,15653370800.0,15257747721.0,25877295367.0,25768924199.0,4229442593.0,4239083020.0,4889482009.0,7347117680.0,6830039055.0,2109579441.0,2701755562.0,5144451980.0,3113410865.0,2649782499.0,11618769836.0,22110274157.0,7875992428.0,7685489801.0,1438786620.0,3428613377.0,9238198016.0,3961443404.0,3573736480.0,4495857503.0,3595168729.0
2. Các khoản tương đương tiền,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5011977644.0,5023136269.0,5634384099.0,5646647743.0,5058955467.0,5070459736.0,11150361974.0,0.0,5114912350.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,11836556032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000000.0,0.0,0.0,0.0,1886976000.0,8486976000.0,20678720000.0,1142400000.0,5485293974.0,402780000.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480166925.0,1480166925.0,1480166925.0,1480166925.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-337766925.0,-337766925.0,-1077386925.0,-1077386925.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000000.0,0.0,0.0,0.0,1886976000.0,8486976000.0,19536320000.0,0.0,5082513974.0,0.0
III. Các khoản phải thu ngắn hạn,9543483458.0,6819014165.0,10079753215.0,8315136802.0,7454173421.0,6483247445.0,,10472846357.0,8028560673.0,8990853690.0,12110935249.0,17579422424.0,11114055529.0,7719087322.0,10931932424.0,14695547387.0,14574012232.0,12055822966.0,19880284290.0,19484908508.0,24140863958.0,24520582596.0,37050353980.0,39858306182.0,34698836170.0,38953313817.0,46630109322.0,60207293190.0,46790014850.0,61977039412.0,50915385257.0,57733519587.0,72588217472.0,73348559109.0,85230362136.0,91909314282.0,78570430808.0,74816748279.0,94699784622.0,66308390999.0,78662467790.0,124889164684.0,69577887647.0,101993371800.0,71661100073.0,35792138284.0,43430369741.0,50728145267.0,87013368796.0,64569059179.0,60652093222.0,53354773029.0,40797848622.0,14705181181.0,33431806935.0,41663911298.0,128562454931.0,104454605914.0,62661422088.0,45980485443.0,62771430204.0,55796854423.0
1. Phải thu ngắn hạn của khách hàng,3567558557.0,,,,6068646799.0,,,,7758518255.0,,,16392725208.0,10103596555.0,7000470722.0,10005047725.0,14536510823.0,14414511993.0,11826891814.0,18600698559.0,19330944590.0,24089387741.0,24438025190.0,36485690033.0,39357979525.0,34777660000.0,39466837394.0,46255651789.0,58575871885.0,48960421423.0,61058748924.0,50150741817.0,56796865506.0,73265108396.0,72371150917.0,80263730932.0,88620655603.0,76457083109.0,70828757460.0,89055678200.0,60978049491.0,70113488658.0,99840765548.0,58238669986.0,91625780376.0,65285138489.0,27148062051.0,39541039766.0,46555957566.0,85593436237.0,61805597611.0,59142062530.0,45876250010.0,42399106401.0,16414492497.0,33695148482.0,38050945009.0,116462437324.0,95624985286.0,50807580945.0,31788052913.0,42960654701.0,47041657364.0
