Item,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,2314612907.0,9630953293.0,10306523960.0,11888141905.0,6784441141.0,15577056901.0,9975949571.0,13473514609.0,7219556703.0,15574034478.0,14228580889.0,12461484420.0,5739403996.0,15513763507.0,16523773012.0,22557248284.0,10879282538.0,21869155718.0,20001360415.0,26665846758.0,19012145184.0,41424447771.0,42423796010.0,46877259999.0,43649256564.0,44612303061.0,58398500547.0,58277583000.0,76354835113.0,68431810546.0,56296318763.0,83561445538.0,67814891680.0,79611862883.0,92189454829.0,82490376766.0,56577710790.0,80245930724.0,88673691826.0,115631245280.0,103044596361.0,119109721916.0,155968940119.0,81035466856.0,35968621229.0,42907725385.0,56003270279.0,95949373212.0,47547096535.0,53848839940.0,88310803871.0,166484059001.0,32672856249.0,55424329538.0,46283656803.0,266246772991.0,114058618626.0,65536037354.0,71759003462.0,88780815071.0,55905489681.0
2. Các khoản giảm trừ doanh thu,0.0,10020000.0,54130000.0,11174800.0,159442179.0,66000000.0,12075000.0,31320000.0,6000000.0,1942000.0,34000000.0,24800000.0,0.0,34035000.0,0.0,26904600.0,6690000.0,12800000.0,85890000.0,3920000.0,0.0,15400000.0,617585800.0,112550000.0,874387500.0,0.0,343491700.0,0.0,2424000.0,4505000.0,18100000.0,6000000.0,3990000.0,0.0,6040000.0,0.0,0.0,195525000.0,347256000.0,22270000.0,0.0,0.0,0.0,0.0,0.0,0.0,20884500.0,0.0,0.0,4923742.0,0.0,0.0,265535000.0,0.0,0.0,0.0,0.0,0.0,0.0,28548735.0,88200000.0
3. Doanh thu thuần (1)-(2),2314612907.0,9620933293.0,10252393960.0,11876967105.0,6624998962.0,15511056901.0,9963874571.0,13442194609.0,7213556703.0,15572092478.0,14194580889.0,12436684420.0,5739403996.0,15479728507.0,16523773012.0,22530343684.0,10872592538.0,21856355718.0,19915470415.0,26661926758.0,19012145184.0,41409047771.0,41806210210.0,46764709999.0,42774869064.0,44612303061.0,58055008847.0,58277583000.0,76352411113.0,68427305546.0,56278218763.0,83555445538.0,67810901680.0,79611862883.0,92183414829.0,82490376766.0,56577710790.0,80050405724.0,88326435826.0,115608975280.0,103044596361.0,119109721916.0,155968940119.0,81035466856.0,35968621229.0,42907725385.0,55982385779.0,95949373212.0,47547096535.0,53843916198.0,88310803871.0,166484059001.0,32407321249.0,55424329538.0,46283656803.0,266246772991.0,114058618626.0,65536037354.0,71759003462.0,88752266336.0,55817289681.0
4. Giá vốn hàng bán,1736765444.0,7558728702.0,8656304330.0,10103410096.0,4856344635.0,11956710573.0,7451015653.0,10282875065.0,6065377040.0,9854161307.0,10587202400.0,8686540249.0,4302939260.0,11572212911.0,13099845200.0,17214774280.0,8145507361.0,15281234187.0,14903451893.0,19386448143.0,14044484136.0,30576383646.0,31705360380.0,35055231724.0,32689441588.0,33153238741.0,42844631804.0,41879158260.0,57058629699.0,52609858404.0,41628345108.0,63897796922.0,51249403908.0,64237287653.0,73967914633.0,65232814469.0,42369621605.0,59420836298.0,67158511534.0,88868598911.0,86391386686.0,97670390761.0,129544092411.0,62603149187.0,31968733195.0,39824651411.0,45397031309.0,72186137214.0,40222499546.0,43514574771.0,76379093847.0,146076748985.0,25991787211.0,45599935087.0,38896254780.0,249399229571.0,103277925813.0,58514592281.0,69355780307.0,79776734586.0,53825002035.0
5. Lợi nhuận gộp (3)-(4),577847463.0,2062204591.0,1596089630.0,1773557009.0,1768654327.0,3554346328.0,2512858918.0,3159319544.0,1148179663.0,5717931171.0,3607378489.0,3750144171.0,1436464736.0,3907515596.0,3423927812.0,5315569404.0,2727085177.0,6575121531.0,5012018522.0,7275478615.0,4967661048.0,10832664125.0,10100849830.0,11709478275.0,10085427476.0,11459064320.0,15210377043.0,16398424740.0,19293781414.0,15817447142.0,14649873655.0,19657648616.0,16561497772.0,15374575230.0,18215500196.0,17257562297.0,14208089185.0,20629569426.0,21167924292.0,26740376369.0,16653209675.0,21439331155.0,26424847708.0,18432317669.0,3999888034.0,3083073974.0,10585354470.0,23763235998.0,7324596989.0,10329341427.0,11931710024.0,20407310016.0,6415534038.0,9824394451.0,7387402023.0,16847543420.0,10780692813.0,7021445073.0,2403223155.0,8975531750.0,1992287646.0
6. Doanh thu hoạt động tài chính,21688352.0,19415537.0,3968687.0,3764840.0,3646468.0,5140148.0,10572264.0,15857451.0,13328835.0,9989268.0,9097889.0,10948448.0,68580949.0,8258994.0,12732470.0,11957098.0,7782647.0,3053914.0,2264773.0,3419548.0,3037944.0,2420965.0,3360347.0,8556100.0,5934217.0,3023415.0,22805531.0,5337475.0,71316952.0,28983095.0,60947140.0,78440172.0,13380376.0,52370039.0,11508655.0,20469582.0,15768873.0,16840528.0,17167580.0,16344879.0,5470763.0,6379589.0,4913901.0,23345386.0,33294680.0,8183585.0,1743065.0,923838.0,19204161.0,91671123.0,2250889.0,30339660.0,66086821.0,83661853.0,56919380.0,59295715.0,66182356.0,109024844.0,98733235.0,169364700.0,62289346.0
7. Chi phí tài chính,0.0,203971.0,0.0,0.0,14231018.0,5170370.0,31257627.0,28490954.0,7520749.0,89511619.0,165691409.0,240942679.0,104692694.0,164110723.0,752969427.0,1392062878.0,72517377.0,96872907.0,102742231.0,227776575.0,195549592.0,347066582.0,208243160.0,234620473.0,298824843.0,517947283.0,655143375.0,665542956.0,560807027.0,897596951.0,677841743.0,608339415.0,450143458.0,852727174.0,1131213609.0,1068467710.0,1075241866.0,1069415211.0,924627273.0,735718019.0,837933643.0,960601504.0,1025480795.0,1501651715.0,875112294.0,1148824222.0,1137766047.0,1335718669.0,1160950776.0,1060197433.0,795115465.0,877559771.0,1377089734.0,1153340181.0,1103393914.0,1118586048.0,1266555912.0,3901907810.0,2010046192.0,3576741999.0,1573348532.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21780741.0,5826049.0,28982831.0,120075029.0,180311720.0,97463376.0,148659253.0,171985374.0,84054204.0,62432343.0,77927411.0,79832251.0,209166393.0,182356779.0,272399053.0,168025264.0,199476789.0,262741733.0,457546990.0,622884817.0,551258865.0,451233654.0,540206629.0,432056733.0,451564036.0,388272299.0,761886219.0,1051643688.0,879881488.0,825115481.0,946690751.0,859339913.0,677197063.0,764366863.0,892981319.0,818624433.0,1200840343.0,809852216.0,1020315817.0,1091810213.0,1260404423.0,1123036817.0,1040761309.0,645194020.0,230010437.0,823946631.0,1093484600.0,1085914262.0,1094930530.0,1213432241.0,1971738992.0,173088724.0,1716358565.0,1573348532.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,128536437.0,197765980.0,221106213.0,322009040.0,307049314.0,437775244.0,451757724.0,483196484.0,416721108.0,584686454.0,857625430.0,980222174.0,709626333.0,1426190225.0,1594232415.0,2327327715.0,1409088587.0,2887548830.0,1991314328.0,2980920487.0,1929097934.0,4220420679.0,4834678396.0,5452905592.0,4309468518.0,5743648390.0,7923873332.0,7740874591.0,9443357065.0,7796235952.0,7503393304.0,9992123772.0,8725127390.0,8763517406.0,9991542475.0,9454388055.0,7929793304.0,11993003941.0,12351368731.0,14472208525.0,8426979919.0,12486149212.0,15927998240.0,10084451070.0,6407392138.0,6484093447.0,6066302929.0,11853896477.0,7578868193.0,7204135459.0,6897686569.0,8340445826.0,4685711271.0,7481166342.0,6266589329.0,6729896405.0,6412249443.0,6677216610.0,3751928814.0,6532355676.0,1020343131.0
