Period,Lưu chuyển tiền thuần trong kỳ
Q3 2009,389176234.0
Q4 2009,2841443853.0
Q1 2010,-3788510771.0
Q2 2010,1419628269.0
Q3 2010,-1185200691.0
Q4 2010,4136861664.0
Q1 2011,-3975766874.0
Q2 2011,-243133718.0
Q3 2011,565989982.0
Q4 2011,1643068629.0
Q1 2012,-1610891088.0
Q2 2012,-614727351.0
Q3 2012,469148148.0
Q4 2012,2529688642.0
Q1 2013,-2481978876.0
Q2 2013,-707380502.0
Q3 2013,467236142.0
Q4 2013,10651696608.0
Q1 2014,-10538697013.0
Q2 2014,3050039123.0
Q3 2014,-888153334.0
Q4 2014,1565529929.0
Q1 2015,5733293795.0
Q2 2015,963408742.0
Q3 2015,-3022814582.0
Q4 2015,6106658719.0
Q1 2016,-7146596779.0
Q2 2016,-441758246.0
Q3 2016,4617520004.0
Q4 2016,509317209.0
Q1 2017,2932356722.0
Q2 2017,-395623079.0
Q3 2017,10619547646.0
Q4 2017,-108371168.0
Q1 2018,-21539481606.0
Q2 2018,9640427.0
Q3 2018,650398989.0
Q4 2018,2457635671.0
Q1 2019,-517078625.0
Q2 2019,-4720459614.0
Q3 2019,592176121.0
Q4 2019,2442696418.0
Q1 2020,-2031041115.0
Q2 2020,-463628366.0
Q3 2020,8968987337.0
Q4 2020,10491504321.0
Q1 2021,-24222304085.0
Q2 2021,-179344002.0
Q3 2021,9364544649.0
Q4 2021,2002090401.0
Q1 2022,10868540106.0
Q2 2022,-10911898086.0
Q3 2022,5692195314.0
Q4 2022,-10228240951.0
Q1 2023,-880954377.0
Q2 2023,191622898.0
Q3 2023,-557480943.0
