Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007 - Q4,28130.0,16029.0,16029.0,0.0,12101.0,975.0,12101.0,0.0
2008 - Q1,30185.0,17669.0,17669.0,0.0,12516.0,1426.0,12516.0,15.29
2008 - Q2,27152.0,14741.0,14200.0,541.0,12411.0,1436.0,12411.0,10.09
2008 - Q3,27692.0,15645.0,15623.0,22.0,12047.0,1093.0,12047.0,14.37
2008 - Q4,26339.0,14585.0,14564.0,21.0,11754.0,-584.0,10447.0,-31.66
2009 - Q1,26720.0,14952.0,14931.0,21.0,11768.0,-1030.0,10460.0,-11.74
2009 - Q2,35193.0,14811.0,14789.0,22.0,20382.0,-1041.0,10191.0,-9.22
2009 - Q3,35489.0,14763.0,14742.0,21.0,20726.0,-417.0,10363.0,-24.96
2009 - Q4,35759.0,15265.0,15244.0,21.0,20495.0,55.0,10247.0,195.56
2010 - Q1,35842.0,15348.0,15142.0,206.0,20494.0,156.0,10247.0,59.7
2010 - Q2,37579.0,15943.0,15922.0,21.0,21636.0,951.0,10818.0,44.7
2010 - Q3,37490.0,15753.0,15731.0,22.0,21737.0,670.0,10869.0,46.98
2010 - Q4,37378.0,14124.0,14102.0,22.0,23255.0,1556.0,11627.0,12.79
2011 - Q1,37119.0,11698.0,11677.0,21.0,25421.0,2415.0,12711.0,6.54
2011 - Q2,30876.0,6926.0,6905.0,21.0,23950.0,1161.0,11975.0,7.58
2011 - Q3,35109.0,11450.0,11401.0,49.0,23659.0,863.0,11829.0,9.5
2011 - Q4,33879.0,10628.0,10579.0,49.0,23252.0,4.0,11626.0,1586.21
2012 - Q1,34943.0,12146.0,12098.0,48.0,22797.0,-1315.0,11399.0,-3.73
2012 - Q2,34278.0,12153.0,12103.0,50.0,22124.0,-910.0,11062.0,-5.83
2012 - Q3,35337.0,13999.0,13949.0,50.0,21338.0,-1056.0,10669.0,-3.03
2012 - Q4,29099.0,8637.0,8587.0,50.0,20462.0,-1569.0,10231.0,-1.98
2013 - Q1,26401.0,8516.0,8516.0,0.0,17885.0,-1435.0,8942.0,-1.74
2013 - Q2,29086.0,10854.0,10854.0,0.0,18232.0,-931.0,9116.0,-2.47
2013 - Q3,31196.0,15462.0,15462.0,0.0,15734.0,-509.0,7867.0,-4.12
2013 - Q4,26348.0,11031.0,11031.0,0.0,15316.0,-105.0,7658.0,-30.57
2014 - Q1,29375.0,16046.0,9859.0,6187.0,13329.0,-7.0,6664.0,-633.56
2014 - Q2,23923.0,10942.0,4755.0,6187.0,12981.0,-355.0,6490.0,-7.6
2014 - Q3,23914.0,11172.0,4985.0,6187.0,12741.0,-503.0,6371.0,-5.17
2014 - Q4,25211.0,12687.0,6499.0,6188.0,12524.0,-403.0,6262.0,-5.71
2015 - Q1,24841.0,12587.0,6400.0,6187.0,12254.0,-538.0,6127.0,-3.53
2015 - Q2,23897.0,11189.0,5001.0,6188.0,12709.0,-454.0,6354.0,-3.96
2015 - Q3,23803.0,11169.0,4981.0,6188.0,12634.0,-372.0,6317.0,-5.11
2015 - Q4,23759.0,11169.0,4981.0,6188.0,12590.0,-285.0,6295.0,-6.66
2016 - Q1,23846.0,11254.0,5066.0,6188.0,12592.0,-149.0,6296.0,-12.05
2016 - Q2,23754.0,11151.0,4964.0,6187.0,12603.0,-53.0,6301.0,-24.51
2016 - Q3,14825.0,3702.0,3702.0,0.0,11123.0,567.0,5561.0,3.53
2016 - Q4,21281.0,5871.0,5871.0,0.0,15411.0,2733.0,7705.0,1.83
2017 - Q1,18121.0,2321.0,2321.0,0.0,15801.0,2927.0,7900.0,3.42
2017 - Q2,21789.0,5494.0,5494.0,0.0,16294.0,3169.0,8147.0,3.6
2017 - Q3,21317.0,4406.0,4406.0,0.0,16911.0,2790.0,8455.0,3.3
2017 - Q4,78461.0,51243.0,51243.0,0.0,27218.0,5650.0,13609.0,1.5
2018 - Q1,71198.0,43979.0,43979.0,0.0,27219.0,5473.0,13610.0,1.83
2018 - Q2,79901.0,23319.0,23319.0,0.0,56582.0,19618.0,28291.0,0.54
2018 - Q3,90294.0,2513.0,2513.0,0.0,87781.0,34701.0,43891.0,0.84
2018 - Q4,177920.0,45836.0,45836.0,0.0,132084.0,51408.0,66042.0,0.83
2019 - Q1,326137.0,7469.0,7469.0,0.0,318668.0,45597.0,17704.0,0.44
2019 - Q2,358850.0,25493.0,25493.0,0.0,333357.0,17255.0,18520.0,0.74
2019 - Q3,348767.0,13044.0,13044.0,0.0,335723.0,8314.0,18651.0,1.11
2019 - Q4,377607.0,12095.0,12095.0,0.0,365511.0,4881.0,20306.0,1.8
2020 - Q1,455692.0,80322.0,79419.0,903.0,375370.0,4598.0,20854.0,1.33
2020 - Q2,467652.0,88306.0,87542.0,764.0,379346.0,3932.0,21075.0,3.23
2020 - Q3,472763.0,87934.0,87239.0,695.0,384829.0,3974.0,21379.0,3.75
2020 - Q4,443503.0,91573.0,90948.0,625.0,351929.0,2582.0,13965.0,3.91
2021 - Q1,637227.0,104534.0,104534.0,0.0,532693.0,626.0,12331.0,14.87
2021 - Q2,641152.0,96468.0,96468.0,0.0,544684.0,761.0,12608.0,10.65
2021 - Q3,568726.0,8207.0,8207.0,0.0,560519.0,887.0,12975.0,9.92
2021 - Q4,600501.0,7815.0,7815.0,0.0,592686.0,1437.0,13720.0,8.14
2022 - Q1,639441.0,27334.0,27334.0,0.0,612107.0,1725.0,14169.0,6.43
2022 - Q2,663298.0,32274.0,32274.0,0.0,631025.0,1865.0,14607.0,3.7
2022 - Q3,654135.0,27554.0,27554.0,0.0,626581.0,1547.0,14504.0,3.62
2022 - Q4,649409.0,21075.0,21075.0,0.0,628334.0,854.0,14545.0,3.51
2023 - Q1,650761.0,19801.0,17684.0,2117.0,630960.0,514.0,14606.0,6.23
