Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,30615.0,16552.0,15214.0,1338.0,14063.0,4086.0,14063.0,0.0
2007,29342.0,17303.0,17303.0,0.0,12039.0,2114.0,12039.0,0.0
2008,26589.0,14824.0,14803.0,21.0,11765.0,-548.0,11765.0,-33.76
2009,35793.0,15300.0,15279.0,21.0,20492.0,10.0,20492.0,1044.29
2010,37374.0,14127.0,14106.0,21.0,23247.0,1551.0,11623.0,12.83
2011,35379.0,12119.0,12070.0,49.0,23261.0,89.0,11630.0,77.17
2012,26684.0,8604.0,8604.0,0.0,18080.0,-2585.0,9040.0,-1.2
2013,25378.0,12059.0,5871.0,6188.0,13320.0,-2377.0,6660.0,-1.35
2014,24517.0,11356.0,5168.0,6188.0,13161.0,9.0,6581.0,267.53
2015,23876.0,11236.0,5049.0,6187.0,12640.0,-261.0,6320.0,-7.29
2016,21281.0,5871.0,5871.0,0.0,15411.0,1385.0,7705.0,3.59
2017,78461.0,51252.0,51252.0,0.0,27210.0,5644.0,13605.0,1.51
2018,174719.0,42594.0,42594.0,0.0,132125.0,51411.0,66062.0,0.83
2019,377459.0,14859.0,13955.0,904.0,362600.0,4730.0,20144.0,1.86
2020,443503.0,91573.0,90948.0,625.0,351929.0,1366.0,13965.0,7.4
2021,601390.0,7815.0,7815.0,0.0,593575.0,1451.0,13740.0,8.06
2022,649690.0,19768.0,17651.0,2117.0,629922.0,768.0,14582.0,3.91
