Date,NOPAT
Q4/2007,0.974516078
Q1/2008,0.451576022
Q2/2008,0.010274274
Q3/2008,-0.34380688
Q4/2008,-0.702418536
Q1/2009,0.005520459
Q2/2009,-0.133044744
Q3/2009,0.28024903
Q4/2009,-0.23105476
Q1/2010,0.107827469
Q2/2010,1.036311
Q3/2010,0.100678941
Q4/2010,1.517771418
Q1/2011,2.174432804
Q2/2011,-1.103895439
Q3/2011,-0.493674883
Q4/2011,-0.200197371
Q1/2012,-0.463416747
Q2/2012,-0.661959002
Q3/2012,-0.7866019
Q4/2012,-1.226386267
Q1/2013,-0.195168358
Q2/2013,-2.221411146
Q3/2013,0.056341783
Q4/2013,-0.417453249
Q1/2014,0.009046012
Q2/2014,-0.337560301
Q3/2014,-0.239175213
Q4/2014,-0.217243251
Q1/2015,-0.270445912
Q2/2015,-0.010405899
Q3/2015,-0.074477992
Q4/2015,-0.0442374
Q1/2016,0.001519384
Q2/2016,-2.684716823
Q3/2016,1.166028949
Q4/2016,4.287971409
Q1/2017,0.389816657
Q2/2017,0.493658534
Q3/2017,0.408539853
Q4/2017,10.007593991
Q1/2018,0.009592844
Q2/2018,28.777391986
Q3/2018,30.573882534
Q4/2018,43.421385769
Q1/2019,26.503462658
Q2/2019,13.721329417
Q3/2019,4.569042419
Q4/2019,26.343411427
Q1/2020,35.459565439
Q2/2020,-18.495395642
Q3/2020,5.326607792
Q4/2020,3.422381858
Q1/2021,1.511107416
Q2/2021,12.30161202
Q3/2021,14.831515308
Q4/2021,31.664698888
Q1/2022,15.725583516
Q2/2022,14.157039598
Q3/2022,1.0793943
Q4/2022,1.716567026
Q1/2023,1.025807389
Q2/2023,3.791443254
Q3/2023,2.120809913
