Date,Sales
Q4/2007,2848642780
Q1/2008,3765575647
Q2/2008,1004907433
Q3/2008,844060055
Q4/2008,804928278
Q1/2009,570845363
Q2/2009,743001255
Q3/2009,670832328
Q4/2009,414405582
Q1/2010,118643091
Q2/2010,2164030000
Q3/2010,640215136
Q4/2010,5527912755
Q1/2011,15007598986
Q2/2011,5459442457
Q3/2011,132000000
Q4/2011,692007454
Q1/2012,167248986
Q2/2012,48000000
Q3/2012,0
Q4/2012,2390000
Q1/2013,89810909
Q2/2013,945163636
Q3/2013,5742857140
Q4/2013,2110000
Q1/2014,5323809520
Q2/2014,0
Q3/2014,0
Q4/2014,1360000
Q1/2015,0
Q2/2015,17090909
Q3/2015,0
Q4/2015,0
Q1/2016,0
Q2/2016,102545455
Q3/2016,3062234275
Q4/2016,9420408606
Q1/2017,2685953871
Q2/2017,4213181818
Q3/2017,2201708004
Q4/2017,30158193219
Q1/2018,1321850667
Q2/2018,52510290193
Q3/2018,132085979718
Q4/2018,206092147063
Q1/2019,94438048438
Q2/2019,65255258445
Q3/2019,24061946235
Q4/2019,108676428967
Q1/2020,85658890459
Q2/2020,70472058523
Q3/2020,20004394760
Q4/2020,17585834178
Q1/2021,18465269958
Q2/2021,24091772866
Q3/2021,22435776262
Q4/2021,57928365390
Q1/2022,32914504208
Q2/2022,34722863145
Q3/2022,5872421066
Q4/2022,33793891841
Q1/2023,9825396713
Q2/2023,6270365538
Q3/2023,18988424219
