tradingTime,lastPrice
2024-01-12,3.5
2024-01-11,3.6
2024-01-10,3.5
2024-01-09,3.6
2024-01-08,3.6
2024-01-05,3.6
2024-01-04,3.6
2024-01-03,3.6
2024-01-02,3.6
2023-12-29,3.5
2023-12-28,3.5
2023-12-27,3.5
2023-12-26,3.5
2023-12-25,3.6
2023-12-22,3.6
2023-12-21,3.6
2023-12-20,3.6
2023-12-19,3.8
2023-12-18,3.8
2023-12-15,3.6
2023-12-14,3.7
2023-12-13,3.5
2023-12-12,3.5
2023-12-11,3.5
2023-12-08,3.5
2023-12-07,3.5
2023-12-06,3.5
2023-12-05,3.5
2023-12-04,3.5
2023-12-01,3.5
2023-11-30,3.5
2023-11-29,3.4
2023-11-28,3.5
2023-11-27,3.4
2023-11-24,3.4
2023-11-23,3.5
2023-11-22,3.6
2023-11-21,3.5
2023-11-20,3.6
2023-11-17,3.6
2023-11-16,3.6
2023-11-15,3.5
2023-11-14,3.5
2023-11-13,3.5
2023-11-10,3.5
2023-11-09,3.5
2023-11-08,3.5
2023-11-07,3.4
2023-11-06,3.4
2023-11-03,3.4
2023-11-02,3.4
2023-11-01,3.2
2023-10-31,3.1
2023-10-30,3.3
2023-10-27,3.4
2023-10-26,3.4
2023-10-25,3.6
2023-10-24,3.5
2023-10-23,3.5
2023-10-20,3.5
2023-10-19,3.5
2023-10-18,3.5
2023-10-17,3.8
2023-10-16,3.8
2023-10-13,3.9
2023-10-12,3.8
2023-10-11,3.8
2023-10-10,3.8
2023-10-09,3.7
2023-10-06,3.8
2023-10-05,3.7
2023-10-04,3.8
2023-10-03,3.7
2023-10-02,3.9
2023-09-29,3.9
2023-09-28,3.8
2023-09-27,3.8
2023-09-26,3.9
2023-09-25,4.0
2023-09-22,4.2
2023-09-21,4.3
2023-09-20,4.3
2023-09-19,4.3
2023-09-18,4.3
2023-09-15,4.3
2023-09-14,4.3
2023-09-13,4.3
2023-09-12,4.5
2023-09-11,4.4
2023-09-08,4.5
2023-09-07,4.5
2023-09-06,4.5
2023-09-05,4.6
2023-08-31,4.3
2023-08-30,4.3
2023-08-29,4.4
2023-08-28,4.3
2023-08-25,4.3
2023-08-24,4.3
2023-08-23,4.3
2023-08-22,4.4
2023-08-21,4.4
2023-08-18,4.5
2023-08-17,4.9
2023-08-16,5.0
2023-08-15,5.0
2023-08-14,5.0
2023-08-11,5.2
2023-08-10,5.3
2023-08-09,5.0
2023-08-08,4.6
2023-08-07,4.6
2023-08-04,4.4
2023-08-03,4.3
2023-08-02,4.4
2023-08-01,4.3
2023-07-31,4.3
2023-07-28,4.3
2023-07-27,4.3
2023-07-26,4.3
2023-07-25,4.4
2023-07-24,4.4
2023-07-21,4.3
2023-07-20,4.4
2023-07-19,4.2
2023-07-18,4.3
2023-07-17,4.4
2023-07-14,4.4
2023-07-13,4.2
2023-07-12,4.2
2023-07-11,4.2
2023-07-10,4.2
2023-07-07,4.1
2023-07-06,4.2
2023-07-05,4.3
2023-07-04,4.3
2023-07-03,4.2
2023-06-30,4.1
2023-06-29,4.2
2023-06-28,4.2
2023-06-27,4.3
2023-06-26,4.3
2023-06-23,4.4
2023-06-22,4.3
2023-06-21,4.4
2023-06-20,4.3
2023-06-19,4.1
2023-06-16,4.3
2023-06-15,4.5
2023-06-14,4.7
2023-06-13,4.7
2023-06-12,4.7
2023-06-09,4.5
2023-06-08,4.5
2023-06-07,4.5
2023-06-06,4.5
2023-06-05,4.3
2023-06-02,4.3
2023-06-01,4.7
2023-05-31,4.4
2023-05-30,4.3
2023-05-29,4.2
2023-05-26,3.9
2023-05-25,3.7
2023-05-24,3.8
2023-05-23,3.8
2023-05-22,3.8
2023-05-19,3.8
2023-05-18,3.9
2023-05-17,3.9
2023-05-16,4.1
2023-05-15,3.9
2023-05-12,3.7
2023-05-11,3.8
2023-05-10,3.6
2023-05-09,3.5
2023-05-08,3.6
2023-05-05,3.5
2023-05-04,3.4
2023-04-28,3.5
2023-04-27,3.6
2023-04-26,3.5
2023-04-25,3.5
2023-04-24,3.5
2023-04-21,3.5
2023-04-20,3.5
2023-04-19,3.4
2023-04-18,3.5
2023-04-17,3.4
2023-04-14,3.5
2023-04-13,3.7
2023-04-12,3.4
2023-04-11,3.5
2023-04-10,3.5
2023-04-07,3.6
2023-04-06,3.6
2023-04-05,3.5
2023-04-04,3.4
2023-04-03,3.3
2023-03-31,3.2
2023-03-30,3.3
2023-03-29,3.3
2023-03-28,3.3
2023-03-27,3.3
2023-03-24,3.3
2023-03-23,3.2
2023-03-22,3.3
2023-03-21,3.3
2023-03-20,3.3
2023-03-17,3.3
2023-03-16,3.3
2023-03-15,3.4
2023-03-14,3.3
2023-03-13,3.3
2023-03-10,3.4
2023-03-09,3.4
2023-03-08,3.4
2023-03-07,3.5
2023-03-06,3.4
2023-03-03,3.4
2023-03-02,3.5
2023-03-01,3.5
2023-02-28,3.4
2023-02-27,3.7
2023-02-24,3.7
2023-02-23,3.4
2023-02-22,3.4
2023-02-21,3.4
2023-02-20,3.3
2023-02-17,3.2
2023-02-16,3.2
2023-02-15,3.2
2023-02-14,3.1
2023-02-13,3.1
2023-02-10,3.3
2023-02-09,3.3
2023-02-08,3.3
2023-02-07,3.3
2023-02-06,3.4
2023-02-03,3.5
2023-02-02,3.3
2023-02-01,3.5
2023-01-31,3.6
2023-01-30,3.6
2023-01-27,3.3
2023-01-19,3.3
2023-01-18,3.2
2023-01-17,3.2
2023-01-16,3.1
2023-01-13,3.2
2023-01-12,3.2
2023-01-11,3.2
2023-01-10,3.1
2023-01-09,3.1
2023-01-06,3.1
2023-01-05,3.1
2023-01-04,3.1
2023-01-03,3.2
2022-12-30,3.0
2022-12-29,3.1
2022-12-28,3.2
2022-12-27,3.1
2022-12-26,3.1
2022-12-23,3.3
2022-12-22,3.4
2022-12-21,3.4
2022-12-20,3.7
2022-12-19,3.9
2022-12-16,3.6
2022-12-15,3.6
2022-12-14,3.6
2022-12-13,3.7
2022-12-12,3.7
2022-12-09,3.7
2022-12-08,3.7
2022-12-07,3.6
2022-12-06,3.7
2022-12-05,4.0
