Item,Q4 2006,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,29266849274.0,8225437109.0,9414820512.0,6557990309.0,7341375074.0,4900827624.0,6178582134.0,13983891703.0,14582938452.0,14835129398.0,14552257791.0,14295863604.0,13336475790.0,13183819044.0,22713395004.0,22094054266.0,20318182315.0,19794557754.0,20735072543.0,20028806611.0,21068061224.0,17728707245.0,15747383954.0,16558858496.0,20459376828.0,15635686547.0,19035733263.0,14055411655.0,12950560836.0,12004208606.0,15809522304.0,10806917168.0,10579430772.0,10535193372.0,10664365089.0,11332965119.0,9238689686.0,13942622331.0,10881396372.0,14904074933.0,14519465619.0,71750828155.0,64575146535.0,73364810777.0,81996877194.0,147687873790.0,289494279744.0,321902017993.0,142864681206.0,116328069855.0,173727592240.0,144377620675.0,109826113606.0,124826263722.0,378701322832.0,393911737374.0,335059040087.0,355319064863.0,380157517467.0,372318772512.0,377727639035.0,370713474572.0,370915672141.0,372464908375.0,400425957367.0
I. Tiền và các khoản tương đương tiền,676823832.0,394251499.0,317521143.0,426958376.0,422383986.0,115736960.0,252367332.0,150778533.0,848890010.0,1057140511.0,802713498.0,2061141218.0,754446575.0,825220531.0,939306800.0,730539051.0,102116760.0,225779072.0,119200004.0,162102295.0,2309260545.0,85192490.0,194159727.0,2054542132.0,198215992.0,867525711.0,515779916.0,1200734027.0,480609678.0,124272763.0,30412540.0,61389792.0,66867396.0,22629996.0,56731532.0,2504114.0,3846875720.0,4110079765.0,9572040227.0,3307569856.0,4149205732.0,1082906633.0,2024436932.0,5254954805.0,16544401133.0,6004649380.0,47282694764.0,53007359613.0,39657693234.0,5282530610.0,1703567106.0,2092414770.0,7271297560.0,8834561535.0,5191198855.0,4355030847.0,6641036788.0,12510181537.0,26455783653.0,10201460899.0,25901430024.0,8720423612.0,37216468510.0,100322317620.0,14056554708.0
1. Tiền,676823832.0,224565040.0,317521143.0,,,,252367332.0,150778533.0,848890010.0,1057140511.0,802713498.0,2061141218.0,754446575.0,825220531.0,939306800.0,730539051.0,102116760.0,225779072.0,119200004.0,162102295.0,2309260545.0,85192490.0,194159727.0,354542132.0,78215992.0,627525711.0,515779916.0,1200734027.0,480609678.0,124272763.0,30412540.0,61389792.0,66867396.0,22629996.0,56731532.0,2504114.0,3846875720.0,4110079765.0,9572040227.0,3307569856.0,4149205732.0,1082906633.0,2024436932.0,5254954805.0,16544401133.0,6004649380.0,47282694764.0,53007359613.0,39657693234.0,5282530610.0,1703567106.0,2092414770.0,7271297560.0,8834561535.0,5191198855.0,4355030847.0,6641036788.0,12510181537.0,26455783653.0,10201460899.0,25901430024.0,8720423612.0,37216468510.0,37322317620.0,14056554708.0
2. Các khoản tương đương tiền,0.0,169686459.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000000.0,120000000.0,240000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000000000.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,3648874423.0,0.0,0.0,0.0,0.0,8600000000.0,8600000000.0,8600000000.0,8600000000.0,6600000000.0,6600000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31937835000.0,31937835000.0,22954380000.0,22461600000.0,16150400001.0,16516165715.0,17996165715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000000.0,123500000000.0,59000000000.0,79000000000.0
1. Chứng khoán kinh doanh,0.0,0.0,3648874423.0,0.0,0.0,0.0,0.0,8600000000.0,8600000000.0,8600000000.0,8600000000.0,6600000000.0,6600000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31937835000.0,31937835000.0,22954380000.0,22954380000.0,16516165715.0,16516165715.0,17996165715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-492780000.0,-365765714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000000.0,123500000000.0,59000000000.0,79000000000.0
III. Các khoản phải thu ngắn hạn,19940571377.0,7191592975.0,4459559631.0,5158687293.0,5980229750.0,3907378427.0,4468316702.0,3783392538.0,3888392538.0,3938596403.0,3940540025.0,4266854236.0,4591154236.0,3158370236.0,2626637106.0,4449881437.0,4499881437.0,4899881437.0,4724881437.0,4772881437.0,4664881437.0,4894881437.0,3404590909.0,2245180000.0,8275180000.0,2060180000.0,6232193333.0,1412347233.0,3495103333.0,6495103333.0,15762378895.0,10745527376.0,10512563376.0,10512563376.0,10607248105.0,11322575553.0,5379738966.0,9727928021.0,1298532280.0,11581457350.0,8727085118.0,28025646543.0,19938991931.0,636870510.0,891004160.0,100640383212.0,208863912515.0,226004586045.0,66824433491.0,73979722100.0,151328419523.0,139627483369.0,100100211267.0,113500281074.0,370737982695.0,387371697615.0,306473535241.0,310760199415.0,295665673911.0,312766835194.0,292940645490.0,317729097571.0,177088093426.0,178736866025.0,285583938468.0
