Item,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,2848642780.0,3765575647.0,1016529943.0,844060055.0,2103748907.0,570845363.0,743001255.0,670832328.0,414405582.0,118643091.0,2164030000.0,640215136.0,5527912755.0,15007598986.0,5459442457.0,132000000.0,692007454.0,167248986.0,48000000.0,0.0,2390000.0,89810909.0,945163636.0,5742857140.0,2110000.0,5323809520.0,0.0,0.0,1360000.0,0.0,17090909.0,0.0,0.0,0.0,102545455.0,3062234275.0,9420408606.0,2685953871.0,4213181818.0,2201708004.0,30158193219.0,1321850667.0,52510290193.0,132085979718.0,206092147063.0,94438048438.0,65255258445.0,24061946235.0,108676428967.0,85658890459.0,70472058523.0,20951179760.0,17585834178.0,18469063612.0,24099876002.0,22438771264.0,57933476103.0,32917944218.0,34732252001.0,5882255942.0,33798131081.0,9835827991.0,6284946368.0,18991531813.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,11622510.0,0.0,1298820629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946785000.0,0.0,3793654.0,8103136.0,2995002.0,5110713.0,3440010.0,9388856.0,9834876.0,4239240.0,10431278.0,14580830.0,3107594.0
3. Doanh thu thuần (1)-(2),2848642780.0,3765575647.0,1004907433.0,844060055.0,804928278.0,570845363.0,743001255.0,670832328.0,414405582.0,118643091.0,2164030000.0,640215136.0,5527912755.0,15007598986.0,5459442457.0,132000000.0,692007454.0,167248986.0,48000000.0,0.0,2390000.0,89810909.0,945163636.0,5742857140.0,2110000.0,5323809520.0,0.0,0.0,1360000.0,0.0,17090909.0,0.0,0.0,0.0,102545455.0,3062234275.0,9420408606.0,2685953871.0,4213181818.0,2201708004.0,30158193219.0,1321850667.0,52510290193.0,132085979718.0,206092147063.0,94438048438.0,65255258445.0,24061946235.0,108676428967.0,85658890459.0,70472058523.0,20004394760.0,17585834178.0,18465269958.0,24091772866.0,22435776262.0,57928365390.0,32914504208.0,34722863145.0,5872421066.0,33793891841.0,9825396713.0,6270365538.0,18988424219.0
4. Giá vốn hàng bán,308423873.0,2526436389.0,277225559.0,302756723.0,623838336.0,186275778.0,169966177.0,76140525.0,597537100.0,29650645.0,384761189.0,192866667.0,3277346667.0,11537600000.0,6313419823.0,35580000.0,447060000.0,138880000.0,46240000.0,0.0,0.0,30650000.0,274338636.0,5123809524.0,0.0,4790476190.0,0.0,0.0,0.0,0.0,13672727.0,0.0,0.0,0.0,174256201.0,0.0,1300539342.0,1339124373.0,2836188706.0,1012672396.0,18968362653.0,667128100.0,22402017907.0,100078900568.0,161245969864.0,66805758397.0,49107942603.0,17600782170.0,80769266724.0,73539984116.0,52357710618.0,11742661673.0,10425655122.0,13780140777.0,10089397634.0,6334693921.0,24807329503.0,14932464226.0,18286740114.0,3470723107.0,28890651836.0,8794881622.0,3287098678.0,15602508610.0
5. Lợi nhuận gộp (3)-(4),2540218907.0,1239139258.0,727681874.0,541303332.0,181089942.0,384569585.0,573035078.0,594691803.0,-183131518.0,88992446.0,1779268811.0,447348469.0,2250566088.0,3469998986.0,-853977366.0,96420000.0,244947454.0,28368986.0,1760000.0,0.0,2390000.0,59160909.0,670825000.0,619047616.0,2110000.0,533333330.0,0.0,0.0,1360000.0,0.0,3418182.0,0.0,0.0,0.0,-71710746.0,3062234275.0,8119869264.0,1346829498.0,1376993112.0,1189035608.0,11189830566.0,654722567.0,30108272286.0,32007079150.0,44846177199.0,27632290041.0,16147315842.0,6461164065.0,27907162243.0,12118906343.0,18114347905.0,8261733087.0,7160179056.0,4685129181.0,14002375232.0,16101082341.0,33121035887.0,17982039982.0,16436123031.0,2401697959.0,4903240005.0,1030515091.0,2983266860.0,3385915609.0
6. Doanh thu hoạt động tài chính,231308322.0,143857907.0,279435.0,173273.0,129720.0,327743.0,442859.0,258030644.0,258047004.0,258027124.0,199029360.0,200530018.0,200902101.0,85326941.0,76949172.0,75049004.0,75065500.0,112559900.0,112512900.0,238400.0,298600.0,4300.0,2258995.0,12937595.0,6636154.0,6778843.0,20434.0,11518424.0,11404240.0,1008.0,1330.0,0.0,0.0,0.0,3204.0,181921.0,257581.0,1804664.0,57907.0,1094351.0,227443.0,205792.0,188947.0,637548.0,11442733.0,1128666262.0,-515212713.0,5831544.0,1008912.0,24424970954.0,-22435727933.0,208512834.0,828013694.0,7190646.0,805646.0,354060.0,838316.0,1370491.0,15657642.0,399088.0,120036.0,82927479.0,1330493660.0,375956324.0
7. Chi phí tài chính,7341633.0,0.0,0.0,0.0,285576.0,33000.0,33000.0,33000.0,33000.0,53500.0,669685.0,1013457.0,2436750.0,1656750.0,1307470.0,961193.0,164000.0,176000.0,220000.0,231000.0,346379.0,171000.0,-171000.0,0.0,0.0,0.0,0.0,1038401.0,400.0,0.0,0.0,0.0,37400.0,56100.0,769679732.0,172700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145474308.0,0.0,0.0,612967236.0,941447415.0,-333174644.0,277137750.0,10599959638.0,1856238155.0,2925127819.0,2128669290.0,21729410.0,34354308.0,21934008.0,0.0,10843264.0,6666667.0,2592000.0,202624657.0,292786303.0,271232876.0
Trong đó: Chi phí lãi vay,7341633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105835236.0,105835236.0,105835236.0,105835236.0,2104458037.0,1899340960.0,2885415692.0,2128537290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202624657.0,292786303.0,0.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107255011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208819481.0
9. Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122015507.0,18589000.0,70693453.0,33776117.0,24261592.0,11253910.0,7855000.0,115231421.0,12809407.0,1100000.0,0.0,0.0,16067720.0,0.0,2436274394.0,139584105.0,357344009.0,238840291.0,300751726.0,363724836.0,363857858.0,275080979.0,380062950.0,293292186.0,451765242.0,483295952.0,7345586.0,213999282.0
