Period,Lưu chuyển tiền thuần trong kỳ
Q1 2008,-1160222413.0
Q2 2008,109437232.0
Q3 2008,-4574390.0
Q4 2008,-306361450.0
Q1 2009,325613192.0
Q2 2009,-290571619.0
Q3 2009,698111477.0
Q4 2009,208250501.0
Q1 2010,-241240948.0
Q2 2010,1258427720.0
Q3 2010,-1306694643.0
Q4 2010,70773956.0
Q1 2011,114086269.0
Q2 2011,-208767749.0
Q3 2011,-628422291.0
Q4 2011,123662312.0
Q1 2012,108578129.0
Q2 2012,42902291.0
Q3 2012,2147158250.0
Q4 2012,-2224068055.0
Q1 2013,108967237.0
Q2 2013,1860382405.0
Q3 2013,-1856326140.0
Q4 2013,669309719.0
Q1 2014,-109641464.0
Q2 2014,683065923.0
Q3 2014,310634420.0
Q4 2014,50818043.0
Q1 2015,-93860223.0
Q2 2015,30377250.0
Q3 2015,5477604.0
Q4 2015,-44237400.0
Q1 2016,34133932.0
Q2 2016,-54227418.0
Q3 2016,3844371606.0
Q4 2016,263204045.0
Q1 2017,5461960462.0
Q2 2017,-6264470371.0
Q3 2017,841635876.0
Q4 2017,-3066299099.0
Q1 2018,941530299.0
Q2 2018,3230517873.0
Q3 2018,11267611328.0
Q4 2018,-10517916753.0
Q1 2019,41278918561.0
Q2 2019,5724664849.0
Q3 2019,-13349666429.0
Q4 2019,1933232415.0
Q1 2020,-2513000976.0
Q2 2020,388847664.0
Q3 2020,5178882790.0
Q4 2020,1563263975.0
Q1 2021,-1088305252.0
Q2 2021,-836168008.0
Q3 2021,2286005941.0
Q4 2021,8949375236.0
Q1 2022,13490380063.0
Q2 2022,-16254166447.0
Q3 2022,15699812818.0
Q4 2022,-16725784359.0
Q1 2023,28496147729.0
Q2 2023,-655889685.0
Q3 2023,-20509478025.0
