Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007 - Q4,259747.0,138251.0,138167.0,84.0,121496.0,1724.0,14817.0,43.78
2008 - Q1,245761.0,84868.0,84480.0,388.0,133368.0,3519.0,16264.0,15.06
2008 - Q2,269164.0,91378.0,90991.0,387.0,149314.0,5678.0,18209.0,4.74
2008 - Q3,257091.0,73568.0,73480.0,88.0,156519.0,7463.0,17356.0,4.37
2008 - Q4,264073.0,88017.0,87904.0,113.0,148850.0,6528.0,16505.0,2.99
2009 - Q1,235845.0,51110.0,51034.0,76.0,156835.0,5560.0,17391.0,3.27
2009 - Q2,239193.0,45412.0,45412.0,0.0,166193.0,5420.0,18428.0,5.44
2009 - Q3,279632.0,50924.0,50924.0,0.0,186631.0,5646.0,19716.0,5.63
2009 - Q4,325134.0,74957.0,74957.0,0.0,206381.0,7409.0,19832.0,4.62
2010 - Q1,288012.0,29669.0,29664.0,5.0,217712.0,7172.0,20921.0,4.67
2010 - Q2,263616.0,34921.0,33838.0,1083.0,222060.0,6992.0,20871.0,4.39
2010 - Q3,321599.0,56578.0,55483.0,1095.0,228031.0,6066.0,19069.0,4.25
2010 - Q4,352824.0,88865.0,87503.0,1362.0,226427.0,4413.0,18935.0,5.21
2011 - Q1,320073.0,57570.0,56025.0,1545.0,222794.0,4120.0,18631.0,4.1
2011 - Q2,313275.0,44723.0,43273.0,1450.0,226907.0,3274.0,18976.0,3.82
2011 - Q3,311742.0,47917.0,46072.0,1845.0,224124.0,2908.0,18743.0,4.13
2011 - Q4,323915.0,51617.0,48983.0,2634.0,233197.0,2647.0,19502.0,4.27
2012 - Q1,318207.0,47690.0,46063.0,1627.0,230893.0,2834.0,19309.0,4.3
2012 - Q2,319249.0,50344.0,48644.0,1700.0,229368.0,2952.0,19181.0,4.06
2012 - Q3,328819.0,54197.0,53092.0,1105.0,238421.0,2962.0,19938.0,3.88
2012 - Q4,310072.0,40612.0,38930.0,1682.0,233562.0,3978.0,19632.0,3.09
2013 - Q1,325864.0,51156.0,50056.0,1100.0,238543.0,3732.0,19949.0,3.86
2013 - Q2,344503.0,61293.0,59616.0,1677.0,246887.0,3473.0,20646.0,4.09
2013 - Q3,341961.0,53748.0,52650.0,1098.0,253369.0,4256.0,21188.0,3.22
2013 - Q4,353957.0,59015.0,57338.0,1677.0,259273.0,4154.0,20655.0,3.95
2014 - Q1,338906.0,35625.0,34529.0,1096.0,266051.0,4256.0,21195.0,4.91
2014 - Q2,339277.0,33904.0,32118.0,1786.0,269408.0,4821.0,21462.0,4.02
2014 - Q3,371017.0,52170.0,51080.0,1090.0,281403.0,4150.0,20389.0,5.01
2014 - Q4,388673.0,53102.0,51319.0,1783.0,288030.0,4197.0,20870.0,5.08
2015 - Q1,409725.0,67397.0,66314.0,1083.0,342328.0,4129.0,24804.0,5.38
2015 - Q2,384750.0,36360.0,34596.0,1764.0,348390.0,4106.0,25243.0,5.41
2015 - Q3,405642.0,46546.0,44781.0,1765.0,359097.0,3927.0,21699.0,5.17
2015 - Q4,440888.0,67889.0,66553.0,1336.0,372999.0,3325.0,22539.0,6.23
2016 - Q1,428765.0,63535.0,62212.0,1323.0,365230.0,3015.0,22069.0,7.36
2016 - Q2,433523.0,53698.0,52572.0,1126.0,379825.0,3639.0,19197.0,5.91
2016 - Q3,409976.0,63260.0,62147.0,1113.0,346716.0,3150.0,17524.0,8.51
2016 - Q4,409063.0,71752.0,70350.0,1402.0,337311.0,2884.0,17048.0,9.71
2017 - Q1,437895.0,100401.0,98949.0,1452.0,337494.0,2485.0,17058.0,13.28
2017 - Q2,487823.0,149416.0,147733.0,1683.0,338407.0,2022.0,13157.0,13.45
2017 - Q3,446383.0,108142.0,106397.0,1745.0,338241.0,1600.0,13150.0,13.56
2017 - Q4,470487.0,130389.0,128643.0,1746.0,340098.0,1080.0,13223.0,18.51
2018 - Q1,456941.0,108129.0,106289.0,1840.0,348812.0,1364.0,13561.0,13.34
2018 - Q2,458006.0,92190.0,90406.0,1784.0,365815.0,1039.0,14222.0,16.17
2018 - Q3,454109.0,120731.0,118860.0,1871.0,333378.0,1137.0,12961.0,16.8
2018 - Q4,451721.0,118199.0,116239.0,1960.0,333522.0,1067.0,12967.0,17.8
2019 - Q1,468945.0,122757.0,120737.0,2020.0,346187.0,1271.0,13459.0,13.69
2019 - Q2,492565.0,151448.0,149888.0,1560.0,341117.0,764.0,13262.0,24.62
2019 - Q3,439385.0,86274.0,85031.0,1243.0,353111.0,1073.0,13729.0,15.65
2019 - Q4,475034.0,130285.0,129159.0,1126.0,344750.0,799.0,13403.0,24.17
2020 - Q1,459183.0,102610.0,101246.0,1364.0,356573.0,735.0,13863.0,14.98
2020 - Q2,416226.0,62349.0,60625.0,1724.0,353877.0,598.0,13758.0,19.75
2020 - Q3,442766.0,94929.0,93236.0,1693.0,347837.0,388.0,13524.0,25.76
2020 - Q4,535572.0,209198.0,206314.0,2884.0,326374.0,601.0,12689.0,18.31
2021 - Q1,451393.0,114982.0,110348.0,4634.0,336411.0,423.0,13079.0,26.96
2021 - Q2,408113.0,73273.0,68556.0,4717.0,334840.0,444.0,13018.0,25.47
2021 - Q3,397308.0,58142.0,52921.0,5221.0,339166.0,428.0,13186.0,26.41
2021 - Q4,472992.0,146090.0,140949.0,5141.0,326902.0,596.0,12710.0,23.5
2022 - Q1,428091.0,95083.0,90050.0,5033.0,333008.0,553.0,12947.0,23.34
2022 - Q2,630106.0,112364.0,107730.0,4634.0,517742.0,8285.0,20129.0,2.14
2022 - Q3,276301.0,9086.0,4452.0,4634.0,267216.0,8152.0,10389.0,1.48
2022 - Q4,309922.0,39391.0,39391.0,0.0,270531.0,8147.0,10518.0,0.94
2023 - Q1,394083.0,64588.0,64588.0,0.0,329495.0,7963.0,12810.0,2.19
2023 - Q2,275644.0,4906.0,4906.0,0.0,270738.0,317.0,10526.0,81.19
2023 - Q3,275739.0,4513.0,4513.0,0.0,271226.0,247.0,10545.0,72.21
