Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2005,97693.0,53464.0,53464.0,0.0,44229.0,2884.0,13055.0,0.0
2006,121085.0,68305.0,68229.0,76.0,52780.0,5004.0,15579.0,0.0
2007,252854.0,105723.0,105636.0,87.0,119916.0,4293.0,14624.0,17.59
2008,264076.0,91195.0,91082.0,113.0,147753.0,5295.0,16495.0,3.68
2009,325294.0,74997.0,74997.0,0.0,209671.0,6717.0,20267.0,5.09
2010,352772.0,89219.0,87671.0,1548.0,226020.0,4259.0,18998.0,5.4
2011,325796.0,51707.0,48873.0,2834.0,234989.0,2906.0,19752.0,3.89
2012,310072.0,40612.0,38930.0,1682.0,233562.0,3978.0,19632.0,3.09
2013,353957.0,59015.0,57338.0,1677.0,259273.0,4154.0,20756.0,3.95
2014,388665.0,53094.0,51311.0,1783.0,288030.0,4197.0,20962.0,5.08
2015,440888.0,67889.0,66553.0,1336.0,372999.0,3325.0,22622.0,6.24
2016,409063.0,71752.0,70350.0,1402.0,337311.0,2884.0,17048.0,9.73
2017,470487.0,130389.0,128643.0,1746.0,340098.0,1080.0,13223.0,18.51
2018,451688.0,118167.0,116206.0,1961.0,333522.0,1242.0,12967.0,15.3
2019,474577.0,129827.0,128701.0,1126.0,344750.0,799.0,13403.0,24.17
2020,532371.0,205997.0,203114.0,2883.0,326374.0,601.0,12689.0,18.31
2021,472992.0,146090.0,140949.0,5141.0,326902.0,596.0,12710.0,23.5
2022,312094.0,53653.0,53653.0,0.0,258441.0,7932.0,10048.0,0.96
