Date,NOPAT
Q1/2007,7.702529232
Q2/2007,9.002632833
Q4/2007,14.140496679
Q1/2008,14.712597467
Q2/2008,18.194559648
Q3/2008,16.522249224
Q4/2008,5.949808387
Q1/2009,7.338642111
Q2/2009,17.315518118
Q3/2009,17.364544594
Q4/2009,21.356641857
Q1/2010,7.429941559
Q2/2010,16.603953898
Q3/2010,12.689253756
Q4/2010,9.937984175
Q1/2011,5.694233889
Q2/2011,11.37202109
Q3/2011,8.940599427
Q4/2011,6.842087311
Q1/2012,7.914340349
Q2/2012,11.428466285
Q3/2012,9.053236602
Q4/2012,10.552781066
Q1/2013,4.980296941
Q2/2013,8.344230981
Q3/2013,18.378991609
Q4/2013,17.801037657
Q1/2014,6.777535668
Q2/2014,15.849122264
Q3/2014,11.994761486
Q4/2014,20.367138413
Q1/2015,7.064082149
Q2/2015,16.807335955
Q3/2015,12.329576294
Q4/2015,14.128466415
Q1/2016,4.264039167
Q2/2016,29.078784973
Q3/2016,6.68875049
Q4/2016,12.019975262
Q1/2017,-0.996712081
Q2/2017,22.390364492
Q3/2017,0.986954331
Q4/2017,2.509426989
Q1/2018,7.433912269
Q2/2018,15.789560316
Q3/2018,7.993098992
Q4/2018,0.723190556
Q1/2019,12.667748597
Q2/2019,2.741303748
Q3/2019,11.478474081
Q4/2019,-6.349371459
Q1/2020,11.022557832
Q2/2020,-0.782470724
Q3/2020,6.094923312
Q4/2020,-0.885273375
Q1/2021,6.450008392
Q2/2021,-0.246226551
Q3/2021,5.686959076
Q4/2021,3.430315084
Q1/2022,5.347908162
Q2/2022,198.632228754
Q3/2022,2.264074856
Q4/2022,3.315665478
Q1/2023,0.61124348
Q2/2023,1.563331873
Q3/2023,0.480518893
