Date,Sales
Q1/2007,83737977433
Q2/2007,72709632912
Q4/2007,252669994911
Q1/2008,219627533778
Q2/2008,271099547066
Q3/2008,209515289121
Q4/2008,179532849489
Q1/2009,135652155381
Q2/2009,179977743410
Q3/2009,217024128673
Q4/2009,276853260276
Q1/2010,132441340670
Q2/2010,232529268593
Q3/2010,208654999510
Q4/2010,259402994575
Q1/2011,239004267866
Q2/2011,139215625879
Q3/2011,173167440617
Q4/2011,177111951611
Q1/2012,78451535189
Q2/2012,126972307912
Q3/2012,157454565753
Q4/2012,216236082824
Q1/2013,142061119924
Q2/2013,186221878010
Q3/2013,227545855234
Q4/2013,258468563376
Q1/2014,256840640839
Q2/2014,242197947279
Q3/2014,303841685606
Q4/2014,339222250188
Q1/2015,289794781464
Q2/2015,309817432524
Q3/2015,321223554016
Q4/2015,406915138968
Q1/2016,317580392853
Q2/2016,399968909750
Q3/2016,417410088139
Q4/2016,453485039212
Q1/2017,360810682910
Q2/2017,439723887666
Q3/2017,499187845810
Q4/2017,372348439641
Q1/2018,353939485146
Q2/2018,576373367001
Q3/2018,409665175233
Q4/2018,553135634894
Q1/2019,470013598713
Q2/2019,397099136600
Q3/2019,358460526401
Q4/2019,392054857166
Q1/2020,263530311123
Q2/2020,234801462581
Q3/2020,206215332573
Q4/2020,437000046106
Q1/2021,233493429087
Q2/2021,171950050838
Q3/2021,55081916361
Q4/2021,324122171508
Q1/2022,296566383704
Q2/2022,607772929723
Q3/2022,2866005329
Q4/2022,42379418182
Q1/2023,15174622496
Q2/2023,-13174622496
Q3/2023,290254739
