tradingTime,lastPrice
2023-12-19,18.2
2023-12-18,18.3
2023-12-15,18.35
2023-12-14,18.3
2023-12-13,18.35
2023-12-12,18.65
2023-12-11,18.85
2023-12-08,18.8
2023-12-07,18.5
2023-12-06,18.3
2023-12-05,18.95
2023-12-04,19.75
2023-12-01,19.35
2023-11-30,19.5
2023-11-29,19.9
2023-11-28,18.8
2023-11-27,17.6
2023-11-24,18.0
2023-11-23,18.4
2023-11-22,19.15
2023-11-21,19.4
2023-11-20,19.0
2023-11-17,18.6
2023-11-16,19.45
2023-11-15,18.9
2023-11-14,18.4
2023-11-13,17.2
2023-11-10,17.2
2023-11-09,17.1
2023-11-08,17.35
2023-11-07,17.4
2023-11-06,17.45
2023-11-03,17.45
2023-11-02,17.5
2023-11-01,17.0
2023-10-31,17.0
2023-10-30,17.0
2023-10-27,17.25
2023-10-26,17.0
2023-10-25,17.1
2023-10-24,17.5
2023-10-23,17.8
2023-10-20,17.85
2023-10-19,17.3
2023-10-18,17.0
2023-10-17,17.6
2023-10-16,17.6
2023-10-13,17.9
2023-10-12,18.0
2023-10-11,17.7
2023-10-10,17.6
2023-10-09,17.35
2023-10-06,17.4
2023-10-05,17.5
2023-10-04,17.5
2023-10-03,17.4
2023-10-02,17.9
2023-09-29,17.85
2023-09-28,17.7
2023-09-27,17.9
2023-09-26,18.3
2023-09-25,18.45
2023-09-22,19.0
2023-09-21,19.35
2023-09-20,18.3
2023-09-19,19.45
2023-09-18,20.9
2023-09-15,21.95
2023-09-14,21.95
2023-09-13,21.65
2023-09-12,21.45
2023-09-11,21.6
2023-09-08,21.8
2023-09-07,21.8
2023-09-06,21.75
2023-09-05,21.85
2023-08-31,21.95
2023-08-30,21.6
2023-08-29,21.6
2023-08-28,21.6
2023-08-25,21.35
2023-08-24,21.15
2023-08-23,21.6
2023-08-22,22.0
2023-08-21,22.6
2023-08-18,21.15
2023-08-17,22.65
2023-08-16,22.8
2023-08-15,22.8
2023-08-14,23.1
2023-08-11,22.95
2023-08-10,22.95
2023-08-09,23.4
2023-08-08,23.7
2023-08-07,23.1
2023-08-04,22.1
2023-08-03,22.2
2023-08-02,22.75
2023-08-01,23.25
2023-07-31,23.9
2023-07-28,23.4
2023-07-27,23.8
2023-07-26,24.8
2023-07-25,24.9
2023-07-24,24.8
2023-07-21,24.55
2023-07-20,24.95
2023-07-19,24.95
2023-07-18,24.9
2023-07-17,24.75
2023-07-14,25.5
2023-07-13,24.8
2023-07-12,24.7
2023-07-11,24.9
2023-07-10,24.7
2023-07-07,24.8
2023-07-06,24.5
2023-07-05,24.8
2023-07-04,24.4
2023-07-03,25.3
2023-06-30,25.7
2023-06-29,26.3
2023-06-28,25.0
2023-06-27,25.85
2023-06-26,27.75
2023-06-23,29.8
2023-06-22,28.7
2023-06-21,26.85
2023-06-20,25.1
2023-06-19,24.35
2023-06-16,24.75
2023-06-15,24.95
2023-06-14,25.75
2023-06-13,24.35
2023-06-12,22.8
2023-06-09,23.0
2023-06-08,23.95
2023-06-07,24.25
2023-06-06,24.55
2023-06-05,24.4
2023-06-02,24.55
2023-06-01,25.0
2023-05-31,24.0
2023-05-30,23.5
2023-05-29,23.4
2023-05-26,23.2
2023-05-25,24.2
2023-05-24,23.15
2023-05-23,21.65
2023-05-22,20.25
2023-05-19,19.9
2023-05-18,18.6
2023-05-17,17.4
2023-05-16,18.6
2023-05-15,18.55
2023-05-12,18.8
2023-05-11,18.8
2023-05-10,17.6
2023-05-09,16.45
2023-05-08,15.4
2023-05-05,15.35
2023-05-04,15.4
2023-04-28,15.7
2023-04-27,15.2
2023-04-26,15.4
2023-04-25,15.3
2023-04-24,15.9
2023-04-21,15.6
2023-04-20,15.6
2023-04-19,15.6
2023-04-18,15.75
2023-04-17,15.7
2023-04-14,15.8
2023-04-13,16.2
2023-04-12,15.5
2023-04-11,15.9
2023-04-10,16.7
2023-04-07,17.05
2023-04-06,17.65
2023-04-05,17.45
2023-04-04,16.9
2023-04-03,17.0
2023-03-31,17.45
2023-03-30,18.35
2023-03-29,18.9
2023-03-28,18.9
2023-03-27,20.3
2023-03-24,20.3
2023-03-23,20.25
2023-03-22,21.75
2023-03-21,22.4
2023-03-20,22.35
2023-03-17,20.95
2023-03-16,19.6
2023-03-15,19.65
2023-03-14,19.3
2023-03-13,19.25
2023-03-10,18.35
2023-03-09,17.6
2023-03-08,18.1
2023-03-07,17.15
2023-03-06,17.5
2023-03-03,18.3
2023-03-02,18.4
2023-03-01,19.75
2023-02-28,18.7
2023-02-27,17.5
2023-02-24,16.4
2023-02-23,17.0
2023-02-22,16.6
2023-02-21,17.2
2023-02-20,16.5
2023-02-17,16.2
2023-02-16,15.15
2023-02-15,14.2
2023-02-14,13.3
2023-02-13,13.25
2023-02-10,13.3
2023-02-09,13.65
2023-02-08,12.8
2023-02-07,12.0
2023-02-06,11.25
2023-02-03,10.55
2023-02-02,11.1
2023-02-01,11.9
2023-01-31,12.55
2023-01-30,12.4
2023-01-27,11.65
2023-01-19,10.9
2023-01-18,10.2
2023-01-17,9.55
2023-01-16,8.93
2023-01-13,8.8
2023-01-12,8.88
2023-01-11,8.6
2023-01-10,8.8
2023-01-09,9.3
2023-01-06,9.43
2023-01-05,8.82
2023-01-04,8.25
2023-01-03,7.93
2022-12-30,7.65
2022-12-29,7.73
2022-12-28,7.71
2022-12-27,7.89
2022-12-26,7.79
2022-12-23,7.86
2022-12-22,8.0
2022-12-21,8.03
2022-12-20,7.76
2022-12-19,8.0
2022-12-16,8.0
2022-12-15,8.03
2022-12-14,8.05
2022-12-13,8.04
2022-12-12,8.05
2022-12-09,8.09
2022-12-08,7.99
2022-12-07,7.84
2022-12-06,8.2
2022-12-05,8.4
2022-12-02,8.25
2022-12-01,8.16
2022-11-30,7.86
2022-11-29,8.2
2022-11-28,8.3
2022-11-25,8.05
2022-11-24,8.1
2022-11-23,8.1
2022-11-22,7.9
2022-11-21,8.05
2022-11-18,8.64
2022-11-17,8.58
2022-11-16,8.02
2022-11-15,7.5
2022-11-14,7.01
2022-11-11,7.53
2022-11-10,8.09
2022-11-09,8.69
2022-11-08,8.8
2022-11-07,8.23
2022-11-04,7.7
2022-11-03,7.2
2022-11-02,6.73
2022-11-01,7.0
2022-10-31,7.34
2022-10-28,7.89
2022-10-27,8.48
2022-10-26,9.11
2022-10-25,9.79
2022-10-24,9.96
2022-10-21,10.7
2022-10-20,11.5
2022-10-19,11.5
2022-10-18,11.5
2022-10-17,11.65
2022-10-14,11.65
2022-10-13,11.95
2022-10-12,12.1
2022-10-11,12.2
2022-10-10,12.1
2022-10-07,11.4
2022-10-06,12.1
2022-10-05,12.3
2022-10-04,12.1
2022-10-03,12.1
2022-09-30,12.1
2022-09-29,11.8
2022-09-28,11.7
2022-09-27,12.0
2022-09-26,11.8
2022-09-23,12.2
2022-09-22,12.1
2022-09-21,12.2
2022-09-20,12.2
2022-09-19,12.0
2022-09-16,12.1
2022-09-15,12.5
2022-09-14,12.5
2022-09-13,12.7
2022-09-12,12.75
2022-09-09,12.7
2022-09-08,12.7
2022-09-07,12.75
2022-09-06,13.0
2022-09-05,13.3
2022-08-31,13.0
2022-08-30,12.95
2022-08-29,13.7
2022-08-26,14.05
2022-08-25,14.2
2022-08-24,14.3
2022-08-23,14.6
2022-08-22,14.4
2022-08-19,14.3
2022-08-18,14.5
2022-08-17,15.0
2022-08-16,15.3
2022-08-15,15.6
2022-08-12,15.45
2022-08-11,15.7
2022-08-10,15.8
2022-08-09,16.3
2022-08-08,15.25
2022-08-05,15.3
2022-08-04,15.4
2022-08-03,15.95
2022-08-02,15.9
2022-08-01,14.9
2022-07-29,15.7
2022-07-28,16.85
2022-07-27,18.1
2022-07-26,18.35
2022-07-25,17.15
2022-07-22,16.06
2022-07-21,15.04
2022-07-20,14.76
2022-07-19,14.28
2022-07-18,13.74
2022-07-15,12.85
2022-07-14,12.92
2022-07-13,12.23
2022-07-12,12.23
2022-07-11,12.3
2022-07-08,12.3
2022-07-07,12.1
2022-07-06,12.1
2022-07-05,12.1
2022-07-04,11.96
2022-07-01,12.2
2022-06-30,12.1
2022-06-29,12.16
2022-06-28,11.62
2022-06-27,11.55
2022-06-24,11.72
2022-06-23,11.75
2022-06-22,11.07
2022-06-21,10.97
2022-06-20,11.21
2022-06-17,10.93
2022-06-16,11.28
2022-06-15,10.8
2022-06-14,11.0
2022-06-13,11.11
2022-06-10,11.07
2022-06-09,11.28
2022-06-08,11.0
2022-06-07,10.93
2022-06-06,10.93
2022-06-03,11.14
2022-06-02,11.55
2022-06-01,12.37
2022-05-31,12.64
2022-05-30,11.89
2022-05-27,11.14
2022-05-26,10.73
2022-05-25,10.8
2022-05-24,11.14
2022-05-23,11.96
2022-05-20,12.03
2022-05-19,11.55
2022-05-18,11.75
2022-05-17,11.17
2022-05-16,10.63
2022-05-13,10.63
2022-05-12,11.41
2022-05-11,11.62
2022-05-10,11.17
2022-05-09,10.76
2022-05-06,10.08
2022-05-05,9.43
2022-05-04,9.43
2022-04-29,9.5
2022-04-28,8.95
2022-04-27,9.23
2022-04-26,9.19
2022-04-25,9.12
2022-04-22,8.54
2022-04-21,8.54
2022-04-20,8.47
2022-04-19,8.41
2022-04-18,8.54
2022-04-15,8.68
2022-04-14,8.61
2022-04-13,8.54
2022-04-12,8.61
2022-04-08,8.75
2022-04-07,8.68
2022-04-06,8.71
2022-04-05,8.61
2022-04-04,8.54
2022-04-01,8.27
2022-03-31,8.82
2022-03-30,8.82
2022-03-29,8.88
2022-03-28,8.88
2022-03-25,8.88
2022-03-24,8.95
2022-03-23,8.88
2022-03-22,8.88
2022-03-21,8.88
2022-03-18,9.12
2022-03-17,8.75
2022-03-16,8.2
2022-03-15,8.2
2022-03-14,8.54
2022-03-11,8.58
2022-03-10,8.47
2022-03-09,8.51
2022-03-08,8.2
2022-03-07,8.37
2022-03-04,8.34
2022-03-03,8.2
2022-03-02,8.2
2022-03-01,8.54
2022-02-28,8.41
2022-02-25,8.68
2022-02-24,8.34
2022-02-23,8.47
2022-02-22,8.47
2022-02-21,8.54
2022-02-18,8.54
2022-02-17,8.54
2022-02-16,8.82
2022-02-15,8.41
2022-02-14,8.99
2022-02-11,9.09
2022-02-10,9.12
2022-02-09,8.54
2022-02-08,8.51
2022-02-07,8.54
2022-01-28,8.2
2022-01-27,8.03
2022-01-26,8.54
2022-01-25,8.95
2022-01-24,8.41
2022-01-21,8.99
2022-01-20,8.99
2022-01-19,8.41
2022-01-18,7.86
2022-01-17,8.37
2022-01-14,8.88
2022-01-13,8.75
2022-01-12,8.61
2022-01-11,8.88
2022-01-10,9.29
2022-01-07,9.47
2022-01-06,9.64
2022-01-05,9.64
2022-01-04,9.7
2021-12-31,9.57
2021-12-30,9.57
2021-12-29,9.57
2021-12-28,9.64
2021-12-27,9.5
2021-12-24,9.43
2021-12-23,9.98
2021-12-22,9.33
2021-12-21,8.75
2021-12-20,8.2
2021-12-17,7.86
2021-12-16,7.72
2021-12-15,8.13
2021-12-14,8.13
2021-12-13,8.06
2021-12-10,8.0
2021-12-09,7.93
2021-12-08,7.86
2021-12-07,8.2
2021-12-06,7.86
2021-12-03,8.06
2021-12-02,8.17
2021-12-01,8.13
2021-11-30,7.93
2021-11-29,7.59
2021-11-26,7.79
2021-11-25,7.86
2021-11-24,7.93
2021-11-23,8.06
2021-11-22,8.2
2021-11-19,8.0
2021-11-18,8.34
2021-11-17,8.54
2021-11-16,8.88
2021-11-15,9.43
2021-11-12,8.82
2021-11-11,8.26
2021-11-10,8.36
2021-11-09,8.23
2021-11-08,8.16
2021-11-05,8.03
2021-11-04,7.51
2021-11-03,7.35
2021-11-02,7.35
2021-11-01,7.44
2021-10-29,7.31
2021-10-28,7.31
2021-10-27,7.05
2021-10-26,7.12
2021-10-25,7.12
2021-10-22,7.18
2021-10-21,7.18
2021-10-20,7.12
2021-10-19,7.58
2021-10-18,7.18
2021-10-15,7.25
2021-10-14,7.02
2021-10-13,7.02
2021-10-12,6.79
2021-10-11,7.05
2021-10-08,7.05
2021-10-07,7.09
2021-10-06,7.15
2021-10-05,6.92
2021-10-04,7.38
2021-10-01,7.38
2021-09-30,7.38
2021-09-29,7.38
2021-09-28,7.44
2021-09-27,7.44
2021-09-24,7.44
2021-09-23,7.44
2021-09-22,7.18
2021-09-21,6.99
2021-09-20,7.48
2021-09-17,7.51
2021-09-16,7.28
2021-09-15,7.31
2021-09-14,6.99
2021-09-13,6.99
2021-09-10,6.86
2021-09-09,6.56
2021-09-08,6.56
2021-09-07,6.79
2021-09-06,6.73
2021-09-01,6.66
2021-08-31,6.66
2021-08-30,6.6
2021-08-27,6.6
2021-08-26,6.66
2021-08-25,6.66
2021-08-24,6.53
2021-08-23,6.53
2021-08-20,6.53
2021-08-19,6.73
2021-08-18,6.53
2021-08-17,6.99
2021-08-16,6.99
2021-08-13,6.53
2021-08-12,6.53
2021-08-11,6.66
2021-08-10,6.79
2021-08-09,6.79
2021-08-06,6.79
2021-08-05,6.79
2021-08-04,6.79
2021-08-03,6.56
2021-08-02,6.56
2021-07-30,6.56
2021-07-29,6.56
2021-07-28,6.56
2021-07-27,6.53
2021-07-26,6.66
2021-07-23,6.66
2021-07-22,6.73
2021-07-21,6.73
2021-07-20,6.73
2021-07-19,6.73
2021-07-16,7.18
2021-07-15,7.18
2021-07-14,7.12
2021-07-13,7.12
2021-07-12,7.12
2021-07-09,7.05
2021-07-08,7.05
2021-07-07,7.05
2021-07-06,7.05
2021-07-05,7.31
2021-07-02,7.38
2021-07-01,7.38
2021-06-30,7.38
2021-06-29,7.28
2021-06-28,7.12
2021-06-25,7.31
2021-06-24,7.58
2021-06-23,7.58
2021-06-22,7.58
2021-06-21,7.28
2021-06-18,7.58
2021-06-17,7.38
2021-06-16,7.18
2021-06-15,7.64
2021-06-14,7.77
2021-06-11,7.64
2021-06-10,7.58
2021-06-09,7.51
2021-06-08,7.74
2021-06-07,7.8
2021-06-04,7.31
2021-06-03,7.58
2021-06-02,7.31
2021-06-01,7.71
2021-05-31,7.84
2021-05-28,7.84
2021-05-27,7.84
2021-05-26,7.84
2021-05-25,7.77
2021-05-24,7.84
2021-05-21,7.84
2021-05-20,7.84
2021-05-19,7.61
2021-05-18,7.51
2021-05-17,7.84
2021-05-14,7.67
2021-05-13,7.74
2021-05-12,8.13
2021-05-11,8.03
2021-05-10,8.03
2021-05-07,7.84
2021-05-06,7.84
2021-05-05,8.0
2021-05-04,7.71
2021-04-29,7.97
2021-04-28,7.97
2021-04-27,7.87
2021-04-26,7.87
2021-04-23,7.84
2021-04-22,7.84
2021-04-20,7.77
2021-04-19,7.67
2021-04-16,7.64
2021-04-15,7.84
2021-04-14,7.84
2021-04-13,7.8
2021-04-12,7.71
2021-04-09,7.44
2021-04-08,7.38
2021-04-07,7.38
2021-04-06,7.31
2021-04-05,7.44
2021-04-02,7.44
2021-04-01,7.44
2021-03-31,7.44
2021-03-30,7.38
2021-03-29,7.38
2021-03-26,7.38
2021-03-25,7.38
2021-03-24,7.38
2021-03-23,7.28
2021-03-22,7.35
2021-03-19,7.38
2021-03-18,7.38
2021-03-17,7.35
2021-03-16,7.44
2021-03-15,7.44
2021-03-12,7.25
2021-03-11,7.31
2021-03-10,7.35
2021-03-09,7.38
2021-03-08,7.44
2021-03-05,7.25
2021-03-04,7.25
2021-03-03,7.31
2021-03-02,7.41
2021-03-01,7.41
2021-02-26,7.35
2021-02-25,7.35
2021-02-24,7.44
2021-02-23,7.18
2021-02-22,7.18
2021-02-19,7.18
2021-02-18,7.18
2021-02-17,7.44
2021-02-09,7.44
2021-02-08,7.18
2021-02-05,7.38
2021-02-04,7.38
