Item,Q1 2007,Q2 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,85866526385.0,76457380760.0,257480150476.0,224456592624.0,273794647516.0,214682869980.0,184471185457.0,137424128069.0,184089806494.0,222274658001.0,280202156215.0,134875632396.0,235341283760.0,215386043450.0,270801228060.0,244837380106.0,142878619846.0,176720972602.0,183025553886.0,79395549537.0,127011005255.0,157454565753.0,216236082824.0,142066203924.0,186221878010.0,227656550234.0,258701715376.0,257167591748.0,242237897519.0,303946397073.0,339377800528.0,290040015370.0,310691745866.0,323344340819.0,407034654535.0,317865016832.0,400535041695.0,418863879136.0,458486018296.0,361209979700.0,441178957048.0,501791577512.0,376260236722.0,353962215143.0,577288276388.0,411275010664.0,553889379135.0,470061835035.0,397250309434.0,358639153008.0,392215492520.0,264502475944.0,234901711649.0,208011416778.0,437722473497.0,235717022137.0,174385167573.0,55083041981.0,329833409826.0,296567083704.0,609398450492.0,2866005329.0,42379418182.0,15174622496.0
2. Các khoản giảm trừ doanh thu,2128548952.0,3747747848.0,4810155565.0,4829058846.0,2695100450.0,5167580859.0,4938335968.0,1771972688.0,4112063084.0,5250529328.0,3348895939.0,2434291726.0,2812015167.0,6731043940.0,11398233485.0,5833112240.0,3662993967.0,3553531985.0,5913602275.0,944014348.0,38697343.0,0.0,0.0,5084000.0,0.0,110695000.0,233152000.0,326950909.0,39950240.0,104711467.0,155550340.0,245233906.0,874313342.0,2120786803.0,119515567.0,284623979.0,566131945.0,1453790997.0,5000979084.0,399296790.0,1455069382.0,2603731702.0,3911797081.0,22729997.0,914909387.0,1609835431.0,753744241.0,48236322.0,151172834.0,178626607.0,160635354.0,972164821.0,100249068.0,1796084205.0,722427391.0,2223593050.0,2435116735.0,1125620.0,5711238318.0,700000.0,1625520769.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),83737977433.0,72709632912.0,252669994911.0,219627533778.0,271099547066.0,209515289121.0,179532849489.0,135652155381.0,179977743410.0,217024128673.0,276853260276.0,132441340670.0,232529268593.0,208654999510.0,259402994575.0,239004267866.0,139215625879.0,173167440617.0,177111951611.0,78451535189.0,126972307912.0,157454565753.0,216236082824.0,142061119924.0,186221878010.0,227545855234.0,258468563376.0,256840640839.0,242197947279.0,303841685606.0,339222250188.0,289794781464.0,309817432524.0,321223554016.0,406915138968.0,317580392853.0,399968909750.0,417410088139.0,453485039212.0,360810682910.0,439723887666.0,499187845810.0,372348439641.0,353939485146.0,576373367001.0,409665175233.0,553135634894.0,470013598713.0,397099136600.0,358460526401.0,392054857166.0,263530311123.0,234801462581.0,206215332573.0,437000046106.0,233493429087.0,171950050838.0,55081916361.0,324122171508.0,296566383704.0,607772929723.0,2866005329.0,42379418182.0,15174622496.0
4. Giá vốn hàng bán,65304256208.0,48616790798.0,203000654651.0,183093534590.0,225549296313.0,165373548979.0,136832139037.0,103135109958.0,136864597505.0,171924247540.0,211822527857.0,99555526472.0,183634955006.0,161424493483.0,207256029600.0,198907777383.0,98935170000.0,135484555628.0,136134204812.0,46906914612.0,90026398926.0,122516800903.0,173565641868.0,112319758780.0,150524154785.0,176572647461.0,200985439781.0,219799621153.0,192124193404.0,258249305021.0,268791659536.0,247755434873.0,250021454399.0,269990410293.0,355397152734.0,276273443335.0,324003260993.0,370668441031.0,387424139937.0,326134673918.0,371097678654.0,452525949507.0,315416953064.0,302105128342.0,510135249138.0,354251667496.0,483966598985.0,408024583276.0,352236565713.0,308358137619.0,345546793447.0,207599954344.0,198083771262.0,162632119178.0,389295103234.0,190916395623.0,141709640633.0,28425482212.0,272763861850.0,250659977300.0,323475676489.0,0.0,39286880000.0,13968525443.0
5. Lợi nhuận gộp (3)-(4),18433721225.0,24092842114.0,49669340260.0,36533999188.0,45550250753.0,44141740142.0,42700710452.0,32517045423.0,43113145905.0,45099881133.0,65030732419.0,32885814198.0,48894313587.0,47230506027.0,52146964975.0,40096490483.0,40280455879.0,37682884989.0,40977746799.0,31544620577.0,36945908986.0,34937764850.0,42670440956.0,29741361144.0,35697723225.0,50973207773.0,57483123595.0,37041019686.0,50073753875.0,45592380585.0,70430590652.0,42039346591.0,59795978125.0,51233143723.0,51517986234.0,41306949518.0,75965648757.0,46741647108.0,66060899275.0,34676008992.0,68626209012.0,46661896303.0,56931486577.0,51834356804.0,66238117863.0,55413507737.0,69169035909.0,61989015437.0,44862570887.0,50102388782.0,46508063719.0,55930356779.0,36717691319.0,43583213395.0,47704942872.0,42577033464.0,30240410205.0,26656434149.0,51358309658.0,45906406404.0,284297253234.0,2866005329.0,3092538182.0,1206097053.0
6. Doanh thu hoạt động tài chính,457625362.0,626187922.0,1112373528.0,803911153.0,1531440821.0,943807661.0,695635511.0,292198345.0,2170177952.0,884683459.0,1781463476.0,288905967.0,254478703.0,665855689.0,184120298.0,731702286.0,663589147.0,906098453.0,-1666018975.0,1979535995.0,2350936050.0,1030381228.0,1230972434.0,1084746616.0,1342462563.0,1450537857.0,1301774305.0,932986722.0,947148289.0,1039393423.0,1270488774.0,2167710379.0,1337301138.0,1305103697.0,2265155368.0,1041282146.0,1851346005.0,1475705160.0,1327374054.0,447619943.0,608211893.0,878789862.0,1091768536.0,789779177.0,2343187203.0,1251704856.0,1729215040.0,615171578.0,1504274326.0,1116163741.0,1445444179.0,552001856.0,1677019391.0,1229261421.0,4960712100.0,921032865.0,1767557675.0,1334559735.0,1898161754.0,1160277989.0,8894825959.0,1898457073.0,1954854156.0,944623432.0
7. Chi phí tài chính,-50077195.0,388585202.0,-359885014.0,-415482512.0,1903867016.0,1913916599.0,2523220541.0,1799157826.0,458383668.0,108318305.0,1822702691.0,507838986.0,311225591.0,514476232.0,444750294.0,1501291803.0,777667327.0,1396978599.0,1097059301.0,14620386.0,33805583.0,40549597.0,83145.0,32857.0,38621.0,71984.0,17974.0,17690.0,0.0,123142.0,5700628.0,33814.0,5509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630571350.0,766506724.0,380517646.0,339892372.0,314245708.0,152833713.0,420242712.0,480208124.0,780840565.0,570725168.0,989728389.0,617210961.0,269738152.0,304686900.0,1086384474.0,238559183.0,260495081.0,155232248.0,528786409.0,345378701.0,2320960279.0,1136395500.0,0.0,83561526.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000000.0,0.0,274775643.0,52500000.0,0.0,0.0,357834000.0,357934000.0,357834000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630571350.0,766506724.0,380517646.0,339892372.0,307478062.0,152533713.0,420242712.0,480208124.0,780840565.0,570725168.0,989728389.0,617210961.0,269738152.0,304686900.0,1086384474.0,238559183.0,260495081.0,121729051.0,455112409.0,345378701.0,803188173.0,0.0,0.0,83561526.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,1695855487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,6217999086.0,6395862096.0,20480306448.0,10235886204.0,11091503274.0,11279546428.0,19205764728.0,11389476931.0,12165813515.0,14295107160.0,18816716534.0,11802384122.0,13235203434.0,16681162129.0,20868041980.0,15277780883.0,12027848249.0,14782738671.0,16239700226.0,14562633747.0,15402202311.0,16171623435.0,19716422618.0,14654939471.0,15239095062.0,16903674377.0,20818760642.0,16453477985.0,17654063705.0,19336060877.0,26502500671.0,19911409144.0,21269883648.0,20324272793.0,18215993501.0,22077103492.0,22633596709.0,23683073127.0,33252667056.0,23487888199.0,33346656278.0,35617362846.0,37325211184.0,24940104806.0,27269803061.0,28016388539.0,46808435157.0,26361247071.0,26233384413.0,27475344715.0,38777275853.0,25526423224.0,26861770904.0,22216418975.0,35364179489.0,21676325151.0,20277610822.0,12921389165.0,33748265679.0,26917657913.0,22221971473.0,0.0,0.0,116449540.0
