Period,Lưu chuyển tiền thuần trong kỳ
Q1 2008,2464466117.0
Q3 2008,-26313127558.0
Q4 2008,6879776249.0
Q1 2009,2756338073.0
Q2 2009,9581429839.0
Q3 2009,16263319613.0
Q4 2009,-8614512865.0
Q1 2010,-34111750936.0
Q2 2010,11772028180.0
Q3 2010,-3566426844.0
Q4 2010,10940661058.0
Q1 2011,-8693200241.0
Q2 2011,-4735807145.0
Q3 2011,15496807848.0
Q4 2011,42216131647.0
Q1 2012,-2522302050.0
Q2 2012,-13528227614.0
Q3 2012,-1428501908.0
Q4 2012,-1808545274.0
Q1 2013,955956272.0
Q2 2013,36789283010.0
Q3 2013,-2064302795.0
Q4 2013,-14271527544.0
Q1 2014,-3539356088.0
Q2 2014,-1478465714.0
Q3 2014,21016075708.0
Q4 2014,1431512234.0
Q1 2015,29173319828.0
Q2 2015,-18930290577.0
Q3 2015,-7824763724.0
Q4 2015,46000997574.0
Q1 2016,-32390236935.0
Q2 2016,29846678048.0
Q3 2016,-48876461542.0
Q4 2016,112030863.0
Q1 2017,-54673334574.0
Q2 2017,11626463083.0
Q3 2017,9987969760.0
Q4 2017,55995244575.0
Q1 2018,-17819768767.0
Q2 2018,23579026950.0
Q3 2018,6317558976.0
Q4 2018,-42432569980.0
Q1 2019,-16903024134.0
Q2 2019,11001670696.0
Q3 2019,1249571769.0
Q4 2019,10657436403.0
Q1 2020,-24064005207.0
Q2 2020,22736018179.0
Q3 2020,-4092464801.0
Q4 2020,55120160899.0
Q1 2021,-50238468342.0
Q2 2021,-20358029321.0
Q3 2021,11433008208.0
Q4 2021,-2346924556.0
Q1 2022,-8059733883.0
Q2 2022,174267856798.0
Q3 2022,-149454165564.0
Q4 2022,195429995770.0
Q1 2023,-257412320548.0
