Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2005 - Q2,,,,,,0.0,0.0,0.0
2005 - Q3,,,,,,0.0,0.0,0.0
2005 - Q4,32038.0,18940.0,18062.0,878.0,13098.0,1884.0,13098.0,0.0
2006 - Q1,46959.0,34458.0,33580.0,878.0,12500.0,2614.0,12500.0,0.0
2006 - Q2,32192.0,19036.0,18158.0,878.0,13156.0,2754.0,13156.0,0.0
2006 - Q3,21279.0,7427.0,6549.0,878.0,13852.0,3061.0,13852.0,12.58
2006 - Q4,21092.0,6594.0,5716.0,878.0,14498.0,2727.0,14498.0,14.67
2007 - Q1,98588.0,76784.0,76176.0,608.0,21804.0,3315.0,14536.0,17.19
2007 - Q2,98588.0,76784.0,76176.0,608.0,21804.0,3856.0,14536.0,19.97
2007 - Q3,142154.0,117635.0,117027.0,608.0,24518.0,5127.0,16345.0,20.48
2007 - Q4,74469.0,48259.0,47651.0,608.0,26210.0,5432.0,17473.0,10.68
2008 - Q1,126346.0,38266.0,38266.0,0.0,88079.0,5018.0,18567.0,5.6
2008 - Q2,113628.0,27482.0,27482.0,0.0,86146.0,3387.0,18159.0,4.13
2008 - Q3,121586.0,32150.0,32150.0,0.0,89436.0,2732.0,18853.0,8.01
2008 - Q4,107814.0,22561.0,22561.0,0.0,85253.0,708.0,17971.0,16.94
2009 - Q1,104192.0,19675.0,19675.0,0.0,84517.0,546.0,17816.0,25.09
2009 - Q2,99523.0,12264.0,12264.0,0.0,87260.0,1365.0,18394.0,13.55
2009 - Q3,107735.0,14698.0,14698.0,0.0,93037.0,1950.0,19612.0,23.49
2009 - Q4,117046.0,19418.0,19418.0,0.0,97627.0,3839.0,20579.0,8.91
2010 - Q1,130090.0,12260.0,12260.0,0.0,117830.0,5179.0,24838.0,8.44
2010 - Q2,120504.0,9982.0,9982.0,0.0,110522.0,4424.0,11653.0,8.18
2010 - Q3,170022.0,58403.0,8403.0,50000.0,111619.0,3340.0,11769.0,6.8
2010 - Q4,173593.0,59447.0,9447.0,50000.0,114146.0,2373.0,12035.0,6.36
2011 - Q1,175770.0,61974.0,11974.0,50000.0,113796.0,1062.0,11998.0,10.08
2011 - Q2,169884.0,60100.0,10100.0,50000.0,109783.0,301.0,11575.0,23.24
2011 - Q3,178550.0,63811.0,13811.0,50000.0,114739.0,641.0,12098.0,9.36
2011 - Q4,169742.0,70828.0,20828.0,50000.0,98914.0,-794.0,10429.0,-4.91
2012 - Q1,181369.0,70779.0,20679.0,50100.0,110590.0,-527.0,11660.0,-10.25
2012 - Q2,201638.0,84552.0,34452.0,50100.0,117085.0,476.0,12345.0,18.27
2012 - Q3,197187.0,88639.0,38539.0,50100.0,108548.0,-972.0,11445.0,-6.89
2012 - Q4,184293.0,82634.0,32534.0,50100.0,101660.0,-294.0,10719.0,-26.85
2013 - Q1,188085.0,36147.0,36047.0,100.0,151938.0,-603.0,10490.0,-9.29
2013 - Q2,183363.0,40545.0,40445.0,100.0,142818.0,-1054.0,9860.0,-6.54
2013 - Q3,180052.0,37166.0,37066.0,100.0,142886.0,-285.0,9865.0,-17.89
2013 - Q4,179307.0,36743.0,36643.0,100.0,142564.0,64.0,9843.0,109.86
2014 - Q1,178010.0,35489.0,35389.0,100.0,142522.0,39.0,9840.0,243.98
2014 - Q2,176758.0,33920.0,33820.0,100.0,142838.0,2.0,9861.0,4041.33
2014 - Q3,176899.0,34117.0,34017.0,100.0,142783.0,1.0,9858.0,7403.38
2014 - Q4,177046.0,33677.0,33577.0,100.0,143369.0,65.0,9898.0,121.38
2015 - Q1,176543.0,28609.0,28509.0,100.0,147934.0,389.0,10213.0,26.2
2015 - Q2,168831.0,20059.0,19959.0,100.0,148771.0,426.0,10271.0,22.77
2015 - Q3,177244.0,22425.0,22325.0,100.0,154820.0,783.0,10689.0,14.69
2015 - Q4,165347.0,8210.0,8110.0,100.0,157137.0,905.0,10849.0,11.16
2016 - Q1,162794.0,5534.0,5434.0,100.0,157260.0,592.0,10857.0,15.04
2016 - Q2,163680.0,6240.0,6140.0,100.0,157440.0,543.0,10080.0,14.56
2016 - Q3,165344.0,7053.0,6953.0,100.0,158291.0,239.0,10136.0,28.92
2016 - Q4,167452.0,9642.0,9542.0,100.0,157810.0,31.0,10304.0,150.23
2017 - Q1,164274.0,6620.0,6520.0,100.0,157654.0,14.0,10293.0,293.21
2017 - Q2,166804.0,7946.0,7846.0,100.0,158858.0,80.0,10372.0,64.74
2017 - Q3,165942.0,7243.0,7143.0,100.0,158700.0,14.0,10362.0,332.71
2017 - Q4,173167.0,14348.0,14248.0,100.0,158819.0,67.0,10369.0,87.72
2018 - Q1,171280.0,12704.0,12604.0,100.0,158576.0,67.0,10354.0,102.34
2018 - Q2,173244.0,15206.0,15106.0,100.0,158038.0,-46.0,10318.0,-194.35
2018 - Q3,167333.0,9475.0,9375.0,100.0,157858.0,-48.0,10307.0,-144.66
2018 - Q4,171093.0,12363.0,12263.0,100.0,158730.0,1.0,10364.0,6558.5
2019 - Q1,169549.0,10845.0,10745.0,100.0,158704.0,-2.0,10362.0,-4244.88
2019 - Q2,168677.0,9988.0,9888.0,100.0,158689.0,32.0,10361.0,214.49
2019 - Q3,167997.0,9532.0,9432.0,100.0,158465.0,29.0,10346.0,191.35
2019 - Q4,168571.0,9681.0,9581.0,100.0,158890.0,0.0,10374.0,58168.91
2020 - Q1,164749.0,6370.0,6270.0,100.0,158379.0,-21.0,10341.0,-181.93
2020 - Q2,165873.0,6214.0,6114.0,100.0,159659.0,63.0,10424.0,74.55
2020 - Q3,169955.0,10341.0,10241.0,100.0,159614.0,75.0,10421.0,72.23
2020 - Q4,180221.0,20734.0,20634.0,100.0,159487.0,31.0,10413.0,277.7
2021 - Q1,248983.0,86369.0,86269.0,100.0,162614.0,26.0,10412.0,497.79
2021 - Q2,260190.0,96989.0,96889.0,100.0,163201.0,-19.0,10450.0,-710.86
2021 - Q3,260888.0,97744.0,97644.0,100.0,163144.0,-20.0,10446.0,-635.25
2021 - Q4,261677.0,98463.0,98463.0,0.0,163214.0,1.0,10451.0,15790.31
2022 - Q1,280211.0,117059.0,117059.0,0.0,163151.0,34.0,10447.0,900.21
2022 - Q2,499530.0,336510.0,126510.0,210000.0,163021.0,-12.0,10438.0,-1371.42
2022 - Q3,516265.0,354179.0,354179.0,0.0,162086.0,-53.0,10378.0,-239.85
2022 - Q4,490823.0,328719.0,328719.0,0.0,162104.0,-56.0,10380.0,-182.45
2023 - Q1,493707.0,330066.0,108682.0,221384.0,163641.0,-40.0,10478.0,-221.55
2023 - Q2,495167.0,331263.0,109878.0,221385.0,163904.0,-15.0,10495.0,-590.22
2023 - Q3,495718.0,331788.0,110403.0,221385.0,163930.0,36.0,10496.0,256.43
