Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2005,32038.0,18940.0,18062.0,878.0,13098.0,2403.0,13098.0,0.0
2006,21114.0,7416.0,6808.0,608.0,13698.0,2727.0,13698.0,14.67
2007,74683.0,48444.0,48106.0,338.0,26238.0,6562.0,17699.0,8.84
2008,106987.0,23281.0,23281.0,0.0,83706.0,346.0,18641.0,34.72
2009,122090.0,24165.0,24165.0,0.0,97924.0,4006.0,22184.0,8.54
2010,173634.0,60711.0,10711.0,50000.0,112923.0,1969.0,11906.0,7.67
2011,170325.0,70882.0,20782.0,50100.0,99443.0,-817.0,10485.0,-4.78
2012,184275.0,82613.0,32513.0,50100.0,101662.0,1684.0,10719.0,4.69
2013,179342.0,36787.0,36687.0,100.0,142555.0,63.0,10051.0,111.04
2014,177046.0,33677.0,33577.0,100.0,143369.0,65.0,10109.0,121.38
2015,165347.0,8210.0,8110.0,100.0,157137.0,971.0,11079.0,10.4
2016,167452.0,9663.0,9563.0,100.0,157789.0,44.0,10302.0,106.54
2017,172922.0,14214.0,14114.0,100.0,158708.0,60.0,10362.0,98.34
2018,171386.0,12497.0,12397.0,100.0,158889.0,12.0,10374.0,795.96
2019,168571.0,9677.0,9577.0,100.0,158894.0,0.0,10374.0,12124.64
2020,180221.0,20734.0,20634.0,100.0,159487.0,39.0,10413.0,219.42
2021,261677.0,98463.0,98463.0,0.0,163214.0,1.0,10451.0,15790.31
2022,474377.0,310919.0,109534.0,201385.0,163458.0,16.0,10466.0,654.04
