Date,Sales
Q1/2005,6838192778
Q2/2005,9369111127
Q3/2005,10341663194
Q4/2005,13517856255
Q1/2006,8524420735
Q2/2006,11613980897
Q3/2006,11968332970
Q4/2006,15093925947
Q1/2007,61395317512
Q2/2007,39452018128
Q3/2007,98244575840
Q4/2007,27594566374
Q1/2008,15073850277
Q2/2008,14934577417
Q3/2008,17925872790
Q4/2008,22203937363
Q1/2009,8937834520
Q2/2009,8230700351
Q3/2009,13272977523
Q4/2009,44905173981
Q1/2010,18395579656
Q2/2010,8126828614
Q3/2010,11736514376
Q4/2010,19947186939
Q1/2011,6287928004
Q2/2011,8936285852
Q3/2011,11081060006
Q4/2011,19508200425
Q1/2012,13370162499
Q2/2012,11486085366
Q3/2012,11283491200
Q4/2012,9998836039
Q1/2013,9794556839
Q2/2013,10024300299
Q3/2013,6199441123
Q4/2013,9752063543
Q1/2014,6020612159
Q2/2014,6971185924
Q3/2014,6498420283
Q4/2014,7087982128
Q1/2015,8231925286
Q2/2015,18601202563
Q3/2015,30378453096
Q4/2015,19456502883
Q1/2016,6776742456
Q2/2016,8659709787
Q3/2016,11625362954
Q4/2016,6780728061
Q1/2017,2645713001
Q2/2017,5554066512
Q3/2017,2669540016
Q4/2017,5269310275
Q1/2018,1517801252
Q2/2018,1918314835
Q3/2018,1676470206
Q4/2018,2654270511
Q1/2019,1720486575
Q2/2019,1843681750
Q3/2019,1305665062
Q4/2019,1661648091
Q1/2020,948067930
Q2/2020,902594959
Q3/2020,827368472
Q4/2020,1065555450
Q1/2021,257861763
Q2/2021,212299789
Q3/2021,74155000
Q4/2021,283701000
Q1/2022,8752000
Q2/2022,0
Q3/2022,0
Q4/2022,277777778
Q1/2023,500000000
Q2/2023,700000000
Q3/2023,510000000
