tradingTime,lastPrice
2024-01-12,7.5
2024-01-11,7.6
2024-01-10,7.7
2024-01-09,7.5
2024-01-08,7.8
2024-01-05,7.5
2024-01-04,7.9
2024-01-03,7.9
2024-01-02,7.9
2023-12-29,8.1
2023-12-28,8.0
2023-12-27,7.9
2023-12-26,8.0
2023-12-25,8.0
2023-12-22,8.0
2023-12-21,8.1
2023-12-20,8.1
2023-12-19,8.1
2023-12-18,8.2
2023-12-15,8.2
2023-12-14,8.0
2023-12-13,8.2
2023-12-12,8.3
2023-12-11,8.2
2023-12-08,7.9
2023-12-07,8.0
2023-12-06,8.2
2023-12-05,8.3
2023-12-04,8.2
2023-12-01,8.2
2023-11-30,8.4
2023-11-29,8.0
2023-11-28,8.1
2023-11-27,8.2
2023-11-24,8.1
2023-11-23,8.4
2023-11-22,8.2
2023-11-21,8.2
2023-11-20,8.2
2023-11-17,8.5
2023-11-16,8.9
2023-11-15,8.4
2023-11-14,8.2
2023-11-13,8.3
2023-11-10,8.4
2023-11-09,8.4
2023-11-08,8.5
2023-11-07,8.5
2023-11-06,8.5
2023-11-03,8.5
2023-11-02,8.5
2023-11-01,8.3
2023-10-31,8.6
2023-10-30,9.0
2023-10-27,9.0
2023-10-26,8.8
2023-10-25,9.2
2023-10-24,9.1
2023-10-23,8.9
2023-10-20,9.5
2023-10-19,9.4
2023-10-18,9.3
2023-10-17,9.4
2023-10-16,9.3
2023-10-13,9.4
2023-10-12,9.8
2023-10-11,10.1
2023-10-10,10.1
2023-10-09,10.2
2023-10-06,9.6
2023-10-05,9.3
2023-10-04,9.1
2023-10-03,9.0
2023-10-02,9.5
2023-09-29,9.2
2023-09-28,9.2
2023-09-27,9.4
2023-09-26,9.6
2023-09-25,9.3
2023-09-22,10.0
2023-09-21,10.4
2023-09-20,10.3
2023-09-19,10.1
2023-09-18,10.4
2023-09-15,10.2
2023-09-14,10.2
2023-09-13,10.2
2023-09-12,10.2
2023-09-11,10.5
2023-09-08,10.3
2023-09-07,10.4
2023-09-06,10.4
2023-09-05,10.4
2023-08-31,10.8
