Item,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,25622946400.0,40650591085.0,25959548796.0,14771516362.0,14437999289.0,65371958042.0,91286318437.0,136508415847.0,66881117568.0,96575739681.0,83009915544.0,90496958620.0,47645524116.0,95470539679.0,93091788546.0,103502334740.0,112856123352.0,97231485266.0,114863209067.0,153425488732.0,118816506699.0,174838763890.0,170972588691.0,178127443523.0,169445304032.0,171140758547.0,192059782489.0,187152781972.0,166532869310.0,102024605552.0,97295561711.0,93993320811.0,92966884578.0,78900438536.0,76937972166.0,77226986216.0,76641096937.0,75553376717.0,71292261144.0,74840157457.0,61183157653.0,43991034223.0,44033595031.0,48273995855.0,45135525170.0,39929325608.0,37636492981.0,35773875755.0,45663858082.0,41428641282.0,63560230232.0,56480520227.0,43307331193.0,39482384457.0,34246445594.0,32775587023.0,33759448757.0,15480240145.0,32166669616.0,4293067651.0,9698635268.0,24245341274.0,3960811119.0,3750047523.0,3330894857.0,4271344531.0,221428156902.0,228202754848.0,122806459965.0,463216732804.0
I. Tiền và các khoản tương đương tiền,2404622149.0,6404028700.0,1387006383.0,199045035.0,2778512446.0,1679625192.0,4109333691.0,4748863545.0,6468817505.0,34163693813.0,16433798744.0,13738992040.0,7071009658.0,2984490001.0,20535606047.0,4952110462.0,51865981793.0,14567913804.0,23339507633.0,63472580592.0,52539741845.0,32305809968.0,24027444858.0,6993338165.0,8454420621.0,1990383960.0,1455024385.0,1625947620.0,3906740497.0,1134180095.0,1663981060.0,1004485393.0,2654222213.0,1650258152.0,2980835150.0,2774313361.0,3395242194.0,1216818373.0,3140378805.0,1897367569.0,10918592302.0,3973863542.0,2437828711.0,1544460524.0,1142518166.0,495590173.0,2357842527.0,780662397.0,2113457549.0,598529317.0,8612213760.0,284608472.0,1560437439.0,157158424.0,304094217.0,91669155.0,288020276.0,10204910829.0,9491750045.0,549227628.0,5716838335.0,20756219328.0,1433415297.0,1256465014.0,921532941.0,1051458427.0,1152720670.0,107481441.0,2722861238.0,209357294.0
1. Tiền,2404622149.0,6404028700.0,1387006383.0,,2778512446.0,1679625192.0,4109333691.0,4748863545.0,6468817505.0,34163693813.0,,13738992040.0,,2984490001.0,,368391396.0,,14567913804.0,23339507633.0,6472580592.0,17539741845.0,2305809968.0,19057444858.0,1993338165.0,7962517001.0,1498480340.0,1155024385.0,1325947620.0,3606740497.0,834180095.0,1663981060.0,704485393.0,2354222213.0,1350258152.0,2980835150.0,2474313361.0,3095242194.0,916818373.0,3140378805.0,1597367569.0,10618592302.0,3973863542.0,2437828711.0,1544460524.0,1142518166.0,495590173.0,2357842527.0,780662397.0,2113457549.0,598529317.0,8612213760.0,284608472.0,1560437439.0,157158424.0,304094217.0,91669155.0,288020276.0,10204910829.0,491750045.0,549227628.0,5716838335.0,756219328.0,1433415297.0,1256465014.0,921532941.0,1051458427.0,1152720670.0,107481441.0,2722861238.0,209357294.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,4583719066.0,,0.0,0.0,57000000000.0,35000000000.0,30000000000.0,4970000000.0,5000000000.0,491903620.0,491903620.0,300000000.0,300000000.0,300000000.0,300000000.0,0.0,300000000.0,300000000.0,300000000.0,0.0,300000000.0,300000000.0,300000000.0,0.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000000.0,0.0,0.0,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5901440000.0,21901440000.0,30636440000.0,0.0,18000000000.0,4000000000.0,39000000000.0,4000000000.0,18646100000.0,36064060000.0,25264960000.0,7758000000.0,85483138000.0,58373088000.0,82577724000.0,76013153000.0,80314127860.0,71045295860.0,62321080860.0,29704705860.0,495163860.0,1176056860.0,776056860.0,245064860.0,245064860.0,445000000.0,145000000.0,145000000.0,145000000.0,445000000.0,145000000.0,0.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,400000000.0,400000000.0,300000000.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5901440000.0,,30636440000.0,0.0,18000000000.0,,39000000000.0,,18646100000.0,44333300000.0,33534200000.0,7758000000.0,94172878000.0,73412639453.0,93577679453.0,99118764628.0,92410744488.0,78085039899.0,77400639899.0,44631644148.0,15422102148.0,1377411440.0,977411440.0,245064860.0,245064860.0,445000000.0,145000000.0,145000000.0,145000000.0,445000000.0,145000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,-8269240000.0,-8269240000.0,0.0,-8689740000.0,-15039551453.0,-10999955453.0,-23105611628.0,-12096616628.0,-7039744039.0,-15079559039.0,-14926938288.0,-14926938288.0,-201354580.0,-201354580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,400000000.0,400000000.0,300000000.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Các khoản phải thu ngắn hạn,18010378079.0,28636342966.0,18357407941.0,7322440803.0,5352268703.0,54017726214.0,62554942117.0,118801990204.0,46322972649.0,38648439103.0,24815142787.0,22263556158.0,21810515282.0,53938432555.0,45367513430.0,22381219329.0,40723259588.0,42771995491.0,38576237015.0,46815928716.0,45246811016.0,37834375398.0,67936428988.0,68427764831.0,66179487913.0,71660398122.0,99387602123.0,102593163817.0,109392204021.0,36585439528.0,32417206287.0,30752593222.0,27719909001.0,27601392339.0,25564949264.0,25215533726.0,24642738602.0,24041188511.0,29863814193.0,39388386018.0,25613803866.0,34742366843.0,36490938548.0,42435972366.0,40933985745.0,36054997575.0,32975076840.0,32376887812.0,42127825771.0,39040668217.0,53125270006.0,54122120777.0,38829222421.0,36396624593.0,31297439492.0,30044153953.0,31038501957.0,3146330766.0,20515152710.0,1682350770.0,2028721011.0,1416059289.0,415059284.0,416621284.0,381812852.0,395938730.0,217748918216.0,225726966846.0,112294207033.0,88543547916.0
