Item,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,6838192778.0,9369111127.0,10341663194.0,13517856255.0,8531412735.0,11647808897.0,11968332970.0,15093925947.0,61398150512.0,39529870095.0,98318354272.0,27606366374.0,15073850277.0,14934577417.0,17925872790.0,22203937363.0,8937834520.0,8235100351.0,13272977523.0,44975573981.0,18395579656.0,8126828614.0,11736514376.0,19947186939.0,6287928004.0,8936285852.0,11081060006.0,19508200425.0,13370162499.0,11486085366.0,11283491200.0,9998836039.0,9794556839.0,10024300299.0,6199441123.0,9752063543.0,6020612159.0,6971185924.0,6498420283.0,7087982128.0,8231925286.0,18601202563.0,30378453096.0,19456502883.0,6776742456.0,8659709787.0,11625362954.0,6780728061.0,2645713001.0,5554066512.0,2669540016.0,5269310275.0,1517801252.0,1918314835.0,1676470206.0,2654270511.0,1720486575.0,1843681750.0,1305665062.0,1661648091.0,948067930.0,902594959.0,827368472.0,1065555450.0,257861763.0,212299789.0,74155000.0,283701000.0,8752000.0,0.0,0.0,277777778.0,500000000.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,6992000.0,33828000.0,0.0,0.0,2833000.0,77851967.0,73778432.0,11800000.0,0.0,0.0,0.0,0.0,0.0,4400000.0,0.0,70400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),6838192778.0,9369111127.0,10341663194.0,13517856255.0,8524420735.0,11613980897.0,11968332970.0,15093925947.0,61395317512.0,39452018128.0,98244575840.0,27594566374.0,15073850277.0,14934577417.0,17925872790.0,22203937363.0,8937834520.0,8230700351.0,13272977523.0,44905173981.0,18395579656.0,8126828614.0,11736514376.0,19947186939.0,6287928004.0,8936285852.0,11081060006.0,19508200425.0,13370162499.0,11486085366.0,11283491200.0,9998836039.0,9794556839.0,10024300299.0,6199441123.0,9752063543.0,6020612159.0,6971185924.0,6498420283.0,7087982128.0,8231925286.0,18601202563.0,30378453096.0,19456502883.0,6776742456.0,8659709787.0,11625362954.0,6780728061.0,2645713001.0,5554066512.0,2669540016.0,5269310275.0,1517801252.0,1918314835.0,1676470206.0,2654270511.0,1720486575.0,1843681750.0,1305665062.0,1661648091.0,948067930.0,902594959.0,827368472.0,1065555450.0,257861763.0,212299789.0,74155000.0,283701000.0,8752000.0,0.0,0.0,277777778.0,500000000.0
4. Giá vốn hàng bán,4961829876.0,7111676733.0,8289491419.0,10484584046.0,6529098161.0,9070612121.0,9925620320.0,12805726845.0,57408667520.0,36798397086.0,93217629785.0,23884096700.0,12140071380.0,12246306518.0,15421792940.0,19799016005.0,7601032105.0,7142450320.0,11210584104.0,38917040710.0,7288035738.0,6688579350.0,10740578560.0,17114123146.0,5365464597.0,7817240149.0,9528112760.0,17395212137.0,11509309648.0,9640269265.0,9472734408.0,8545141274.0,8330667130.0,8869197540.0,5324745463.0,8291785573.0,5144962244.0,6009719876.0,5497809558.0,6152130033.0,5989848443.0,14542006411.0,23000184288.0,15473325057.0,5853925114.0,7224058600.0,9334040417.0,6492734122.0,2268696339.0,3502908399.0,2328510418.0,4713086976.0,1376846019.0,1764413982.0,1528696287.0,2446709166.0,1577465312.0,1357936722.0,1223294558.0,1562567740.0,1180164769.0,912184120.0,803472342.0,1035698028.0,229287491.0,194937824.0,77740708.0,88890982.0,6807624.0,0.0,0.0,0.0,0.0
5. Lợi nhuận gộp (3)-(4),1876362902.0,2257434394.0,2052171775.0,3033272209.0,1995322574.0,2543368776.0,2042712650.0,2288199102.0,3986649992.0,2653621042.0,5026946055.0,3710469674.0,2933778897.0,2688270899.0,2504079850.0,2404921358.0,1336802415.0,1088250031.0,2062393419.0,5988133271.0,11107543918.0,1438249264.0,995935816.0,2833063793.0,922463407.0,1119045703.0,1552947246.0,2112988288.0,1860852851.0,1845816101.0,1810756792.0,1453694765.0,1463889709.0,1155102759.0,874695660.0,1460277970.0,875649915.0,961466048.0,1000610725.0,935852095.0,2242076843.0,4059196152.0,7378268808.0,3983177826.0,922817342.0,1435651187.0,2291322537.0,287993939.0,377016662.0,2051158113.0,341029598.0,556223299.0,140955233.0,153900853.0,147773919.0,207561345.0,143021263.0,485745028.0,82370504.0,99080351.0,-232096839.0,-9589161.0,23896130.0,29857422.0,28574272.0,17361965.0,-3585708.0,194810018.0,1944376.0,0.0,0.0,277777778.0,500000000.0
6. Doanh thu hoạt động tài chính,5447035.0,3858076.0,7601695.0,10824876.0,9203200.0,18651830.0,5839196.0,3635274.0,787430291.0,303296858.0,104559713.0,572574006.0,1021708429.0,797419014.0,2944757974.0,64808595.0,1660123977.0,6459381334.0,1042183243.0,718598524.0,814685870.0,9444267830.0,4467782105.0,414241099.0,1455333012.0,15690157547.0,6091005083.0,268588369.0,611734520.0,3075316259.0,10275395.0,-5850532559.0,-13204307.0,889767681.0,81739638.0,29457654.0,6576978.0,723034004.0,7116476.0,1015794670.0,4037458446.0,17449580.0,9631117.0,34534079.0,7738595.0,16691377.0,5192831.0,11519851.0,4582435.0,4105627.0,5123175.0,7191760.0,4703138.0,4284976.0,3295680.0,1138176593.0,98925.0,220474.0,134457.0,1300089729.0,550856.0,994216217.0,84898089.0,138261.0,5585664.0,3307922.0,618307.0,477129.0,703083.0,674840.0,241870.0,2264377.0,358736.0
7. Chi phí tài chính,47411600.0,61316100.0,58738800.0,74668063.0,54065549.0,51056276.0,48752727.0,102180458.0,85414824.0,68876262.0,126593992.0,121662733.0,12175397.0,8377806.0,23455117.0,5673400000.0,6835358.0,12669809.0,0.0,6664210.0,66095303.0,8301901299.0,1617427736.0,-1310412795.0,66719878.0,19601719836.0,598246253.0,12668878769.0,-10030762263.0,-4151200541.0,8730065146.0,1324050529.0,128945407.0,-11717867.0,406978.0,475958963.0,45361925.0,452740924.0,48669962.0,351347452.0,18772878.0,170768407.0,46397360.0,36968319.0,365941.0,56593941.0,56342962.0,56486962.0,57450334.0,61991575.0,58231988.0,177557077.0,50245555.0,364684931.0,0.0,138230138.0,0.0,120501371.0,0.0,730662072.0,38835617.0,-608163440.0,0.0,65097261.0,508180823.0,-508180823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trong đó: Chi phí lãi vay,47411600.0,61316100.0,58738800.0,74668063.0,54065549.0,51056276.0,48752727.0,102180458.0,84591588.0,68876282.0,95893992.0,81259431.0,12175397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221440208.0,331687500.0,205531667.0,610008333.0,867351111.0,56711110.0,467277779.0,0.0,447401828.0,45000000.0,452372221.0,47569372.0,350981511.0,18410959.0,170402466.0,46027398.0,36598357.0,0.0,56228000.0,55973000.0,56117000.0,57450334.0,61991575.0,58231988.0,177557077.0,50245555.0,364684931.0,0.0,138230138.0,0.0,120501371.0,0.0,122498632.0,38835617.0,0.0,0.0,65097261.0,508180823.0,-508180823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,899765959.0,981130264.0,1069703141.0,1168015430.0,919186662.0,855092046.0,704453929.0,940242488.0,1169477428.0,946064982.0,1214290145.0,1364197554.0,1221378215.0,1200984577.0,1185586442.0,1257246284.0,894723199.0,804540301.0,1017932476.0,1153482529.0,840244583.0,847140073.0,707672633.0,625031699.0,636453521.0,588652614.0,571721313.0,523741289.0,465646261.0,394934173.0,406859540.0,379605430.0,389200381.0,366592897.0,267459279.0,410851870.0,307505456.0,338366801.0,308639182.0,307372307.0,228224345.0,958127422.0,209699242.0,331763891.0,206700379.0,279987636.0,290257717.0,305060683.0,258166071.0,304291676.0,199486901.0,114532490.0,127398937.0,118096468.0,110464918.0,116118068.0,95167534.0,89738342.0,94352210.0,104889180.0,68374344.0,52662914.0,19380563.0,22863876.0,21303572.0,10529976.0,392042.0,11810018.0,2978467.0,-1034091.0,0.0,0.0,0.0
