Period,Lưu chuyển tiền thuần trong kỳ
Q1 2007,-1098930970.0
Q2 2007,2106113688.0
Q3 2007,963124665.0
Q4 2007,1719953960.0
Q1 2008,27694876308.0
Q1 2009,-4092588561.0
Q2 2009,17551116046.0
Q1 2010,-37298067989.0
Q2 2010,11571593829.0
Q3 2010,37333072959.0
Q4 2010,-10932838747.0
Q1 2011,-20233931877.0
Q2 2011,-8278365110.0
Q3 2011,-17034106693.0
Q4 2011,1461082456.0
Q1 2012,-6464036661.0
Q2 2012,-535359575.0
Q3 2012,170923235.0
Q4 2012,2280792877.0
Q1 2013,-2772560402.0
Q2 2013,529800965.0
Q3 2013,-659495667.0
Q4 2013,1649736820.0
Q1 2014,-703964061.0
Q2 2014,1330576998.0
Q3 2014,-206521789.0
Q4 2014,620928833.0
Q1 2015,-2178423821.0
Q2 2015,2223560431.0
Q3 2015,-1543011235.0
Q4 2015,9021224733.0
Q1 2016,-6644728760.0
Q2 2016,-1536034831.0
Q3 2016,-893368187.0
Q4 2016,-401942358.0
Q1 2017,-646927993.0
Q2 2017,1862252354.0
Q3 2017,-1577180130.0
Q4 2017,1332795152.0
Q1 2018,-1405734704.0
Q2 2018,8013684443.0
Q3 2018,-8327605288.0
Q4 2018,1275828967.0
Q1 2019,-1403279015.0
Q2 2019,146935793.0
Q3 2019,-212425062.0
Q4 2019,196351121.0
Q1 2020,9916890553.0
Q2 2020,-713160784.0
Q3 2020,-8942522417.0
Q4 2020,5167610707.0
Q1 2021,15039380993.0
Q2 2021,-19322804031.0
Q3 2021,-176950283.0
Q4 2021,-334932073.0
Q1 2022,129925486.0
Q2 2022,101262243.0
Q3 2022,-1045239229.0
Q4 2022,2615379797.0
Q1 2023,-2513503944.0
Q2 2023,-162607171.0
Q3 2023,897801638.0
