Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2009 - Q3,,,,,,0.0,0.0,0.0
2009 - Q4,11731.0,516.0,516.0,0.0,11215.0,483.0,10384.0,0.0
2010 - Q1,,,,,,0.0,0.0,0.0
2010 - Q2,,,,,,0.0,0.0,0.0
2010 - Q3,15136.0,1058.0,1058.0,0.0,14078.0,2883.0,13035.0,4.99
2010 - Q4,14844.0,1550.0,1550.0,0.0,13294.0,2265.0,12309.0,5.92
2011 - Q1,18053.0,5918.0,5918.0,0.0,12135.0,1954.0,11237.0,4.5
2011 - Q2,14354.0,1191.0,1191.0,0.0,13163.0,2485.0,12188.0,2.62
2011 - Q3,15189.0,1161.0,1161.0,0.0,14028.0,1965.0,12989.0,4.28
2011 - Q4,14269.0,1779.0,1779.0,0.0,12490.0,2942.0,11565.0,2.31
2012 - Q1,13871.0,1059.0,1059.0,0.0,12812.0,2761.0,11863.0,2.9
2012 - Q2,14630.0,1808.0,1808.0,0.0,12821.0,2712.0,11872.0,3.8
2012 - Q3,13973.0,1215.0,1215.0,0.0,12758.0,1863.0,11813.0,5.05
2012 - Q4,15884.0,2045.0,2045.0,0.0,13840.0,2690.0,12814.0,3.27
2013 - Q1,15056.0,799.0,799.0,0.0,14257.0,2783.0,13201.0,3.77
2013 - Q2,15239.0,853.0,853.0,0.0,14387.0,2084.0,13321.0,4.56
2013 - Q3,16983.0,1960.0,1960.0,0.0,15023.0,2730.0,13910.0,3.37
2013 - Q4,17273.0,2455.0,2235.0,220.0,14817.0,2024.0,13720.0,5.43
2014 - Q1,16348.0,849.0,657.0,192.0,15498.0,2297.0,14350.0,5.49
2014 - Q2,15623.0,1389.0,1118.0,271.0,14234.0,2003.0,13179.0,7.49
2014 - Q3,16433.0,1634.0,1312.0,322.0,14799.0,1928.0,13703.0,5.39
2014 - Q4,16560.0,1456.0,1300.0,156.0,15104.0,1838.0,13985.0,7.24
2015 - Q1,16602.0,1911.0,1705.0,206.0,14691.0,1802.0,13603.0,6.1
2015 - Q2,15722.0,870.0,624.0,246.0,14852.0,1841.0,13752.0,6.08
2015 - Q3,15924.0,995.0,768.0,227.0,14930.0,1390.0,13824.0,7.99
2015 - Q4,16634.0,1146.0,1034.0,112.0,15488.0,1664.0,14341.0,7.15
2016 - Q1,16525.0,806.0,694.0,112.0,15720.0,1224.0,14555.0,9.31
2016 - Q2,17146.0,878.0,766.0,112.0,16268.0,1578.0,15063.0,6.85
2016 - Q3,16547.0,1072.0,960.0,112.0,15475.0,1903.0,14329.0,5.99
2016 - Q4,17079.0,1642.0,1530.0,112.0,15437.0,1503.0,14293.0,8.18
2017 - Q1,16269.0,499.0,387.0,112.0,15770.0,1598.0,14602.0,7.76
2017 - Q2,16844.0,538.0,538.0,0.0,16306.0,1587.0,15098.0,7.56
2017 - Q3,16339.0,622.0,622.0,0.0,15717.0,1553.0,14553.0,7.53
2017 - Q4,17743.0,1705.0,1604.0,101.0,16038.0,1702.0,14850.0,9.4
2018 - Q1,15677.0,365.0,365.0,0.0,15312.0,721.0,14178.0,16.24
2018 - Q2,17425.0,490.0,490.0,0.0,16935.0,1727.0,15680.0,7.76
2018 - Q3,16540.0,315.0,315.0,0.0,16225.0,707.0,15023.0,16.98
2018 - Q4,18434.0,1452.0,1452.0,0.0,16982.0,1017.0,15724.0,11.8
2019 - Q1,16295.0,187.0,187.0,0.0,16107.0,879.0,14914.0,12.74
2019 - Q2,15255.0,392.0,392.0,0.0,14863.0,-976.0,13762.0,-21.51
2019 - Q3,16520.0,291.0,291.0,0.0,16228.0,946.0,15026.0,14.06
2019 - Q4,18197.0,1099.0,1099.0,0.0,17098.0,1055.0,15831.0,12.61
2020 - Q1,15791.0,903.0,903.0,0.0,14888.0,-181.0,13785.0,-71.77
2020 - Q2,14213.0,511.0,511.0,0.0,13703.0,472.0,12688.0,29.42
2020 - Q3,14109.0,327.0,327.0,0.0,13781.0,-718.0,12760.0,-16.71
2020 - Q4,15845.0,242.0,242.0,0.0,15603.0,16.0,14447.0,774.57
2021 - Q1,13242.0,340.0,340.0,0.0,12902.0,-436.0,11946.0,-30.96
2021 - Q2,12577.0,274.0,274.0,0.0,12303.0,-1295.0,11391.0,-10.58
2021 - Q3,12520.0,459.0,459.0,0.0,12060.0,-1859.0,11167.0,-9.41
2021 - Q4,25260.0,4529.0,4529.0,0.0,20731.0,4982.0,19195.0,5.72
2022 - Q1,38254.0,12743.0,12743.0,0.0,25511.0,12407.0,23622.0,7.04
2022 - Q2,41317.0,19556.0,19556.0,0.0,21761.0,8736.0,10892.0,7.1
2022 - Q3,37636.0,14626.0,14626.0,0.0,23010.0,8496.0,11516.0,8.71
2022 - Q4,26214.0,2497.0,2497.0,0.0,23717.0,2149.0,11870.0,21.36
2023 - Q1,25291.0,1549.0,1549.0,0.0,23742.0,-879.0,11883.0,-61.45
2023 - Q2,25518.0,1723.0,1723.0,0.0,23795.0,1021.0,11910.0,31.33
2023 - Q3,25342.0,1447.0,1447.0,0.0,23896.0,482.0,11960.0,41.94
