Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2009,11731.0,516.0,516.0,0.0,11215.0,800.0,10384.0,0.0
2010,14844.0,1550.0,1550.0,0.0,13294.0,2265.0,12309.0,5.92
2011,14269.0,1779.0,1779.0,0.0,12490.0,2942.0,11565.0,2.31
2012,15884.0,2045.0,2045.0,0.0,13840.0,2690.0,13798.0,3.27
2013,17273.0,2520.0,2300.0,220.0,14753.0,1952.0,13660.0,5.64
2014,16560.0,1456.0,1300.0,156.0,15104.0,1838.0,13985.0,7.24
2015,16634.0,1146.0,1034.0,112.0,15488.0,1664.0,14341.0,7.15
2016,17079.0,1642.0,1530.0,112.0,15437.0,1503.0,14293.0,8.15
2017,17743.0,1705.0,1604.0,101.0,16038.0,1694.0,14850.0,9.45
2018,18434.0,1452.0,1452.0,0.0,16982.0,1017.0,15724.0,11.8
2019,18197.0,1099.0,1099.0,0.0,17098.0,1055.0,15831.0,12.61
2020,15845.0,242.0,242.0,0.0,15603.0,16.0,14447.0,774.57
2021,25260.0,4529.0,4529.0,0.0,20731.0,5248.0,19195.0,5.43
2022,26214.0,2497.0,2497.0,0.0,23717.0,2189.0,11870.0,20.97
