Date,Sales
Q3/2009,1838305817
Q4/2009,1214583327
Q1/2010,2250243532
Q2/2010,2031599452
Q3/2010,1467540235
Q4/2010,1835279628
Q1/2011,1960572907
Q2/2011,2094327999
Q3/2011,1612389089
Q4/2011,2198432731
Q1/2012,909738637
Q2/2012,1906463910
Q3/2012,1773775000
Q4/2012,3118600973
Q1/2013,583020362
Q2/2013,627473454
Q3/2013,3273356725
Q4/2013,2651886227
Q1/2014,849668182
Q2/2014,1946793000
Q3/2014,2250157364
Q4/2014,2275677727
Q1/2015,1825173750
Q2/2015,2006136801
Q3/2015,1604748391
Q4/2015,3351350215
Q1/2016,1501318545
Q2/2016,2343669363
Q3/2016,2417891682
Q4/2016,3927733514
Q1/2017,1336501091
Q2/2017,2335349591
Q3/2017,2037290318
Q4/2017,3028156000
Q1/2018,1636584000
Q2/2018,3245343636
Q3/2018,1710625000
Q4/2018,6294257000
Q1/2019,964632000
Q2/2019,1974810000
Q3/2019,2576274000
Q4/2019,4587244706
Q1/2020,1201702000
Q2/2020,2011559000
Q3/2020,1495524000
Q4/2020,3080058167
Q1/2021,250768000
Q2/2021,1398948000
Q3/2021,342718000
Q4/2021,12461803799
Q1/2022,15297747143
Q2/2022,3050687033
Q3/2022,7032545904
Q4/2022,7097591670
Q1/2023,3190614283
Q2/2023,5699283549
Q3/2023,997843918
