tradingTime,lastPrice
2023-12-19,19.8
2023-12-18,19.8
2023-12-15,19.8
2023-12-14,19.8
2023-12-13,18.4
2023-12-12,18.4
2023-12-11,18.5
2023-12-08,18.0
2023-12-07,18.0
2023-12-06,18.0
2023-12-05,18.0
2023-12-04,18.3
2023-12-01,18.1
2023-11-30,18.1
2023-11-29,18.0
2023-11-28,18.0
2023-11-27,18.0
2023-11-24,19.8
2023-11-23,19.8
2023-11-22,19.8
2023-11-21,18.0
2023-11-20,20.0
2023-11-17,21.0
2023-11-16,21.0
2023-11-15,21.0
2023-11-14,21.4
2023-11-13,19.5
2023-11-10,19.5
2023-11-09,21.6
2023-11-08,24.0
2023-11-07,22.6
2023-11-06,25.1
2023-11-03,25.1
2023-11-02,25.1
2023-11-01,27.8
2023-10-31,27.8
2023-10-30,27.8
2023-10-27,27.8
2023-10-26,27.8
2023-10-25,27.8
2023-10-24,27.8
2023-10-23,27.8
2023-10-20,25.3
2023-10-19,23.3
2023-10-18,21.4
2023-10-17,19.8
2023-10-16,18.3
2023-10-13,18.3
2023-10-12,18.3
2023-10-11,18.3
2023-10-10,18.3
2023-10-09,18.3
2023-10-06,18.3
2023-10-05,20.2
2023-10-04,20.2
2023-10-03,20.2
2023-10-02,20.2
2023-09-29,20.2
2023-09-28,20.2
2023-09-27,20.2
2023-09-26,21.9
2023-09-25,22.5
2023-09-22,22.5
2023-09-21,22.5
2023-09-20,21.8
2023-09-19,21.8
2023-09-18,22.8
2023-09-15,20.9
2023-09-14,19.0
2023-09-13,21.1
2023-09-12,23.4
2023-09-11,23.4
2023-09-08,26.0
2023-09-07,27.0
2023-09-06,27.9
2023-09-05,27.8
2023-08-31,25.8
2023-08-30,24.6
2023-08-29,22.4
2023-08-28,21.95
2023-08-25,21.37
2023-08-24,23.24
2023-08-23,23.24
2023-08-22,21.17
2023-08-21,23.24
2023-08-18,25.82
2023-08-17,24.4
2023-08-16,22.27
2023-08-15,20.27
2023-08-14,18.46
2023-08-11,16.78
2023-08-10,16.14
2023-08-09,16.53
2023-08-08,16.53
2023-08-07,18.33
2023-08-04,18.33
2023-08-03,18.72
2023-08-02,20.79
2023-08-01,20.79
2023-07-31,20.79
2023-07-28,20.79
2023-07-27,18.91
2023-07-26,18.66
2023-07-25,17.43
2023-07-24,19.3
2023-07-21,19.3
2023-07-20,18.53
2023-07-19,18.53
2023-07-18,18.53
2023-07-17,18.53
2023-07-14,18.59
2023-07-13,18.59
2023-07-12,18.59
2023-07-11,18.59
2023-07-10,18.59
2023-07-07,16.98
2023-07-06,18.72
2023-07-05,20.66
2023-07-04,20.66
2023-07-03,20.66
2023-06-30,20.66
2023-06-29,21.17
2023-06-28,20.72
2023-06-27,21.3
2023-06-26,21.04
2023-06-23,23.37
2023-06-22,23.37
2023-06-21,21.88
2023-06-20,21.88
2023-06-19,24.27
2023-06-16,24.27
2023-06-15,26.92
2023-06-14,26.92
2023-06-13,24.92
2023-06-12,24.98
2023-06-09,27.69
2023-06-08,30.73
2023-06-07,30.73
2023-06-06,30.73
2023-06-05,34.08
2023-06-02,31.63
2023-06-01,31.63
2023-05-31,28.98
2023-05-30,28.98
2023-05-29,28.98
2023-05-26,26.4
2023-05-25,29.31
2023-05-24,32.47
2023-05-23,32.47
2023-05-22,29.95
2023-05-19,33.18
2023-05-18,33.18
2023-05-17,33.5
2023-05-16,30.79
2023-05-15,30.79
2023-05-12,34.15
2023-05-11,34.15
2023-05-10,35.89
2023-05-09,32.86
2023-05-08,36.47
2023-05-05,33.18
2023-05-04,30.28
2023-04-28,33.57
2023-04-27,32.92
2023-04-26,33.57
2023-04-25,33.5
2023-04-24,37.18
2023-04-21,33.83
2023-04-20,33.83
2023-04-19,30.79
2023-04-18,28.02
2023-04-17,25.5
2023-04-14,28.27
2023-04-13,28.27
2023-04-12,28.27
2023-04-11,28.27
2023-04-10,28.27
2023-04-07,31.37
2023-04-06,31.37
2023-04-05,34.86
2023-04-04,34.86
2023-04-03,34.86
2023-03-31,34.86
2023-03-30,34.86
2023-03-29,34.86
2023-03-28,38.73
2023-03-27,38.73
2023-03-24,38.73
2023-03-23,38.73
2023-03-22,38.73
2023-03-21,38.73
2023-03-20,38.73
2023-03-17,38.73
2023-03-16,38.73
2023-03-15,38.73
2023-03-14,38.73
2023-03-13,38.73
2023-03-10,38.73
2023-03-09,38.73
2023-03-08,38.73
2023-03-07,38.73
2023-03-06,38.73
2023-03-03,38.73
2023-03-02,38.73
2023-03-01,38.73
2023-02-28,41.19
2023-02-27,41.19
2023-02-24,41.19
2023-02-23,41.19
2023-02-22,41.19
2023-02-21,41.19
2023-02-20,41.19
2023-02-17,41.19
2023-02-16,41.19
2023-02-15,41.19
2023-02-14,41.19
2023-02-13,41.19
2023-02-10,41.19
2023-02-09,41.19
2023-02-08,41.19
2023-02-07,41.19
2023-02-06,41.19
2023-02-03,41.19
2023-02-02,41.19
2023-02-01,41.19
2023-01-31,41.19
2023-01-30,41.19
2023-01-27,37.44
2023-01-19,37.44
2023-01-18,37.44
2023-01-17,35.18
2023-01-16,39.05
