Item,Q4 2008,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,,11545517758.0,,8694445188.0,7027767435.0,6819426441.0,10128350984.0,11997558638.0,12852788727.0,12026151339.0,11639801201.0,12420139807.0,11696174141.0,13623533411.0,12820946682.0,13052402361.0,14804095059.0,15102336956.0,14185749039.0,13461528875.0,14271142348.0,14397992486.0,14440489505.0,13560550884.0,13762485043.0,14472731844.0,14363687824.0,14984257461.0,14279858216.0,17007623210.0,16134692658.0,16764161188.0,16309973992.0,17671344790.0,15552882807.0,17353719034.0,16432491185.0,18326856526.0,16187045087.0,14255177742.0,14208684357.0,14182488501.0,11830596602.0,10274619243.0,9515794630.0,10741819315.0,7908027043.0,7342813304.0,7023962539.0,16699931706.0,29838650761.0,34392633543.0,30724229830.0,7306814864.0,6395586873.0
I. Tiền và các khoản tương đương tiền,,3376696999.0,,835333412.0,1893388386.0,1985134383.0,5040836436.0,1429368354.0,2520361140.0,3728456810.0,4708595355.0,2898716269.0,2741065567.0,3517599419.0,3019197954.0,3724902355.0,4856477237.0,3095855876.0,1510917520.0,1178275895.0,1387633486.0,1203238193.0,593761868.0,2323127396.0,2578555110.0,2164267150.0,3166025874.0,3010076486.0,1238873261.0,3965702344.0,1359083580.0,2368027493.0,2225917523.0,3149518872.0,759603251.0,1208139765.0,859312793.0,2754046361.0,1094398525.0,687769090.0,2146756357.0,3071637289.0,435356134.0,944649525.0,827390727.0,1920405851.0,163627548.0,2596365439.0,2294681796.0,294090840.0,3801102765.0,3033090172.0,3864655164.0,2669700282.0,847034011.0
1. Tiền,,2376696999.0,,835333412.0,93388386.0,85134383.0,4340836436.0,129368354.0,419361140.0,228456810.0,408595355.0,398716269.0,241065567.0,817599419.0,519197954.0,224902355.0,906477237.0,245855876.0,210917520.0,678275895.0,887633486.0,1203238193.0,593761868.0,523127396.0,778555110.0,1164267150.0,666025874.0,2010076486.0,238873261.0,1465702344.0,259083580.0,568027493.0,1725917523.0,1649518872.0,259603251.0,908139765.0,559312793.0,1454046361.0,794398525.0,387769090.0,1846756357.0,1771637289.0,435356134.0,944649525.0,827390727.0,1920405851.0,163627548.0,2596365439.0,2294681796.0,294090840.0,3801102765.0,3033090172.0,3864655164.0,2669700282.0,847034011.0
2. Các khoản tương đương tiền,,1000000000.0,,0.0,1800000000.0,1900000000.0,700000000.0,1300000000.0,2101000000.0,3500000000.0,4300000000.0,2500000000.0,2500000000.0,2700000000.0,2500000000.0,3500000000.0,3950000000.0,2850000000.0,1300000000.0,500000000.0,500000000.0,0.0,0.0,1800000000.0,1800000000.0,1000000000.0,2500000000.0,1000000000.0,1000000000.0,2500000000.0,1100000000.0,1800000000.0,500000000.0,1500000000.0,500000000.0,300000000.0,300000000.0,1300000000.0,300000000.0,300000000.0,300000000.0,1300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,,7187018948.0,,6121979518.0,2121979518.0,4012000000.0,3710500000.0,9410500000.0,9410500000.0,6563114026.0,6172833564.0,7695994435.0,7200994435.0,7271698435.0,7834349018.0,8309279579.0,8389304748.0,9755770380.0,10755770380.0,11387170380.0,11320666905.0,11513953654.0,11942588074.0,10005226035.0,9719616937.0,10679004487.0,8987712887.0,10546409736.0,10546409736.0,10534409736.0,11534409736.0,11523409736.0,11450129592.0,11163419630.0,11163419630.0,11160419630.0,11160419630.0,11155919630.0,12155919630.0,11148419630.0,9984901626.0,8347622432.0,8347622432.0,7000000000.0,7000000000.0,6000000000.0,6000000000.0,2500000000.0,2500000000.0,11824220000.0,7396840203.0,3313440000.0,12430110.0,2745596.0,2592000.0
1. Chứng khoán kinh doanh,,7367018948.0,,6181979518.0,2181979518.0,5021979518.0,5021979518.0,11021979518.0,11021979518.0,6995405875.0,6605125413.0,8016931700.0,8016931700.0,8016931700.0,7995025051.0,8511663755.0,8591688924.0,9854249783.0,10854249783.0,11553947760.0,11421646308.0,11641571839.0,12070206259.0,7768118680.0,7756931380.0,7643004581.0,5951712981.0,5128389139.0,5128389139.0,5128389139.0,5128389139.0,5128389139.0,5055108995.0,3771399033.0,3771399033.0,3771399033.0,3771399033.0,3771399033.0,3771399033.0,3771399033.0,3607881029.0,968601835.0,968601835.0,0.0,0.0,0.0,0.0,0.0,0.0,11824220000.0,7396840203.0,7392808076.0,12430110.0,5297034.0,5297034.0
2. Dự phòng giảm giá chứng khoán kinh doanh,,-180000000.0,,-60000000.0,-60000000.0,-1009979518.0,-1311479518.0,-1611479518.0,-1611479518.0,-432291849.0,-432291849.0,-320937265.0,-815937265.0,-745233265.0,-160676033.0,-202384176.0,-202384176.0,-98479403.0,-98479403.0,-166777380.0,-100979403.0,-127618185.0,-127618185.0,-262892645.0,-537314443.0,-464000094.0,-464000094.0,-81979403.0,-81979403.0,-93979403.0,-93979403.0,-104979403.0,-104979403.0,-107979403.0,-107979403.0,-110979403.0,-110979403.0,-115479403.0,-115479403.0,-122979403.0,-122979403.0,-120979403.0,-120979403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4079368076.0,0.0,-2551438.0,-2705034.0
3. Đầu tư nắm giữ đến ngày đáo hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000.0,2500000000.0,3500000000.0,3500000000.0,5500000000.0,5500000000.0,5500000000.0,6500000000.0,6500000000.0,6500000000.0,7500000000.0,7500000000.0,7500000000.0,7500000000.0,7500000000.0,8500000000.0,7500000000.0,6500000000.0,7500000000.0,7500000000.0,7000000000.0,7000000000.0,6000000000.0,6000000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Các khoản phải thu ngắn hạn,380971589.0,493461355.0,1809398140.0,1521720522.0,2917164814.0,747936220.0,1329030251.0,1135190284.0,669927587.0,1713580503.0,741372282.0,1526608103.0,1477125139.0,2761535557.0,1899399710.0,853084871.0,1548313074.0,2164710700.0,1627688308.0,655907543.0,1401713411.0,1584800639.0,1462798472.0,1197680222.0,1445887926.0,1583186942.0,2123774734.0,1197670995.0,2041905855.0,2333410728.0,3196202907.0,2847182635.0,2067653000.0,2130715139.0,2045232469.0,2904603262.0,2258048922.0,3561819743.0,2051295859.0,1930157018.0,1585628354.0,2303471965.0,2564896921.0,1846726195.0,1205290644.0,2346364195.0,1256440918.0,1762520966.0,1727864947.0,4500178281.0,18518388833.0,27213855500.0,26169546621.0,4410584583.0,3794105529.0
