Item,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,1838305817.0,1214583327.0,2250243532.0,2031599452.0,1467540235.0,1835279628.0,1960572907.0,2094327999.0,1612389089.0,2198432731.0,909738637.0,1906463910.0,1773775000.0,3118600973.0,583020362.0,627473454.0,3273356725.0,2655386227.0,849668182.0,1946793000.0,2250157364.0,2275677727.0,1825173750.0,2006136801.0,1604748391.0,3351350215.0,1501318545.0,2343669363.0,2417891682.0,3927733514.0,1336501091.0,2335349591.0,2037290318.0,3048906000.0,1636584000.0,3245343636.0,1710625000.0,6294257000.0,964632000.0,1974810000.0,2576274000.0,4587244706.0,1201702000.0,2011559000.0,1495524000.0,3080058167.0,250768000.0,1398948000.0,342718000.0,12461803799.0,15297747143.0,3050687033.0,7032545904.0,7097591670.0,3190614283.0,5699283549.0,997843918.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),1838305817.0,1214583327.0,2250243532.0,2031599452.0,1467540235.0,1835279628.0,1960572907.0,2094327999.0,1612389089.0,2198432731.0,909738637.0,1906463910.0,1773775000.0,3118600973.0,583020362.0,627473454.0,3273356725.0,2651886227.0,849668182.0,1946793000.0,2250157364.0,2275677727.0,1825173750.0,2006136801.0,1604748391.0,3351350215.0,1501318545.0,2343669363.0,2417891682.0,3927733514.0,1336501091.0,2335349591.0,2037290318.0,3028156000.0,1636584000.0,3245343636.0,1710625000.0,6294257000.0,964632000.0,1974810000.0,2576274000.0,4587244706.0,1201702000.0,2011559000.0,1495524000.0,3080058167.0,250768000.0,1398948000.0,342718000.0,12461803799.0,15297747143.0,3050687033.0,7032545904.0,7097591670.0,3190614283.0,5699283549.0,997843918.0
4. Giá vốn hàng bán,1357088019.0,811583072.0,1172769678.0,1107484490.0,1186238016.0,1263454151.0,782092523.0,1098974080.0,821785179.0,1687666852.0,498294626.0,895714042.0,986242427.0,1774768416.0,494777935.0,744673323.0,1858212975.0,1307476841.0,572316828.0,1186397672.0,1233740027.0,1191226409.0,1428247911.0,1266475303.0,1075752050.0,1854273587.0,1294247267.0,1285358462.0,1379249763.0,2272398248.0,1069284426.0,1370065953.0,1052079347.0,1803213571.0,1886593309.0,1088530137.0,1351234914.0,4568564618.0,1371641246.0,1601020985.0,941901480.0,2634022955.0,1759103161.0,780953142.0,514802652.0,461949037.0,900000509.0,577864716.0,160738098.0,1767093838.0,11691101513.0,-6686474720.0,2756642321.0,3741106872.0,1112915044.0,1721127937.0,-241873768.0
5. Lợi nhuận gộp (3)-(4),481217798.0,403000255.0,1077473854.0,924114962.0,281302219.0,571825477.0,1178480384.0,995353919.0,790603910.0,510765879.0,411444011.0,1010749868.0,787532573.0,1343832557.0,88242427.0,-117199869.0,1415143750.0,1344409386.0,277351354.0,760395328.0,1016417337.0,1084451318.0,396925839.0,739661498.0,528996341.0,1497076628.0,207071278.0,1058310901.0,1038641919.0,1655335266.0,267216665.0,965283638.0,985210971.0,1224942429.0,-250009309.0,2156813499.0,359390086.0,1725692382.0,-407009246.0,373789015.0,1634372520.0,1953221751.0,-557401161.0,1230605858.0,980721348.0,2618109130.0,-649232509.0,821083284.0,181979902.0,10694709961.0,3606645630.0,9737161753.0,4275903583.0,3356484798.0,2077699239.0,3978155612.0,1239717686.0
6. Doanh thu hoạt động tài chính,101535765.0,131422598.0,226182213.0,64879818.0,2408446258.0,142164864.0,35714162.0,280906031.0,526336321.0,679369800.0,230475008.0,473133691.0,104908408.0,725562866.0,487718999.0,955233137.0,84778214.0,319112874.0,789414320.0,146483410.0,84437583.0,286596801.0,687117049.0,319378659.0,178730393.0,209940110.0,660503593.0,135714454.0,58769960.0,169670653.0,700327614.0,171828740.0,102409671.0,1035812618.0,485692374.0,222258219.0,5093617.0,242647343.0,499566835.0,257838308.0,213485989.0,728875214.0,238741839.0,148965751.0,119041308.0,75600397.0,296110.0,1464962.0,77663655.0,8179035.0,4109889695.0,23388333.0,89955559.0,86593898.0,26994712.0,969569.0,4704385.0
7. Chi phí tài chính,-61882240.0,39892022.0,0.0,72916666.0,239591566.0,968312851.0,338027777.0,324383300.0,0.0,78611050.0,805346.0,-106855716.0,495853955.0,-70704000.0,-163735439.0,120406884.0,8274813.0,-39195144.0,562428.0,68920587.0,-46738243.0,29225195.0,3143432.0,148052142.0,286342919.0,58695163.0,188386155.0,-35359024.0,347922.0,12010201.0,0.0,13322174.0,517250.0,297992309.0,0.0,3563000.0,0.0,4500000.0,561232.0,7500000.0,1068256.0,3409880.0,70673.0,9291917.0,0.0,220000.0,0.0,0.0,0.0,2877000.0,294264212.0,4076491076.0,-454218510.0,241255436.0,153596.0,-1449600.0,-5371.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,72916666.0,239591566.0,18333333.0,36527777.0,24383300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877000.0,7469863.0,-2877000.0,0.0,0.0,0.0,0.0,0.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,12465550.0,10886364.0,56383636.0,11989546.0,9690000.0,15553152.0,36594000.0,89187313.0,37732945.0,23370602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156870000.0,690030000.0,271831300.0,0.0,-834431700.0,9300000.0,4809996000.0,2519558116.0,844765794.0,1023667155.0,3639645407.0,454537689.0
