Period,Lưu chuyển tiền thuần trong kỳ
Q3 2010,258054974.0
Q4 2010,891745997.0
Q1 2011,3055702053.0
Q2 2011,-3611468082.0
Q3 2011,1090992786.0
Q4 2011,1208095670.0
Q1 2012,980138545.0
Q2 2012,-1809879086.0
Q3 2012,-157650702.0
Q4 2012,776533852.0
Q1 2013,-498401465.0
Q2 2013,705704401.0
Q3 2013,1131574882.0
Q4 2013,-1760621361.0
Q1 2014,-1584938356.0
Q2 2014,-332641625.0
Q3 2014,209357591.0
Q4 2014,-184395293.0
Q1 2015,-609476325.0
Q2 2015,1729365528.0
Q3 2015,255427714.0
Q4 2015,-1414287960.0
Q1 2016,1001758724.0
Q2 2016,-155949388.0
Q3 2016,-1771203225.0
Q4 2016,2726829083.0
Q1 2017,-2606618764.0
Q2 2017,1008943913.0
Q3 2017,-142109970.0
Q4 2017,923601349.0
Q1 2018,-2389915621.0
Q2 2018,448536514.0
Q3 2018,-348826972.0
Q4 2018,1894733568.0
Q1 2019,-1659647836.0
Q2 2019,-406629435.0
Q3 2019,1458987267.0
Q4 2019,924880932.0
Q1 2020,-2636281155.0
Q2 2020,509293391.0
Q3 2020,-117258798.0
Q4 2020,1093015124.0
Q1 2021,-1756778303.0
Q2 2021,2432737891.0
Q3 2021,-301683643.0
Q4 2021,-2000590956.0
Q1 2022,3507011925.0
Q2 2022,-768012593.0
Q3 2022,831564992.0
Q1 2023,-1822666271.0
Q2 2023,2025189200.0
Q3 2023,-2826222676.0
